seed,culture,rep,cycle,tol_time
687,co,0,0,4.89
687,co,0,1,4.88
687,co,0,2,5.7700000000000005
687,co,0,3,6.4
687,co,0,4,6.73
687,co,0,5,6.8500000000000005
687,co,0,6,6.88
687,co,0,7,6.9
687,co,0,8,8.46
687,co,0,9,9.34
687,co,1,0,4.89
687,co,1,1,4.88
687,co,1,2,4.88
687,co,1,3,4.88
687,co,1,4,4.88
687,co,1,5,4.88
687,co,1,6,4.88
687,co,1,7,4.88
687,co,1,8,4.88
687,co,1,9,4.88
687,co,2,0,4.89
687,co,2,1,4.88
687,co,2,2,4.88
687,co,2,3,4.88
687,co,2,4,4.88
687,co,2,5,4.88
687,co,2,6,7.15
687,co,2,7,8.76
687,co,2,8,9.09
687,co,2,9,9.14
687,co,3,0,4.89
687,co,3,1,4.88
687,co,3,2,4.88
687,co,3,3,4.88
687,co,3,4,4.88
687,co,3,5,4.88
687,co,3,6,4.88
687,co,3,7,6.37
687,co,3,8,7.67
687,co,3,9,8.15
687,co,4,0,4.89
687,co,4,1,4.88
687,co,4,2,4.88
687,co,4,3,5.29
687,co,4,4,5.49
687,co,4,5,6.67
687,co,4,6,8.11
687,co,4,7,8.870000000000001
687,co,4,8,9.44
687,co,4,9,9.870000000000001
