##culture:mono#seed:4#rep:5#mu:(0.0003, 0)#cycles:10#init_R:(1000, 1000, 0)#init_n:(10, 0)#init_lag:(1, 0)#Ta:5#alpha:(3, 0)#mut_func:null#max_lag_change:(1.1, 0)
seed,culture,rep,cycle,phase_end,species,genotype,nlag,ngrow,ntot,lag,Ta,M,L,A
4,mono,0,0,0,Escherichia coli,E0c0,10.0,0.0,10.0,1.0,5,1000.0,1000.0,0.0
4,mono,0,0,1,Escherichia coli,E0c0,0.06737946805099602,0.0671853272472443,0.13456479529824034,1.0,5,999.5067032497818,995.0672574978179,4.982044677204266
4,mono,0,0,2,Escherichia coli,E0c0,5.783866679499471e-11,1000.1343547673422,1000.1343547674,1.0,5,449.99990550001,-9.151738254385038e-28,504.99989395001097
4,mono,0,1,1,Escherichia coli,E0c0,3.3694261215891625,3.3597622726362864,6.729188394225449,1.0,5,1425.3329703014497,753.3309855143577,754.135560705512
4,mono,0,1,2,Escherichia coli,E0c0,0.0,1006.7289769979799,1006.7289769979799,1.0,5,449.99990550001456,-1.1175785782586367e-25,504.99989395001586
4,mono,0,2,1,Escherichia coli,E0c0,3.391643228712392,3.381933816779261,6.773577045491653,1.0,5,1425.1703241815535,751.7045243153749,755.7782865164905
4,mono,0,2,2,Escherichia coli,E0c0,0.0,1005.7733656400349,1005.7733656400349,1.0,5,449.99990550001115,1.668766988009646e-22,504.99989395001205
4,mono,0,2,2,Escherichia coli,E1c2,1.0,0.0,1.0,1.0902221518095514,5,449.99990550001115,1.668766988009646e-22,504.99989395001205
4,mono,0,3,1,Escherichia coli,E0c0,3.3884237993879442,3.378723696017405,6.767147495405349,1.0,5,1425.1693634274504,751.6949167743651,755.7879901329067
4,mono,0,3,1,Escherichia coli,E1c2,0.005095648017758792,0.0043131408515935075,0.0094087888693523,1.0902221518095514,5,1425.1693634274504,751.6949167743651,755.7879901329067
4,mono,0,3,2,Escherichia coli,E0c0,9.59275902813729e-11,1005.4382551694567,1005.4382551695527,1.0,5,449.99990550001,1.162324121048633e-21,504.99989395001074
4,mono,0,3,2,Escherichia coli,E1c2,5.934162728432424e-13,1.338089708634516,1.3380897086351096,1.0902221518095514,5,449.99990550001,1.162324121048633e-21,504.99989395001074
4,mono,0,4,1,Escherichia coli,E0c0,3.387294821402166,3.3775979464986707,6.764892767900837,1.0,5,1425.1693352608538,751.6946351083988,755.7882746155317
4,mono,0,4,1,Escherichia coli,E1c2,0.006818434171563598,0.005771369381228802,0.0125898035527924,1.0902221518095514,5,1425.1693352608538,751.6946351083988,755.7882746155317
4,mono,0,4,2,Escherichia coli,E0c0,9.823058048581871e-11,1004.986994202406,1004.9869942025042,1.0,5,449.99990550000973,1.038965250010175e-21,504.9998939500105
4,mono,0,4,2,Escherichia coli,E1c2,8.106932624494581e-13,1.7902769626705588,1.7902769626713695,1.0902221518095514,5,449.99990550000973,1.038965250010175e-21,504.9998939500105
4,mono,0,5,1,Escherichia coli,E0c0,3.385774535170119,3.3760820013304675,6.761856536500586,1.0,5,1425.1693730188233,751.6950126880957,755.7878932600372
4,mono,0,5,1,Escherichia coli,E1c2,0.009122621256308328,0.007721716674944552,0.01684433793125288,1.0902221518095514,5,1425.1693730188233,751.6950126880957,755.7878932600372
4,mono,0,5,2,Escherichia coli,E0c0,1.0141046813124372e-10,1004.383578666155,1004.3835786662564,1.0,5,449.9999055000097,8.51843396535752e-22,504.99989395001114
4,mono,0,5,2,Escherichia coli,E1c2,1.1152426114509224e-12,2.394910801645776,2.394910801646891,1.0902221518095514,5,449.9999055000097,8.51843396535752e-22,504.99989395001114
4,mono,0,6,1,Escherichia coli,E0c0,3.3837416442292887,3.3740549151180925,6.757796559347382,1.0,5,1425.1694240059937,751.695522559821,755.7873782895956
4,mono,0,6,1,Escherichia coli,E1c2,0.01220362247943345,0.01032958753550013,0.02253321001493358,1.0902221518095514,5,1425.1694240059937,751.695522559821,755.7873782895956
4,mono,0,6,2,Escherichia coli,E0c0,1.0393936964491179e-10,1003.577019037565,1003.577019037669,1.0,5,449.99990550001,7.295610203786887e-22,504.9998939500113
4,mono,0,6,2,Escherichia coli,E1c2,1.5254961769635023e-12,3.2030993248309967,3.203099324832522,1.0902221518095514,5,449.99990550001,7.295610203786887e-22,504.9998939500113
4,mono,0,7,1,Escherichia coli,E0c0,3.3810243662281496,3.3713453960773925,6.752369762305542,1.0,5,1425.1694921475246,751.6962039751116,755.7866900601517
4,mono,0,7,1,Escherichia coli,E1c2,0.016321866725687095,0.013815418370711121,0.030137285096398216,1.0902221518095514,5,1425.1694921475246,751.6962039751116,755.7866900601517
4,mono,0,7,2,Escherichia coli,E0c0,0.0,1002.4994364527807,1002.4994364527807,1.0,5,449.9999055000148,-1.5543198857507427e-25,504.999893950016
4,mono,0,7,2,Escherichia coli,E1c2,0.0,4.282859187325244,4.282859187325244,1.0902221518095514,5,449.9999055000148,-1.5543198857507427e-25,504.999893950016
4,mono,0,8,1,Escherichia coli,E0c0,3.3773940190737726,3.367725415129156,6.745119434202929,1.0,5,1425.1695831607938,751.6971141077479,755.7857708261937
4,mono,0,8,1,Escherichia coli,E1c2,0.021823942928798048,0.018472574552349155,0.0402965174811472,1.0902221518095514,5,1425.1695831607938,751.6971141077479,755.7857708261937
4,mono,0,8,2,Escherichia coli,E0c0,0.0,1000.0606720946223,1000.0606720946223,1.0,5,449.9999055000111,-5.671583706182349e-29,504.9998939500127
4,mono,0,8,2,Escherichia coli,E1c2,0.0,5.724532449156815,5.724532449156815,1.0902221518095514,5,449.9999055000111,-5.671583706182349e-29,504.9998939500127
4,mono,0,8,2,Escherichia coli,E2c8,1.0,0.0,1.0,2.0876059467615216,5,449.9999055000111,-5.671583706182349e-29,504.9998939500127
4,mono,0,9,1,Escherichia coli,E0c0,3.3691778863048154,3.3595323376884942,6.72871022399331,1.0,5,1425.172366643297,751.7249489328237,755.757657652864
4,mono,0,9,1,Escherichia coli,E1c2,0.02917020242710061,0.024690711118330932,0.053860913545431544,1.0902221518095514,5,1425.172366643297,751.7249489328237,755.757657652864
4,mono,0,9,1,Escherichia coli,E2c8,0.04558232698627298,0.014386591686692582,0.05996891867296556,2.0876059467615216,5,1425.172366643297,751.7249489328237,755.757657652864
4,mono,0,9,2,Escherichia coli,E0c0,2.293440458787487e-11,992.4845320396122,992.4845320396352,1.0,5,449.99990550001,-8.716113698129277e-24,504.99989395001194
4,mono,0,9,2,Escherichia coli,E1c2,5.83383060417676e-13,7.612105155614281,7.612105155614865,1.0902221518095514,5,449.99990550001,-8.716113698129277e-24,504.99989395001194
4,mono,0,9,2,Escherichia coli,E2c8,8.545316365018098e-10,5.745691440676717,5.745691441531249,2.0876059467615216,5,449.99990550001,-8.716113698129277e-24,504.99989395001194
4,mono,0,9,2,Escherichia coli,E3c9,1.0,0.0,1.0,1.4911730967768981,5,449.99990550001,-8.716113698129277e-24,504.99989395001194
4,mono,1,0,0,Escherichia coli,E0c0,10.0,0.0,10.0,1.0,5,1000.0,1000.0,0.0
4,mono,1,0,1,Escherichia coli,E0c0,0.06737946805099602,0.0671853272472443,0.13456479529824034,1.0,5,999.5067032497818,995.0672574978179,4.982044677204266
4,mono,1,0,2,Escherichia coli,E0c0,5.783866679499471e-11,1000.1343547673422,1000.1343547674,1.0,5,449.99990550001,-9.151738254385038e-28,504.99989395001097
4,mono,1,1,1,Escherichia coli,E0c0,3.3694261215891625,3.3597622726362864,6.729188394225449,1.0,5,1425.3329703014497,753.3309855143577,754.135560705512
4,mono,1,1,2,Escherichia coli,E0c0,0.0,1005.7289769979799,1005.7289769979799,1.0,5,449.99990550001456,-1.1175785782586367e-25,504.99989395001586
4,mono,1,1,2,Escherichia coli,E1c1,1.0,0.0,1.0,1.462473925830071,5,449.99990550001456,-1.1175785782586367e-25,504.99989395001586
4,mono,1,2,1,Escherichia coli,E0c0,3.3882742555332346,3.3785743130544996,6.766848568587735,1.0,5,1425.1712325331134,751.7136078309464,755.7691121657627
4,mono,1,2,1,Escherichia coli,E1c1,0.016374802592517015,0.008520706507392502,0.024895509099909518,1.462473925830071,5,1425.1712325331134,751.7136078309464,755.7691121657627
4,mono,1,2,2,Escherichia coli,E0c0,3.42809898971678e-10,1002.7888056284647,1002.7888056288075,1.0,5,449.9999055000105,6.710409931606846e-17,504.99989395001137
4,mono,1,2,2,Escherichia coli,E1c1,1.6377214711778164e-11,3.002727039680233,3.00272703969661,1.462473925830071,5,449.9999055000105,6.710409931606846e-17,504.99989395001137
4,mono,1,2,2,Escherichia coli,E2c2,1.0,0.0,1.0,1.2485714609879732,5,449.9999055000105,6.710409931606846e-17,504.99989395001137
4,mono,1,3,1,Escherichia coli,E0c0,3.3783688958355538,3.3686970492043,6.747065945039854,1.0,5,1425.1719329530983,751.7206120308541,755.7620379238523
4,mono,1,3,1,Escherichia coli,E1c1,0.04916906251447732,0.02558535448176281,0.07475441699624014,1.462473925830071,5,1425.1719329530983,751.7206120308541,755.7620379238523
4,mono,1,3,1,Escherichia coli,E2c2,0.009116003927734088,0.006093948859807394,0.015209952787541482,1.2485714609879732,5,1425.1719329530983,751.7206120308541,755.7620379238523
4,mono,1,3,2,Escherichia coli,E0c0,8.169012363866562e-13,995.866999009257,995.8669990092578,1.0,5,449.9999055000123,7.593540110280145e-26,504.9998939500131
4,mono,1,3,2,Escherichia coli,E1c1,1.7878671213584948e-11,8.97144669347101,8.97144669348889,1.462473925830071,5,449.9999055000123,7.593540110280145e-26,504.9998939500131
4,mono,1,3,2,Escherichia coli,E2c2,6.393806998173555e-13,1.9983731936357787,1.9983731936364182,1.2485714609879732,5,449.9999055000123,7.593540110280145e-26,504.9998939500131
4,mono,1,4,1,Escherichia coli,E0c0,3.3550495131983245,3.345443436261172,6.7004929494594965,1.0,5,1425.1766611223957,751.7678937238103,755.7142834139684
4,mono,1,4,1,Escherichia coli,E1c1,0.14690566857518825,0.07644304403194507,0.22334871260713332,1.462473925830071,5,1425.1766611223957,751.7678937238103,755.7142834139684
4,mono,1,4,1,Escherichia coli,E2c2,0.01821717788224196,0.012177981145734804,0.030395159027976765,1.2485714609879732,5,1425.1766611223957,751.7678937238103,755.7142834139684
4,mono,1,4,2,Escherichia coli,E0c0,5.395253786228325e-10,975.5435792678005,975.5435792683401,1.0,5,449.99990550000996,4.5470661034889943e-26,504.99989395001126
4,mono,1,4,2,Escherichia coli,E1c1,2.337402304187119e-10,26.46721789701265,26.46721789724639,1.462473925830071,5,449.99990550000996,4.5470661034889943e-26,504.99989395001126
4,mono,1,4,2,Escherichia coli,E2c2,2.3884153151803568e-11,3.943228213080947,3.943228213104831,1.2485714609879732,5,449.99990550000996,4.5470661034889943e-26,504.99989395001126
4,mono,1,4,2,Escherichia coli,E3c4,1.0,0.0,1.0,1.9230268203445815,5,449.99990550000996,4.5470661034889943e-26,504.99989395001126
4,mono,1,5,1,Escherichia coli,E0c0,3.286580451005712,3.2771672610963694,6.5637477121020815,1.0,5,1425.1926615227903,751.9278977277794,755.5526793699576
