##culture:mono#seed:448#rep:10#mu:(0.01, 0)#cycles:10#init_R:(80, 2780, 0)#init_n:(10, 0)#init_lag:(1, 0)#Ta:5#alpha:(3, 0)#mut_func:null#max_lag_change:(1.1, 0)
##init_pop:1000#perc_cutoff:0.01#interval:0.1
culture,rep,cycle,tol_time
mono,0,0,2.5
mono,0,1,2.6
mono,0,2,2.9000000000000004
mono,0,3,3.3000000000000003
mono,0,4,3.7
mono,0,5,3.8000000000000003
mono,0,6,4.6000000000000005
mono,0,7,4.9
mono,0,8,5.2
mono,0,9,5.4
mono,1,0,2.4000000000000004
mono,1,1,2.6
mono,1,2,3.0
mono,1,3,3.8000000000000003
mono,1,4,3.6
mono,1,5,3.8000000000000003
mono,1,6,3.8000000000000003
mono,1,7,4.2
mono,1,8,4.7
mono,1,9,5.6000000000000005
mono,2,0,2.5
mono,2,1,2.7
mono,2,2,2.8000000000000003
mono,2,3,3.2
mono,2,4,3.6
mono,2,5,3.8000000000000003
mono,2,6,4.4
mono,2,7,4.7
mono,2,8,5.0
mono,2,9,5.7
mono,3,0,2.5
mono,3,1,2.7
mono,3,2,3.1
mono,3,3,3.0
mono,3,4,3.3000000000000003
mono,3,5,3.4000000000000004
mono,3,6,3.6
mono,3,7,4.1000000000000005
mono,3,8,4.7
mono,3,9,5.0
mono,4,0,2.4000000000000004
mono,4,1,2.5
mono,4,2,2.6
mono,4,3,2.8000000000000003
mono,4,4,2.9000000000000004
mono,4,5,3.1
mono,4,6,3.4000000000000004
mono,4,7,4.0
mono,4,8,4.2
mono,4,9,4.9
mono,5,0,2.5
mono,5,1,2.6
mono,5,2,3.0
mono,5,3,3.2
mono,5,4,3.6
mono,5,5,4.1000000000000005
mono,5,6,4.7
mono,5,7,4.800000000000001
mono,5,8,5.1000000000000005
mono,5,9,5.2
mono,6,0,2.4000000000000004
mono,6,1,2.6
mono,6,2,3.4000000000000004
mono,6,3,4.0
mono,6,4,3.5
mono,6,5,3.7
mono,6,6,4.1000000000000005
mono,6,7,4.5
mono,6,8,4.5
mono,6,9,5.1000000000000005
mono,7,0,2.5
mono,7,1,2.6
mono,7,2,3.1
mono,7,3,3.5
mono,7,4,3.5
mono,7,5,3.7
mono,7,6,4.0
mono,7,7,4.2
mono,7,8,4.800000000000001
mono,7,9,5.2
mono,8,0,2.5
mono,8,1,2.6
mono,8,2,3.0
mono,8,3,3.8000000000000003
mono,8,4,4.3
mono,8,5,4.6000000000000005
mono,8,6,5.0
mono,8,7,4.5
mono,8,8,4.800000000000001
mono,8,9,4.9
mono,9,0,2.4000000000000004
mono,9,1,2.5
mono,9,2,2.6
mono,9,3,2.9000000000000004
mono,9,4,3.0
mono,9,5,3.3000000000000003
mono,9,6,3.6
mono,9,7,4.1000000000000005
mono,9,8,4.6000000000000005
mono,9,9,5.1000000000000005
