seed,culture,rep,cycle,phase_end,species,genotype,nlag,ngrow,ntot,lag,Ta
269,co,0,0,0,Escherichia coli,E0c0,5.0,0.0,5.0,1.0,5
269,co,0,0,0,Salmonella enterica,S0c0,5.0,0.0,5.0,1.0,5
269,co,0,0,1,Escherichia coli,E0c0,0.03368973187024907,0.07401323299234756,0.10770296486259663,1.0,5
269,co,0,0,1,Salmonella enterica,S0c0,0.03368973187024907,2.533068776107082,2.566758507977331,1.0,5
269,co,0,0,2,Escherichia coli,E0c0,2.364933654364227e-12,2775.1071191424912,2775.1071191424935,1.0,5
269,co,0,0,2,Escherichia coli,E1c0,1.0,-1.0,0.0,2.0117399026968945,5
269,co,0,0,2,Escherichia coli,E2c0,1.0,1.0,2.0,1.2230683333910508,5
269,co,0,0,2,Escherichia coli,E3c0,1.0,2.364933654364227e-12,1.000000000002365,1.7990269649654862,5
269,co,0,0,2,Escherichia coli,E4c0,1406.4664631501798,0.0,1406.4664631501798,1.7395437240474685,5
269,co,0,0,2,Escherichia coli,E5c0,0.0,0.0,0.0,1.6660883703405203,5
269,co,0,0,2,Salmonella enterica,S0c0,0.0,0.0,0.0,1.0,5
269,co,0,0,2,Salmonella enterica,S1c0,1.0,0.0,1.0,1.9448573862377572,5
269,co,0,0,2,Salmonella enterica,S2c0,1.0,0.0,1.0,1.0776457759942852,5
269,co,0,1,1,Escherichia coli,E0c0,9.349262325353779,9.316978355486606,18.666240680840385,1.0,5
269,co,0,1,1,Escherichia coli,E1c0,0.0,0.0,0.0,2.0117399026968945,5
269,co,0,1,1,Escherichia coli,E2c0,0.01677142010107722,0.011599016499100667,0.02837043660017789,1.2230683333910508,5
269,co,0,1,1,Escherichia coli,E3c0,0.031041589780348263,0.01196754530800688,0.04300913508835515,1.7990269649654862,5
269,co,0,1,1,Escherichia coli,E4c0,39.700812732161715,16.039773420488185,55.7405861526499,1.7395437240474685,5
269,co,0,1,1,Escherichia coli,E5c0,0.0,0.0,0.0,1.6660883703405203,5
269,co,0,1,1,Salmonella enterica,S0c0,0.0,0.0,0.0,1.0,5
269,co,0,1,1,Salmonella enterica,S1c0,0.038234012745648326,0.036971921553131885,0.07520593429878021,1.9448573862377572,5
269,co,0,1,1,Salmonella enterica,S2c0,0.004830087496798571,0.01888260487957077,0.023712692376369342,1.0776457759942852,5
269,co,0,1,2,Escherichia coli,E0c0,-1.0856557482238194e-13,752.919722797798,752.9197227977979,1.0,5
269,co,0,1,2,Escherichia coli,E1c0,0.0,0.0,0.0,2.0117399026968945,5
269,co,0,1,2,Escherichia coli,E2c0,-8.524098186102622e-15,1.1181258749347873,1.1181258749347789,1.2230683333910508,5
269,co,0,1,2,Escherichia coli,E3c0,4.514463938760958e-12,1.6102639062682982,1.6102639062728126,1.7990269649654862,5
269,co,0,1,2,Escherichia coli,E4c0,2.6795518855576595e-09,2093.82949477556,2093.829494778239,1.7395437240474685,5
269,co,0,1,2,Escherichia coli,E5c0,0.0,0.0,0.0,1.6660883703405203,5
269,co,0,1,2,Escherichia coli,E6c1,1.0,1.0,2.0,1.9122109248847465,5
269,co,0,1,2,Escherichia coli,E7c1,1.0,1.0,2.0,2.5863528111578082,5
269,co,0,1,2,Escherichia coli,E8c1,1.0,-1.0,0.0,1.4651252052152457,5
269,co,0,1,2,Escherichia coli,E9c1,0.0,2.7016884375541257e-11,2.7016884375541257e-11,1.5031626187908165,5
269,co,0,1,2,Escherichia coli,E10c1,1015.5101474259687,-2.7417982837369316e-16,1015.5101474259687,1.758907882893997,5
269,co,0,1,2,Salmonella enterica,S0c0,388.48847636134957,0.0,388.48847636134957,1.0,5
269,co,0,1,2,Salmonella enterica,S1c0,0.0,0.0,0.0,1.9448573862377572,5
269,co,0,1,2,Salmonella enterica,S2c0,0.0,0.0,0.0,1.0776457759942852,5
269,co,0,1,2,Salmonella enterica,S3c1,1.0,0.0,1.0,1.8959900476263882,5
269,co,0,2,1,Escherichia coli,E0c0,2.536566578969469,2.5268222285408344,5.063388807510304,1.0,5
269,co,0,2,1,Escherichia coli,E1c0,0.0,0.0,0.0,2.0117399026968945,5
269,co,0,2,1,Escherichia coli,E2c0,0.009376279378464187,0.0064823807057164335,0.01585866008418062,1.2230683333910508,5
269,co,0,2,1,Escherichia coli,E3c0,0.049985151613432685,0.01926544010343304,0.06925059171686573,1.7990269649654862,5
269,co,0,2,1,Escherichia coli,E4c0,59.103245499794134,23.8718153051861,82.97506080498023,1.7395437240474685,5
269,co,0,2,1,Escherichia coli,E5c0,0.0,0.0,0.0,1.6660883703405203,5
269,co,0,2,1,Escherichia coli,E6c1,0.07318430385696763,0.025947963507818396,0.09913226736478603,1.9122109248847465,5
269,co,0,2,1,Escherichia coli,E7c1,0.14468095658042765,0.03472714342609198,0.17940810000651963,2.5863528111578082,5
269,co,0,2,1,Escherichia coli,E8c1,0.0,0.0,0.0,1.4651252052152457,5
