seed,culture,rep,cycle,phase_end,species,genotype,nlag,ngrow,ntot,lag,Ta
96,co,0,0,0,Escherichia coli,E0c0,5.0,0.0,5.0,1.0,5
96,co,0,0,0,Salmonella enterica,S0c0,5.0,0.0,5.0,1.0,5
96,co,0,0,2,Escherichia coli,E0c0,4.988133736906634e-06,2784.9995510668205,2784.999556054954,1.0,5
96,co,0,0,2,Salmonella enterica,S0c0,4.988133736906634e-06,1408.8998400477567,1408.8998450358904,1.0,5
96,co,0,1,1,Escherichia coli,E0c0,9.382589053566772,9.340968874765188,18.72355792833196,1.0,5
96,co,0,1,1,Salmonella enterica,S0c0,4.746546001246007,25.11016741289162,29.856713414137626,1.0,5
96,co,0,1,2,Escherichia coli,E0c0,4.995147302204825e-06,2798.7231047413243,2798.7231097364715,1.0,5
96,co,0,1,2,Salmonella enterica,S0c0,4.98530574666183e-06,1433.7565495063445,1433.7565544916504,1.0,5
96,co,0,2,1,Escherichia coli,E0c0,9.428824110235896,9.386935384949826,18.815759495185723,1.0,5
96,co,0,2,1,Salmonella enterica,S0c0,4.830288170655967,25.991735981990285,30.82202415264625,1.0,5
96,co,0,2,2,Escherichia coli,E0c0,4.998606283901167e-06,2798.8153052348453,2798.8153102334513,1.0,5
96,co,0,2,2,Salmonella enterica,S0c0,4.9979265004547746e-06,1402.2273575349582,1402.2273625328846,1.0,5
96,co,0,2,2,Salmonella enterica,S1c2,8.764406824698735e-06,32.494600946376586,32.49460971078341,1.752998700428774,5
96,co,0,3,1,Escherichia coli,E0c0,9.42913615157641,9.387256911305581,18.816393062881993,1.0,5
96,co,0,3,1,Salmonella enterica,S0c0,4.724067804709291,25.33154101722753,30.055608821936822,1.0,5
96,co,0,3,1,Salmonella enterica,S1c2,0.937697582777263,1.1616066900540987,2.0993042728313616,1.752998700428774,5
96,co,0,3,2,Escherichia coli,E0c0,4.997660586779805e-06,2798.8159380462566,2798.8159430439173,1.0,5
96,co,0,3,2,Salmonella enterica,S0c0,4.992319949101662e-06,1352.8795107506003,1352.8795157429201,1.0,5
96,co,0,3,2,Salmonella enterica,S1c2,8.758072487618394e-06,83.1753362908683,83.17534504894078,1.752998700428774,5
96,co,0,4,1,Escherichia coli,E0c0,9.429136499376575,9.38727385954219,18.816410358918766,1.0,5
96,co,0,4,1,Salmonella enterica,S0c0,4.557814970657567,24.32070589501693,28.878520865674496,1.0,5
96,co,0,4,1,Salmonella enterica,S1c2,2.400191439067984,2.961140215669133,5.361331654737118,1.752998700428774,5
96,co,0,4,2,Escherichia coli,E0c0,4.977871302564277e-06,2798.8159535802633,2798.8159585581348,1.0,5
96,co,0,4,2,Salmonella enterica,S0c0,4.995972126763045e-06,1235.990682082614,1235.9906870785862,1.0,5
96,co,0,4,2,Salmonella enterica,S1c2,8.761711017184592e-06,202.1490960291824,202.14910479089343,1.752998700428774,5
96,co,0,5,1,Escherichia coli,E0c0,9.429137011962037,9.3873172666521,18.816454278614138,1.0,5
96,co,0,5,1,Salmonella enterica,S0c0,4.164020615582836,22.002445361567787,26.166465977150622,1.0,5
96,co,0,5,1,Salmonella enterica,S1c2,5.833416912793354,7.138107381521238,12.971524294314593,1.752998700428774,5
96,co,0,5,2,Escherichia coli,E0c0,4.997217313679921e-06,2798.8159983585692,2798.8160033557865,1.0,5
96,co,0,5,2,Salmonella enterica,S0c0,4.99886164764663e-06,973.3370633495966,973.3370683484583,1.0,5
96,co,0,5,2,Salmonella enterica,S1c2,8.753514228413724e-06,443.1472943821212,443.1473031356354,1.752998700428774,5
96,co,0,5,2,Salmonella enterica,S2c5,9.263296141865995e-06,26.55364476035366,26.553654023649802,1.8536841387005176,5
