seed,culture,rep,cycle,tol_time
see,co,0,0,7.0
see,co,0,1,8.25
see,co,0,2,8.25
see,co,0,3,8.25
see,co,0,4,10.25
see,co,0,5,10.75
see,co,0,6,10.5
see,co,0,7,12.0
see,co,0,8,11.5
see,co,0,9,12.0
see,co,1,0,5.5
see,co,1,1,7.25
see,co,1,2,8.5
see,co,1,3,9.5
see,co,1,4,9.5
see,co,1,5,12.25
see,co,1,6,12.25
see,co,1,7,12.5
see,co,1,8,14.25
see,co,1,9,13.75
see,co,2,0,7.0
see,co,2,1,8.25
see,co,2,2,9.0
see,co,2,3,9.0
see,co,2,4,10.25
see,co,2,5,10.5
see,co,2,6,12.25
see,co,2,7,12.5
see,co,2,8,12.75
see,co,2,9,12.5
see,co,3,0,6.25
see,co,3,1,7.0
see,co,3,2,7.0
see,co,3,3,7.25
see,co,3,4,7.25
see,co,3,5,7.5
see,co,3,6,7.5
see,co,3,7,7.5
see,co,3,8,7.5
see,co,3,9,7.5
see,co,4,0,7.75
see,co,4,1,8.75
see,co,4,2,9.25
see,co,4,3,11.25
see,co,4,4,11.0
see,co,4,5,11.75
see,co,4,6,11.75
see,co,4,7,12.5
see,co,4,8,12.0
see,co,4,9,13.75
see,co,5,0,6.5
see,co,5,1,7.0
see,co,5,2,7.25
see,co,5,3,7.25
see,co,5,4,7.5
see,co,5,5,7.5
see,co,5,6,7.5
see,co,5,7,7.75
see,co,5,8,7.75
see,co,5,9,7.75
see,co,6,0,6.0
see,co,6,1,6.75
see,co,6,2,7.5
see,co,6,3,8.0
see,co,6,4,8.75
see,co,6,5,10.75
see,co,6,6,12.75
see,co,6,7,13.5
see,co,6,8,13.5
see,co,6,9,14.0
see,co,7,0,6.75
see,co,7,1,7.5
see,co,7,2,7.75
see,co,7,3,8.0
see,co,7,4,8.0
see,co,7,5,8.0
see,co,7,6,8.0
see,co,7,7,8.25
see,co,7,8,8.25
see,co,7,9,8.25
see,co,8,0,7.5
see,co,8,1,10.0
see,co,8,2,12.5
see,co,8,3,12.25
see,co,8,4,12.5
see,co,8,5,13.75
see,co,8,6,14.0
see,co,8,7,16.0
see,co,8,8,16.75
see,co,8,9,16.0
see,co,9,0,6.0
see,co,9,1,6.5
see,co,9,2,7.0
see,co,9,3,7.25
see,co,9,4,9.25
see,co,9,5,9.25
see,co,9,6,11.75
see,co,9,7,11.75
see,co,9,8,12.25
see,co,9,9,12.75
