well,species,season,alive,n_genotypes,s,MIC,mutations,n_species,u,rep,gens,mutant_function
0,0,0,True,6,1.018635310819566,0.0,0.09600000000000002,1,0.001,0,20,null
1,0,0,False,0,,,,1,0.001,0,20,null
2,0,0,False,0,,,,1,0.001,0,20,null
3,0,0,False,0,,,,1,0.001,0,20,null
4,0,0,False,0,,,,1,0.001,0,20,null
5,0,0,False,0,,,,1,0.001,0,20,null
6,0,0,False,0,,,,1,0.001,0,20,null
7,0,0,False,0,,,,1,0.001,0,20,null
8,0,0,False,0,,,,1,0.001,0,20,null
9,0,0,False,0,,,,1,0.001,0,20,null
10,0,0,False,0,,,,1,0.001,0,20,null
11,0,0,False,0,,,,1,0.001,0,20,null
12,0,0,False,0,,,,1,0.001,0,20,null
13,0,0,False,0,,,,1,0.001,0,20,null
14,0,0,False,0,,,,1,0.001,0,20,null
0,0,1,True,5,1.2053681762790502,0.015595103574073638,0.884,1,0.001,0,20,null
1,0,1,False,0,,,,1,0.001,0,20,null
2,0,1,False,0,,,,1,0.001,0,20,null
3,0,1,False,0,,,,1,0.001,0,20,null
4,0,1,False,0,,,,1,0.001,0,20,null
5,0,1,False,0,,,,1,0.001,0,20,null
6,0,1,False,0,,,,1,0.001,0,20,null
7,0,1,False,0,,,,1,0.001,0,20,null
8,0,1,False,0,,,,1,0.001,0,20,null
9,0,1,False,0,,,,1,0.001,0,20,null
10,0,1,False,0,,,,1,0.001,0,20,null
11,0,1,False,0,,,,1,0.001,0,20,null
12,0,1,False,0,,,,1,0.001,0,20,null
13,0,1,False,0,,,,1,0.001,0,20,null
14,0,1,False,0,,,,1,0.001,0,20,null
0,0,2,True,8,1.3081553368722225,0.27049253593633593,1.5179999999999998,1,0.001,0,20,null
1,0,2,False,0,,,,1,0.001,0,20,null
2,0,2,False,0,,,,1,0.001,0,20,null
3,0,2,False,0,,,,1,0.001,0,20,null
4,0,2,False,0,,,,1,0.001,0,20,null
5,0,2,False,0,,,,1,0.001,0,20,null
6,0,2,False,0,,,,1,0.001,0,20,null
7,0,2,False,0,,,,1,0.001,0,20,null
8,0,2,False,0,,,,1,0.001,0,20,null
9,0,2,False,0,,,,1,0.001,0,20,null
10,0,2,False,0,,,,1,0.001,0,20,null
11,0,2,False,0,,,,1,0.001,0,20,null
12,0,2,False,0,,,,1,0.001,0,20,null
13,0,2,False,0,,,,1,0.001,0,20,null
14,0,2,False,0,,,,1,0.001,0,20,null
0,0,3,True,11,1.3719305607304977,0.5015349827542022,1.9319999999999995,1,0.001,0,20,null
1,0,3,True,5,1.2904398534192714,1.6416188192005636,3.011,1,0.001,0,20,null
2,0,3,False,0,,,,1,0.001,0,20,null
3,0,3,False,0,,,,1,0.001,0,20,null
4,0,3,False,0,,,,1,0.001,0,20,null
5,0,3,False,0,,,,1,0.001,0,20,null
6,0,3,False,0,,,,1,0.001,0,20,null
7,0,3,False,0,,,,1,0.001,0,20,null
8,0,3,False,0,,,,1,0.001,0,20,null
9,0,3,False,0,,,,1,0.001,0,20,null
10,0,3,False,0,,,,1,0.001,0,20,null
11,0,3,False,0,,,,1,0.001,0,20,null
12,0,3,False,0,,,,1,0.001,0,20,null
13,0,3,False,0,,,,1,0.001,0,20,null
14,0,3,False,0,,,,1,0.001,0,20,null
0,0,4,True,8,1.468513118872819,0.862917932825322,2.5400000000000005,1,0.001,0,20,null
1,0,4,True,8,1.4683822589208906,1.35921133702808,3.025,1,0.001,0,20,null
2,0,4,True,6,1.3058674812518662,2.383262946699529,4.170999999999999,1,0.001,0,20,null
3,0,4,False,0,,,,1,0.001,0,20,null
4,0,4,False,0,,,,1,0.001,0,20,null
5,0,4,False,0,,,,1,0.001,0,20,null
6,0,4,False,0,,,,1,0.001,0,20,null
7,0,4,False,0,,,,1,0.001,0,20,null
8,0,4,False,0,,,,1,0.001,0,20,null
9,0,4,False,0,,,,1,0.001,0,20,null
10,0,4,False,0,,,,1,0.001,0,20,null
11,0,4,False,0,,,,1,0.001,0,20,null
12,0,4,False,0,,,,1,0.001,0,20,null
13,0,4,False,0,,,,1,0.001,0,20,null
14,0,4,False,0,,,,1,0.001,0,20,null
0,0,5,True,7,1.543340617571802,1.1551287505946604,2.985,1,0.001,0,20,null
1,0,5,True,9,1.5498579694426804,1.243808178963438,3.0770000000000004,1,0.001,0,20,null
2,0,5,True,10,1.3302278556515177,2.4858450461808186,4.439,1,0.001,0,20,null
3,0,5,True,9,1.2903709985545995,3.393292524109434,5.021,1,0.001,0,20,null
4,0,5,False,0,,,,1,0.001,0,20,null
5,0,5,False,0,,,,1,0.001,0,20,null
6,0,5,False,0,,,,1,0.001,0,20,null
7,0,5,False,0,,,,1,0.001,0,20,null
8,0,5,False,0,,,,1,0.001,0,20,null
9,0,5,False,0,,,,1,0.001,0,20,null
10,0,5,False,0,,,,1,0.001,0,20,null
11,0,5,False,0,,,,1,0.001,0,20,null
12,0,5,False,0,,,,1,0.001,0,20,null
13,0,5,False,0,,,,1,0.001,0,20,null
14,0,5,False,0,,,,1,0.001,0,20,null
0,0,6,True,11,1.5810382712629318,1.1932642470120323,3.259,1,0.001,0,20,null
1,0,6,True,10,1.585613830354706,1.2224995194213446,3.324,1,0.001,0,20,null
2,0,6,True,8,1.3656091538084363,2.595609347455234,4.7879999999999985,1,0.001,0,20,null
3,0,6,True,5,1.2902661757994403,3.3939454868473415,5.008,1,0.001,0,20,null
4,0,6,True,7,1.290894842342121,4.057786379304427,6.021,1,0.001,0,20,null
