seed,culture,rep,cycle,frac,duration
876,co,0,0,0.008914448632966908,5
876,co,0,1,0.008822108924500686,5
876,co,0,2,0.03072673898133619,5
876,co,0,3,0.0684319663714501,5
876,co,0,4,0.07773816423881941,5
876,co,0,5,0.08013727828460815,5
876,co,0,6,0.08146271066756038,5
876,co,0,7,0.08335214301712386,5
876,co,0,8,0.10167900902565227,5
876,co,0,9,0.10597612426720066,5
876,co,1,0,0.011505790826870683,5
876,co,1,1,0.01656539543256032,5
876,co,1,2,0.01893255646506138,5
876,co,1,3,0.02060964790755315,5
876,co,1,4,0.021804211782444283,5
876,co,1,5,0.022609949499335553,5
876,co,1,6,0.0231508997906224,5
876,co,1,7,0.023520213014744402,5
876,co,1,8,0.023777065042053645,5
876,co,1,9,0.023958080106367075,5
876,co,2,0,0.00891444382531295,5
876,co,2,1,0.008822655238256465,5
876,co,2,2,0.008819355389798698,5
876,co,2,3,0.008819065445601994,5
876,co,2,4,0.008819035019862155,5
876,co,2,5,0.008819032536502841,5
876,co,2,6,0.008819037737074516,5
876,co,2,7,0.008818850488618194,5
876,co,2,8,0.008818571786875054,5
876,co,2,9,0.01399313937578981,5
876,co,3,0,0.00891444382531295,5
876,co,3,1,0.008822655238256465,5
876,co,3,2,0.008819355389798698,5
876,co,3,3,0.008819065445601994,5
876,co,3,4,0.008819035019862155,5
876,co,3,5,0.00881903694167967,5
876,co,3,6,0.008818940495745338,5
876,co,3,7,0.008818857007260159,5
876,co,3,8,0.008818719507809226,5
876,co,3,9,0.021315667852540576,5
876,co,4,0,0.00891444382531295,5
876,co,4,1,0.008822655238256465,5
876,co,4,2,0.02648996241201722,5
876,co,4,3,0.04788007810477512,5
876,co,4,4,0.056482716888075685,5
876,co,4,5,0.058313001131911284,5
876,co,4,6,0.05863118470452938,5
876,co,4,7,0.06764096728079759,5
876,co,4,8,0.06943271373893346,5
876,co,4,9,0.07158638010375376,5
