seed,culture,rep,cycle,frac,duration
876,mono,0,0,0.013439034599614827,5
876,mono,0,1,0.0133510018959502,5
876,mono,0,2,0.013350413207937275,5
876,mono,0,3,0.013350409276744279,5
876,mono,0,4,0.013350409245924596,5
876,mono,0,5,0.013350409250249853,5
876,mono,0,6,0.013350409247416432,5
876,mono,0,7,0.013350409224960136,5
876,mono,0,8,0.013350409201957302,5
876,mono,0,9,0.013350409273153039,5
876,mono,1,0,0.013439034599614827,5
876,mono,1,1,0.0133510018959502,5
876,mono,1,2,0.013350413207937275,5
876,mono,1,3,0.013350409276744279,5
876,mono,1,4,0.013350409245924596,5
876,mono,1,5,0.013350409250249853,5
876,mono,1,6,0.013350409247416432,5
876,mono,1,7,0.013350409224960136,5
876,mono,1,8,0.013384008846901845,5
876,mono,1,9,0.013447391664926514,5
876,mono,2,0,0.013439034599614827,5
876,mono,2,1,0.0133510018959502,5
876,mono,2,2,0.013350413207937275,5
876,mono,2,3,0.013448923607340355,5
876,mono,2,4,0.013895429436404434,5
876,mono,2,5,0.016350684651713153,5
876,mono,2,6,0.0279101003869078,5
876,mono,2,7,0.061308098152663935,5
876,mono,2,8,0.09427818922762222,5
876,mono,2,9,0.10457169781366714,5
876,mono,3,0,0.013439034599614827,5
876,mono,3,1,0.013407382571465702,5
876,mono,3,2,0.013571947239146379,5
876,mono,3,3,0.014215028060832231,5
876,mono,3,4,0.016615896484396406,5
876,mono,3,5,0.024354367258997756,5
876,mono,3,6,0.04084192655762048,5
876,mono,3,7,0.0574363841936633,5
876,mono,3,8,0.06505134613649874,5
876,mono,3,9,0.06731337517951057,5
876,mono,4,0,0.013439034599614827,5
876,mono,4,1,0.0133510018959502,5
876,mono,4,2,0.013350413207937275,5
876,mono,4,3,0.013350409276744279,5
876,mono,4,4,0.013350409245924596,5
876,mono,4,5,0.013350409250249853,5
876,mono,4,6,0.013350409247416432,5
876,mono,4,7,0.013350409224960136,5
876,mono,4,8,0.013376999954758672,5
876,mono,4,9,0.013417764313512518,5
