rep,gen,phase_end,species,genotype,nlag,ngrow,ntot,lag,Ta
0,0,0,Escherichia coli,E0g0,10.0,0.0,10.0,1.0,3
0,0,0,Salmonella enterica,S0g0,10.0,0.0,10.0,1.0,3
0,0,1,Escherichia coli,E0g0,0.4978706824350985,0.8045517555147962,1.3024224379498948,1.0,3
0,0,1,Salmonella enterica,S0g0,0.4978706824350985,5.29741300291394,5.795283685349038,1.0,3
0,0,2,Escherichia coli,E0g0,2.6473063344746193e-10,500.65116115483426,500.651161155099,1.0,3
0,0,2,Salmonella enterica,S0g0,2.6473063344746193e-10,255.39761630391143,255.39761630417615,1.0,3
0,1,1,Escherichia coli,E0g0,24.925953608700198,23.82354625432634,48.74949986302654,1.0,3
0,1,1,Salmonella enterica,S0g0,12.715498594036719,39.9871771343641,52.70267572840082,1.0,3
0,1,2,Escherichia coli,E0g0,2.744086957170888e-08,524.3746975289148,524.3746975563556,1.0,3
0,1,2,Salmonella enterica,S0g0,1.39984348827726e-08,278.8513099968344,278.85131001083283,1.0,3
0,2,1,Escherichia coli,E0g0,26.10707893777033,24.95098777952721,51.058066717297535,1.0,3
0,2,1,Salmonella enterica,S0g0,13.883189246695277,43.98868404599813,57.87187329269341,1.0,3
0,2,2,Escherichia coli,E0g0,2.8228629077972783e-08,525.528980842787,525.5289808710156,1.0,3
0,2,2,Salmonella enterica,S0g0,1.5011384482352267e-08,281.43590852247615,281.43590853748753,1.0,3
0,3,1,Escherichia coli,E0g0,26.16454732031317,25.005714451767524,51.17026177208069,1.0,3
0,3,1,Salmonella enterica,S0g0,14.01186883044941,44.48904905031025,58.50091788075966,1.0,3
0,3,2,Escherichia coli,E0g0,2.4480646765525996e-08,525.5850783684607,525.5850783929413,1.0,3
0,3,2,Salmonella enterica,S0g0,1.3110091563722484e-08,281.7504307873172,281.7504308004273,1.0,3
0,4,1,Escherichia coli,E0g0,26.16734025151524,25.008357274394754,51.175697525909996,1.0,3
0,4,1,Salmonella enterica,S0g0,14.027527971891537,44.55345372895491,58.58098170084645,1.0,3
0,4,2,Escherichia coli,E0g0,2.8170759208031233e-08,525.587796241421,525.5877962695918,1.0,3
0,4,2,Salmonella enterica,S0g0,1.5101500916419525e-08,281.7904626913435,281.790462706445,1.0,3
0,5,1,Escherichia coli,E0g0,26.16747556663143,25.008483102107615,51.17595866873904,1.0,3
0,5,1,Salmonella enterica,S0g0,14.02952104313781,44.561813785881164,58.591334829018976,1.0,3
0,5,2,Escherichia coli,E0g0,2.8264532911731513e-08,525.5879268127297,525.5879268409942,1.0,3
0,5,2,Salmonella enterica,S0g0,1.515384463506726e-08,281.7956392548724,281.79563927002624,1.0,3
0,6,1,Escherichia coli,E0g0,26.16748206739956,25.008488856407695,51.175970923807256,1.0,3
0,6,1,Salmonella enterica,S0g0,14.029778769063357,44.562902389425574,58.59268115848893,1.0,3
0,6,2,Escherichia coli,E0g0,2.822984602497036e-08,525.5879329402954,525.5879329685253,1.0,3
0,6,2,Salmonella enterica,S0g0,1.5135521766933042e-08,281.7963124195442,281.79631243467975,1.0,3
0,7,1,Escherichia coli,E0g0,26.167482372471397,25.0084890880077,51.1759714604791,1.0,3
0,7,1,Salmonella enterica,S0g0,14.029812283958021,44.563044312519985,58.59285659647801,1.0,3
0,7,2,Escherichia coli,E0g0,2.8228209294345574e-08,525.5879332086334,525.5879332368617,1.0,3
0,7,2,Salmonella enterica,S0g0,1.513468020650413e-08,281.7964001385844,281.79640015371905,1.0,3
0,8,1,Escherichia coli,E0g0,26.16748238583119,25.008489092946096,51.175971478777285,1.0,3
0,8,1,Salmonella enterica,S0g0,14.02981665123188,44.5630628236954,58.59287947492727,1.0,3
0,8,2,Escherichia coli,E0g0,2.8228007091230182e-08,525.5879332177828,525.5879332460108,1.0,3
0,8,2,Salmonella enterica,S0g0,1.5134576497147152e-08,281.7964115777219,281.7964115928565,1.0,3
0,9,1,Escherichia coli,E0g0,26.16748238628664,25.00848909235973,51.175971478646375,1.0,3
0,9,1,Salmonella enterica,S0g0,14.029817220752982,44.5630652385187,58.592882459271685,1.0,3
0,9,2,Escherichia coli,E0g0,2.822798004833018e-08,525.5879332177163,525.5879332459443,1.0,3
0,9,2,Salmonella enterica,S0g0,1.513456261294577e-08,281.79641307000475,281.7964130851393,1.0,3
0,10,1,Escherichia coli,E0g0,26.167482386283357,25.008489092223115,51.17597147850647,1.0,3
0,10,1,Salmonella enterica,S0g0,14.029817295049371,44.56306555358346,58.59288284863283,1.0,3
0,10,2,Escherichia coli,E0g0,2.7051305788572685e-08,251.65711657196456,251.65711659901586,1.0,3
0,10,2,Escherichia coli,E1g10,1.631414842694816e-05,302.72723893146235,302.72725524561076,1.5418069012688669,3
