rep,gen,phase_end,species,genotype,nlag,ngrow,ntot,lag,Ta
0,0,0,Escherichia coli,E0g0,5.0,0.0,5.0,1.0,5
0,0,0,Salmonella enterica,S0g0,5.0,0.0,5.0,1.0,5
0,0,1,Escherichia coli,E0g0,0.033689731871209064,0.07413862500794409,0.10782835687915315,1.0,5
0,0,1,Salmonella enterica,S0g0,0.033689731871209064,2.533163513879147,2.566853245750356,1.0,5
0,0,2,Escherichia coli,E0g0,1.9698857397320294e-10,500.05386417293875,500.0538641731357,1.0,5
0,0,2,Salmonella enterica,S0g0,1.9698857397320294e-10,253.7834012444201,253.7834012446171,1.0,5
0,1,1,Escherichia coli,E0g0,3.369336414118224,3.36822876275993,6.737565176878154,1.0,5
0,1,1,Salmonella enterica,S0g0,1.7099790970042514,9.912131324140868,11.62211042114512,1.0,5
0,1,2,Escherichia coli,E0g0,5.16344977316695e-09,503.36873225482304,503.3687322599865,1.0,5
0,1,2,Salmonella enterica,S0g0,2.6205133873249985e-09,258.3110293811209,258.3110293837414,1.0,5
0,2,1,Escherichia coli,E0g0,3.3916718181167798,3.390500512328649,6.782172330445428,1.0,5
0,2,1,Salmonella enterica,S0g0,1.7404860145684748,10.406876499188483,12.147362513756958,1.0,5
0,2,2,Escherichia coli,E0g0,4.45511806444992e-09,503.3910358301408,503.3910358345959,1.0,5
0,2,2,Salmonella enterica,S0g0,2.286209014416338e-09,258.5736554015806,258.5736554038668,1.0,5
0,3,1,Escherichia coli,E0g0,3.391822098365454,3.390646575796856,6.78246867416231,1.0,5
0,3,1,Salmonella enterica,S0g0,1.7422555747340438,10.455132021921328,12.197387596655371,1.0,5
0,3,2,Escherichia coli,E0g0,4.434420448744763e-09,503.3911840020052,503.39118400643963,1.0,5
0,3,2,Salmonella enterica,S0g0,2.277800404360277e-09,258.59866794053346,258.59866794281123,1.0,5
0,4,1,Escherichia coli,E0g0,3.3918230967345453,3.3906471667973803,6.782470263531925,1.0,5
0,4,1,Salmonella enterica,S0g0,1.7424241078921887,10.459993462803146,12.202417570695335,1.0,5
0,4,2,Escherichia coli,E0g0,4.4303621035772e-09,503.39118479669355,503.3911848011239,1.0,5
0,4,2,Salmonella enterica,S0g0,2.2759352464757276e-09,258.6011829273086,258.6011829295846,1.0,5
0,5,1,Escherichia coli,E0g0,3.3918231020886016,3.3906471311530315,6.782470233241633,1.0,5
0,5,1,Salmonella enterica,S0g0,1.7424410537394193,10.460484543880337,12.202925597619757,1.0,5
0,5,2,Escherichia coli,E0g0,4.429908639931952e-09,503.39118478154927,503.3911847859792,1.0,5
0,5,2,Salmonella enterica,S0g0,2.2757244250218316e-09,258.6014369407423,258.60143694301803,1.0,5
0,6,1,Escherichia coli,E0g0,3.3918231019865135,3.3906471269098835,6.782470228896397,1.0,5
0,6,1,Salmonella enterica,S0g0,1.7424427652684373,10.460534162214298,12.202976927482736,1.0,5
0,6,2,Escherichia coli,E0g0,4.4298829138277646e-09,503.39118477937666,503.3911847838065,1.0,5
0,6,2,Salmonella enterica,S0g0,2.2757134443571315e-09,258.60146260567177,258.6014626079475,1.0,5
0,7,1,Escherichia coli,E0g0,3.3918231019718603,3.3906471264768205,6.78247022844868,1.0,5
0,7,1,Salmonella enterica,S0g0,1.7424429381973652,10.460539175704513,12.202982113901879,1.0,5
0,7,2,Escherichia coli,E0g0,4.429882775225757e-09,503.3911847791527,503.39118478358256,1.0,5
