seed,culture,rep,cycle,tol_time
876,co,0,0,4.9
876,co,0,1,4.9
876,co,0,2,7.9
876,co,0,3,9.8
876,co,0,4,9.700000000000001
876,co,0,5,9.8
876,co,0,6,9.8
876,co,0,7,10.0
876,co,0,8,10.0
876,co,0,9,10.0
876,co,1,0,5.6000000000000005
876,co,1,1,6.2
876,co,1,2,5.9
876,co,1,3,6.0
876,co,1,4,6.1000000000000005
876,co,1,5,6.1000000000000005
876,co,1,6,6.2
876,co,1,7,6.2
876,co,1,8,6.2
876,co,1,9,6.2
876,co,2,0,4.9
876,co,2,1,4.9
876,co,2,2,4.9
876,co,2,3,4.9
876,co,2,4,4.9
876,co,2,5,4.9
876,co,2,6,4.9
876,co,2,7,4.9
876,co,2,8,4.9
876,co,2,9,5.9
876,co,3,0,4.9
876,co,3,1,4.9
876,co,3,2,4.9
876,co,3,3,4.9
876,co,3,4,4.9
876,co,3,5,4.9
876,co,3,6,4.9
876,co,3,7,4.9
876,co,3,8,4.9
876,co,3,9,6.800000000000001
876,co,4,0,4.9
876,co,4,1,4.9
876,co,4,2,7.4
876,co,4,3,8.0
876,co,4,4,8.3
876,co,4,5,8.4
876,co,4,6,8.4
876,co,4,7,9.8
876,co,4,8,9.200000000000001
876,co,4,9,9.200000000000001
