seed,culture,rep,cycle,tol_time
449,co,0,0,5.9
449,co,0,1,6.300000000000001
449,co,0,2,8.0
449,co,0,3,9.200000000000001
449,co,0,4,8.5
449,co,0,5,8.6
449,co,0,6,8.700000000000001
449,co,0,7,8.9
449,co,0,8,10.0
449,co,0,9,10.0
449,co,1,0,5.9
449,co,1,1,6.0
449,co,1,2,5.9
449,co,1,3,7.4
449,co,1,4,7.7
449,co,1,5,7.800000000000001
449,co,1,6,7.300000000000001
449,co,1,7,8.9
449,co,1,8,9.200000000000001
449,co,1,9,9.8
449,co,2,0,6.0
449,co,2,1,6.0
449,co,2,2,7.300000000000001
449,co,2,3,8.3
449,co,2,4,10.0
449,co,2,5,10.0
449,co,2,6,10.0
449,co,2,7,10.0
449,co,2,8,10.0
449,co,2,9,10.0
449,co,3,0,5.9
449,co,3,1,6.0
449,co,3,2,6.0
449,co,3,3,6.4
449,co,3,4,6.7
449,co,3,5,7.300000000000001
449,co,3,6,7.5
449,co,3,7,7.6000000000000005
449,co,3,8,7.6000000000000005
449,co,3,9,7.6000000000000005
449,co,4,0,5.5
449,co,4,1,5.800000000000001
449,co,4,2,6.7
449,co,4,3,6.800000000000001
449,co,4,4,6.9
449,co,4,5,7.0
449,co,4,6,6.4
449,co,4,7,8.700000000000001
449,co,4,8,10.0
449,co,4,9,10.0
