seed,culture,rep,cycle,tol_time
299,mono,0,0,5.300000000000001
299,mono,0,1,5.4
299,mono,0,2,5.4
299,mono,0,3,5.5
299,mono,0,4,5.800000000000001
299,mono,0,5,6.6000000000000005
299,mono,0,6,7.7
299,mono,0,7,8.3
299,mono,0,8,8.5
299,mono,0,9,8.5
299,mono,1,0,5.300000000000001
299,mono,1,1,5.300000000000001
299,mono,1,2,5.4
299,mono,1,3,5.4
299,mono,1,4,5.4
299,mono,1,5,5.5
299,mono,1,6,5.7
299,mono,1,7,6.0
299,mono,1,8,6.4
299,mono,1,9,6.7
299,mono,2,0,5.300000000000001
299,mono,2,1,5.300000000000001
299,mono,2,2,5.300000000000001
299,mono,2,3,5.4
299,mono,2,4,5.4
299,mono,2,5,5.4
299,mono,2,6,5.7
299,mono,2,7,6.5
299,mono,2,8,7.6000000000000005
299,mono,2,9,8.200000000000001
299,mono,3,0,5.300000000000001
299,mono,3,1,5.300000000000001
299,mono,3,2,5.300000000000001
299,mono,3,3,5.4
299,mono,3,4,5.4
299,mono,3,5,5.5
299,mono,3,6,5.7
299,mono,3,7,6.5
299,mono,3,8,7.5
299,mono,3,9,8.1
299,mono,4,0,5.300000000000001
299,mono,4,1,5.300000000000001
299,mono,4,2,5.4
299,mono,4,3,5.4
299,mono,4,4,5.6000000000000005
299,mono,4,5,6.6000000000000005
299,mono,4,6,8.4
299,mono,4,7,9.4
299,mono,4,8,9.700000000000001
299,mono,4,9,9.8
