seed,culture,rep,cycle,phase_end,species,genotype,nlag,ngrow,ntot,lag,Ta,M,L,A
307,co,0,0,0,Escherichia coli,E0c0,5.0,0.0,5.0,1.0,5,1.0,1000.0,0.0
307,co,0,0,0,Salmonella enterica,S0c0,5.0,0.0,5.0,1.0,5,1.0,1000.0,0.0
307,co,0,0,1,Escherichia coli,E0c0,0.033689731871209064,0.07413862500794409,0.10782835687915315,1.0,5,2.6532457880357097,997.5538892285242,0.03739997510976706
307,co,0,0,1,Salmonella enterica,S0c0,0.033689731871209064,2.533163513879147,2.566853245750356,1.0,5,2.6532457880357097,997.5538892285242,0.03739997510976706
307,co,0,0,2,Escherichia coli,E0c0,7.427828567349915e-12,1000.1076183344322,1000.1076183344396,1.0,5,344.3999276760101,-1.2404429722158573e-35,-1.0230417339917878e-26
307,co,0,0,2,Salmonella enterica,S0c0,7.427828567349915e-12,507.56674665688877,507.5667466568962,1.0,5,344.3999276760101,-1.2404429722158573e-35,-1.0230417339917878e-26
307,co,0,1,1,Escherichia coli,E0c0,3.3693360434912525,3.368228393406639,6.737564436897891,1.0,5,509.6198892996055,753.3418576438016,6.963439562821245
307,co,0,1,1,Salmonella enterica,S0c0,1.709978908906571,9.912130368383982,11.622109277290553,1.0,5,509.6198892996055,753.3418576438016,6.963439562821245
307,co,0,1,2,Escherichia coli,E0c0,8.947778571119259e-10,1005.7373530379845,1005.7373530388793,1.0,5,344.3999276760009,-3.894058081738702e-43,2.8845052750516735e-31
307,co,0,1,2,Escherichia coli,E1c1,4.54110612055451e-10,515.6220007947462,515.6220007952003,1.7169726401677983,5,344.3999276760009,-3.894058081738702e-43,2.8845052750516735e-31
307,co,0,1,2,Salmonella enterica,S0c0,1.0,0.0,1.0,1.0,5,344.3999276760009,-3.894058081738702e-43,2.8845052750516735e-31
307,co,0,1,2,Salmonella enterica,S1c1,1.0,0.0,1.0,2.0019302748213854,5,344.3999276760009,-3.894058081738702e-43,2.8845052750516735e-31
307,co,0,2,1,Escherichia coli,E0c0,3.3883024747680994,3.396505083360791,6.7848075581288905,1.0,5,309.39797043797324,632.9559814900807,369.81385556301564
307,co,0,2,1,Escherichia coli,E1c1,14.014947587602766,5.791920324834389,19.806867912437156,1.7169726401677983,5,309.39797043797324,632.9559814900807,369.81385556301564
307,co,0,2,1,Salmonella enterica,S0c0,0.003368973484508848,0.01701544338333182,0.020384416867840666,1.0,5,309.39797043797324,632.9559814900807,369.81385556301564
307,co,0,2,1,Salmonella enterica,S1c1,0.041141552290770045,0.03789613091443828,0.07903768320520832,2.0019302748213854,5,309.39797043797324,632.9559814900807,369.81385556301564
307,co,0,2,2,Escherichia coli,E0c0,3.7363799591318824e-13,287.14993805582066,287.14993805582105,1.0,5,344.39992767600563,-5.414568887435543e-36,-1.6665357537508148e-23
307,co,0,2,2,Escherichia coli,E1c1,8.033215534609995e-10,739.4415219669687,739.441521967772,1.7169726401677983,5,344.39992767600563,-5.414568887435543e-36,-1.6665357537508148e-23
307,co,0,2,2,Salmonella enterica,S0c0,3.7150653218711087e-16,121.64255796596049,121.64255796596049,1.0,5,344.39992767600563,-5.414568887435543e-36,-1.6665357537508148e-23
307,co,0,2,2,Salmonella enterica,S1c1,4.309688174887867e-11,383.45675806362976,383.45675806367285,2.0019302748213854,5,344.39992767600563,-5.414568887435543e-36,-1.6665357537508148e-23
307,co,0,3,1,Escherichia coli,E0c0,0.9674005242317109,0.9672218216920535,1.9346223459237644,1.0,5,492.0856419539978,758.5136553013748,24.882779199647054
307,co,0,3,1,Escherichia coli,E1c1,20.098510454792134,8.28994869593237,28.388459150724504,1.7169726401677983,5,492.0856419539978,758.5136553013748,24.882779199647054
307,co,0,3,1,Salmonella enterica,S0c0,0.4098105510379059,2.203092193114101,2.6129027441520067,1.0,5,492.0856419539978,758.5136553013748,24.882779199647054
307,co,0,3,1,Salmonella enterica,S1c1,15.776006262727666,15.14234106150946,30.918347324237125,2.0019302748213854,5,492.0856419539978,758.5136553013748,24.882779199647054
307,co,0,3,2,Escherichia coli,E0c0,0.0,84.6334342911274,84.6334342911274,1.0,5,344.3999276759971,-3.215278224017312e-29,-7.865841440579856e-16
307,co,0,3,2,Escherichia coli,E1c1,1.1898087585570164e-09,945.6894310138856,945.6894310150755,1.7169726401677983,5,344.3999276759971,-3.215278224017312e-29,-7.865841440579856e-16
307,co,0,3,2,Salmonella enterica,S0c0,0.0,49.86393746100783,49.86393746100783,1.0,5,344.3999276759971,-3.215278224017312e-29,-7.865841440579856e-16
307,co,0,3,2,Salmonella enterica,S1c1,1.676331874338797e-08,488.6671996590186,488.6671996757819,2.0019302748213854,5,344.3999276759971,-3.215278224017312e-29,-7.865841440579856e-16
307,co,0,4,1,Escherichia coli,E0c0,0.2851277941483819,0.28505858124407585,0.5701863753924578,1.0,5,499.5752512150754,760.8574623503839,13.213959008115511
307,co,0,4,1,Escherichia coli,E1c1,25.704465262053276,10.601746886181068,36.306212148234344,1.7169726401677983,5,499.5752512150754,760.8574623503839,13.213959008115511
307,co,0,4,1,Salmonella enterica,S0c0,0.16799028203089883,0.9308866675424826,1.0988769495733814,1.0,5,499.5752512150754,760.8574623503839,13.213959008115511
307,co,0,4,1,Salmonella enterica,S1c1,20.104527147197423,19.74218134026164,39.84670848745907,2.0019302748213854,5,499.5752512150754,760.8574623503839,13.213959008115511
307,co,0,4,2,Escherichia coli,E0c0,0.0,21.00236134086564,21.00236134086564,1.0,5,344.39992767600734,1.8429934544443638e-33,5.649833776389691e-19
307,co,0,4,2,Escherichia coli,E1c1,3.583517866711007e-10,1015.873819660477,1015.8738196608354,1.7169726401677983,5,344.39992767600734,1.8429934544443638e-33,5.649833776389691e-19
307,co,0,4,2,Salmonella enterica,S0c0,0.0,17.603664336608524,17.603664336608524,1.0,5,344.39992767600734,1.8429934544443638e-33,5.649833776389691e-19
307,co,0,4,2,Salmonella enterica,S1c1,1.3048948940270863e-08,528.3418066408824,528.3418066539314,2.0019302748213854,5,344.39992767600734,1.8429934544443638e-33,5.649833776389691e-19
307,co,0,5,1,Escherichia coli,E0c0,0.07075639673920313,0.07073910009063579,0.14149549682983892,1.0,5,500.42090431813523,760.3520111211649,12.575492665047879
307,co,0,5,1,Escherichia coli,E1c1,27.61212343207016,11.388535029002124,39.000658461072284,1.7169726401677983,5,500.42090431813523,760.3520111211649,12.575492665047879
307,co,0,5,1,Salmonella enterica,S0c0,0.059306276929977614,0.32929134089057394,0.3885976178205516,1.0,5,500.42090431813523,760.3520111211649,12.575492665047879
307,co,0,5,1,Salmonella enterica,S1c1,21.736802061759125,21.378380609189502,43.11518267094863,2.0019302748213854,5,500.42090431813523,760.3520111211649,12.575492665047879
307,co,0,5,2,Escherichia coli,E0c0,1.2820487475921116e-16,4.942680781281606,4.942680781281606,1.0,5,344.3999276760155,-4.047328199827081e-34,2.0712568966734177e-20
307,co,0,5,2,Escherichia coli,E1c1,9.466544057810834e-10,1033.1992551932424,1033.199255194189,1.7169726401677983,5,344.3999276760155,-4.047328199827081e-34,2.0712568966734177e-20
307,co,0,5,2,Escherichia coli,E2c5,1.0745818267532792e-16,5.912663854003445,5.912663854003445,2.153303427749068,5,344.3999276760155,-4.047328199827081e-34,2.0712568966734177e-20
307,co,0,5,2,Salmonella enterica,S0c0,1.872235027444347e-08,542.5910014481221,542.5910014668445,1.0,5,344.3999276760155,-4.047328199827081e-34,2.0712568966734177e-20
307,co,0,5,2,Salmonella enterica,S1c1,1.0,0.0,1.0,2.0019302748213854,5,344.3999276760155,-4.047328199827081e-34,2.0712568966734177e-20
307,co,0,6,1,Escherichia coli,E0c0,0.016651759846489478,0.016645467405708287,0.03329722725219776,1.0,5,510.5279658838563,759.0243688466545,0.788429576196094
307,co,0,6,1,Escherichia coli,E1c1,28.08304017095222,11.581775656351478,39.6648158273037,1.7169726401677983,5,510.5279658838563,759.0243688466545,0.788429576196094
307,co,0,6,1,Escherichia coli,E2c5,0.2899448961023591,0.08802084153254133,0.3779657376349004,2.153303427749068,5,510.5279658838563,759.0243688466545,0.788429576196094
307,co,0,6,1,Salmonella enterica,S0c0,1.8279746257352625,27.246729958893084,29.074704584628346,1.0,5,510.5279658838563,759.0243688466545,0.788429576196094
307,co,0,6,1,Salmonella enterica,S1c1,0.04114155222538877,0.08271651492818083,0.12385806715356959,2.0019302748213854,5,510.5279658838563,759.0243688466545,0.788429576196094
307,co,0,6,2,Escherichia coli,E0c0,6.810108942262292e-17,1.1401176715177077,1.1401176715177077,1.0,5,344.3999276760019,1.2393250115766004e-39,-6.3865463156550375e-28
307,co,0,6,2,Escherichia coli,E1c1,1.1728337637386506e-09,1030.381632596106,1030.381632597279,1.7169726401677983,5,344.3999276760019,1.2393250115766004e-39,-6.3865463156550375e-28
307,co,0,6,2,Escherichia coli,E2c5,1.2015607034558495e-09,8.554110350654156,8.554110351855718,2.153303427749068,5,344.3999276760019,1.2393250115766004e-39,-6.3865463156550375e-28
307,co,0,6,2,Salmonella enterica,S0c0,7.475910346071649e-15,532.203099703637,532.203099703637,1.0,5,344.3999276760019,1.2393250115766004e-39,-6.3865463156550375e-28
307,co,0,6,2,Salmonella enterica,S1c1,4.3371506657777136e-11,1.995350775953449,1.9953507759968205,2.0019302748213854,5,344.3999276760019,1.2393250115766004e-39,-6.3865463156550375e-28
307,co,0,7,1,Escherichia coli,E0c0,0.003841026303062932,0.003839589154113821,0.007680615457176753,1.0,5,509.651408538417,760.0366025919748,1.0196385190074062
307,co,0,7,1,Escherichia coli,E1c1,28.006455445301185,11.550220736408152,39.556676181709335,1.7169726401677983,5,509.651408538417,760.0366025919748,1.0196385190074062
307,co,0,7,1,Escherichia coli,E2c5,0.41947600978898864,0.12734391314713345,0.5468199229361221,2.153303427749068,5,509.651408538417,760.0366025919748,1.0196385190074062
307,co,0,7,1,Salmonella enterica,S0c0,1.7929781772543514,23.730115454885272,25.523093632139624,1.0,5,509.651408538417,760.0366025919748,1.0196385190074062
307,co,0,7,1,Salmonella enterica,S1c1,0.0820918283251231,0.15066681948122135,0.23275864780634445,2.0019302748213854,5,509.651408538417,760.0366025919748,1.0196385190074062
307,co,0,7,2,Escherichia coli,E0c0,1.705403498364294e-17,0.2627446930991973,0.2627446930991973,1.0,5,344.39992767600734,-4.4312143116607527e-32,-9.093889142401499e-19
307,co,0,7,2,Escherichia coli,E1c1,1.0469834511340074e-09,1027.4701687867935,1027.4701687878405,1.7169726401677983,5,344.39992767600734,-4.4312143116607527e-32,-9.093889142401499e-19
307,co,0,7,2,Escherichia coli,E2c5,1.7035151236604474e-09,12.378045059103863,12.378045060807379,2.153303427749068,5,344.39992767600734,-4.4312143116607527e-32,-9.093889142401499e-19
307,co,0,7,2,Salmonella enterica,S0c0,7.960766236086386e-15,526.57164569805,526.57164569805,1.0,5,344.39992767600734,-4.4312143116607527e-32,-9.093889142401499e-19
307,co,0,7,2,Salmonella enterica,S1c1,8.347566801228566e-11,4.184095132887937,4.184095132971413,2.0019302748213854,5,344.39992767600734,-4.4312143116607527e-32,-9.093889142401499e-19
307,co,0,8,1,Escherichia coli,E0c0,0.0008851799568070224,0.0008848498424228753,0.0017700297992298978,1.0,5,509.48856884464925,760.0912138538674,1.1802514265001829
307,co,0,8,1,Escherichia coli,E1c1,27.927319962833238,11.51759383347963,39.44491379631287,1.7169726401677983,5,509.48856884464925,760.0912138538674,1.1802514265001829
307,co,0,8,1,Escherichia coli,E2c5,0.6069939174314585,0.18427046502313674,0.7912643824545952,2.153303427749068,5,509.48856884464925,760.0912138538674,1.1802514265001829
307,co,0,8,1,Salmonella enterica,S0c0,1.7740060173882388,22.003437599483597,23.777443616871835,1.0,5,509.48856884464925,760.0912138538674,1.1802514265001829
307,co,0,8,1,Salmonella enterica,S1c1,0.17214016885695027,0.30068399101844473,0.472824159875395,2.0019302748213854,5,509.48856884464925,760.0912138538674,1.1802514265001829
307,co,0,8,2,Escherichia coli,E0c0,0.0,0.06038932934388725,0.06038932934388725,1.0,5,344.3999276760039,1.1653675076455097e-32,1.1764605450186306e-18
