seed,culture,rep,cycle,phase_end,species,genotype,nlag,ngrow,ntot,lag,Ta
309,co,0,0,0,Escherichia coli,E0c0,5.0,0.0,5.0,1.0,5
309,co,0,0,0,Salmonella enterica,S0c0,5.0,0.0,5.0,1.0,5
309,co,0,0,1,Escherichia coli,E0c0,0.03368911522517905,4.966309295461038,4.999998410686217,1.0,5
309,co,0,0,1,Salmonella enterica,S0c0,0.03368911522517905,4.966309295461038,4.999998410686217,1.0,5
309,co,0,0,2,Escherichia coli,E0c0,4.920002140300273e-06,4.000048601904545,4.000053521906685,1.0,5
309,co,0,0,2,Escherichia coli,E1c0,9.204078836022583e-06,5.000014535747872,5.000023739826708,1.840983977424635,5
309,co,0,0,2,Salmonella enterica,S0c0,4.999255289946714e-06,1.0000352114721887,1.0000402107274786,1.0,5
309,co,0,1,1,Escherichia coli,E0c0,0.013476350212044463,1.9865506207719592,2.0000269709840035,1.0,5
309,co,0,1,1,Escherichia coli,E1c0,0.16535709081756164,2.3346539801196142,2.500011070937176,1.840983977424635,5
309,co,0,1,1,Salmonella enterica,S0c0,0.003368917888510741,0.49665017436787906,0.5000190922563899,1.0,5
309,co,0,1,2,Escherichia coli,E0c0,4.974802241437911e-06,2.0000813287274344,2.0000863035296756,1.0,5
309,co,0,1,2,Escherichia coli,E1c0,9.20269150006691e-06,2.5000119318255467,2.5000211345170467,1.840983977424635,5
309,co,0,1,2,Salmonella enterica,S0c0,4.990645846728502e-06,0.5000819146838256,0.5000869053296723,1.0,5
309,co,0,2,1,Escherichia coli,E0c0,0.006738213596934357,0.9933051906585115,1.0000434042554458,1.0,5
309,co,0,2,1,Escherichia coli,E1c0,0.08267902024370326,1.1673311341440278,1.250010154387731,1.840983977424635,5
309,co,0,2,1,Salmonella enterica,S0c0,0.001685197961211334,0.24835936738018458,0.2500445653413959,1.0,5
309,co,0,2,2,Escherichia coli,E0c0,4.978360654612024e-06,1.0001018005253086,1.0001067788859632,1.0,5
309,co,0,2,2,Escherichia coli,E1c0,9.16989669954433e-06,1.250018316904342,1.2500274868010415,1.840983977424635,5
309,co,0,2,2,Salmonella enterica,S0c0,4.969030485700638e-06,0.250109693171996,0.2501146622024817,1.0,5
309,co,0,3,1,Escherichia coli,E0c0,0.003369328386407372,0.4966847354587978,0.5000540638452052,1.0,5
309,co,0,3,1,Escherichia coli,E1c0,0.041340093640151516,0.5836735720829646,0.6250136657231161,1.840983977424635,5
309,co,0,3,1,Salmonella enterica,S0c0,0.0008424331809736278,0.12421407369763668,0.1250565068786103,1.0,5
309,co,0,3,2,Escherichia coli,E0c0,4.9758546566188464e-06,0.5001173488679032,0.5001223247225598,1.0,5
309,co,0,3,2,Escherichia coli,E1c0,9.184175737588834e-06,0.6250282783001799,0.6250374624759175,1.840983977424635,5
