seed,culture,rep,cycle,phase_end,species,genotype,nlag,ngrow,ntot,lag,Ta
674,co,0,0,0,Escherichia coli,E0c0,5.0,0.0,5.0,1.0,5
674,co,0,0,0,Salmonella enterica,S0c0,5.0,0.0,5.0,1.0,5
674,co,0,0,1,Escherichia coli,E0c0,0.03368961329846606,0.07401308530230857,0.10770269860077464,1.0,5
674,co,0,0,1,Salmonella enterica,S0c0,0.03368961329846606,2.5330683283576207,2.566757941656087,1.0,5
674,co,0,0,2,Escherichia coli,E0c0,4.949679398073814e-06,2780.1072781445205,2780.1072830942,1.0,5
674,co,0,0,2,Salmonella enterica,S0c0,4.949679398073814e-06,1406.466621852172,1406.4666268018514,1.0,5
674,co,0,1,1,Escherichia coli,E0c0,9.36610774982122,9.324562692377272,18.690670442198492,1.0,5
674,co,0,1,1,Salmonella enterica,S0c0,4.738349772698274,25.069847512682305,29.80819728538058,1.0,5
674,co,0,1,2,Escherichia coli,E0c0,4.99785004021791e-06,2798.690215833405,2798.690220831255,1.0,5
674,co,0,1,2,Salmonella enterica,S0c0,4.995100514032166e-06,1433.7080330249662,1433.7080380200666,1.0,5
674,co,0,2,1,Escherichia coli,E0c0,9.428713321019451,9.38682546895344,18.81553878997289,1.0,5
674,co,0,2,1,Salmonella enterica,S0c0,4.830124698432616,25.989758750333184,30.8198834487658,1.0,5
674,co,0,2,2,Escherichia coli,E0c0,4.996698311118142e-06,2798.815082527359,2798.8150875240576,1.0,5
674,co,0,2,2,Salmonella enterica,S0c0,4.995142300636951e-06,1434.7197176091129,1434.7197226042551,1.0,5
674,co,0,3,1,Escherichia coli,E0c0,9.429133937053818,9.387240803446295,18.816374740500112,1.0,5
674,co,0,3,1,Salmonella enterica,S0c0,4.833532086643156,26.042226976055133,30.87575906269829,1.0,5
674,co,0,3,2,Escherichia coli,E0c0,4.992246664614993e-06,2798.8159204019667,2798.8159253942135,1.0,5
674,co,0,3,2,Salmonella enterica,S0c0,4.998798221242754e-06,1404.56902081472,1404.5690258135182,1.0,5
674,co,0,3,2,Salmonella enterica,S1c3,1.0370890020742351e-05,30.206652125188864,30.206662496078884,2.0742966916224,5
674,co,0,4,1,Escherichia coli,E0c0,9.429137153775864,9.387262058680914,18.81639921245678,1.0,5
674,co,0,4,1,Salmonella enterica,S0c0,4.731956043895468,25.338218342596953,30.070174386492422,1.0,5
674,co,0,4,1,Salmonella enterica,S1c3,1.3558919925737125,1.2279235129299322,2.5838155055036447,2.0742966916224,5
674,co,0,4,2,Escherichia coli,E0c0,4.9997036321346615e-06,2798.8159455053174,2798.815950505021,1.0,5
674,co,0,4,2,Salmonella enterica,S0c0,4.994303097288407e-06,1341.068372424977,1341.06837741928,1.0,5
674,co,0,4,2,Salmonella enterica,S1c3,1.0357532231375975e-05,95.48552662801892,95.48553698555115,2.0742966916224,5
674,co,0,5,1,Escherichia coli,E0c0,9.429136897916612,9.387294034217991,18.8164309321346,1.0,5
674,co,0,5,1,Salmonella enterica,S0c0,4.518023324494179,23.981691877392624,28.499715201886804,1.0,5
674,co,0,5,1,Salmonella enterica,S1c3,4.286077095346213,3.8541229046089542,8.140199999955168,2.0742966916224,5
674,co,0,5,2,Escherichia coli,E0c0,4.977377878825261e-06,2798.8159768998357,2798.8159818772137,1.0,5
674,co,0,5,2,Salmonella enterica,S0c0,4.99739300860901e-06,1164.4114925989613,1164.4114975963544,1.0,5
674,co,0,5,2,Salmonella enterica,S1c3,1.0370441832813885e-05,276.1283205536754,276.1283309241172,2.0742966916224,5
674,co,0,6,1,Escherichia coli,E0c0,9.429137301539786,9.38738905981476,18.816526361354548,1.0,5
674,co,0,6,1,Salmonella enterica,S0c0,3.9228713392025547,20.501653498136967,24.424524837339522,1.0,5
674,co,0,6,1,Salmonella enterica,S1c3,12.394626443962771,11.009313718302916,23.403940162265688,2.0742966916224,5
