seed,culture,rep,cycle,phase_end,species,genotype,nlag,ngrow,ntot,lag,Ta
134,co,0,0,0,Escherichia coli,E0c0,5.0,0.0,5.0,1.0,5
134,co,0,0,0,Salmonella enterica,S0c0,5.0,0.0,5.0,1.0,5
134,co,0,0,2,Escherichia coli,E0c0,4.988133736906634e-06,2784.9995510668205,2784.999556054954,1.0,5
134,co,0,0,2,Salmonella enterica,S0c0,4.988133736906634e-06,1408.8998400477567,1408.8998450358904,1.0,5
134,co,0,1,1,Escherichia coli,E0c0,9.382589053566772,9.340968874765188,18.72355792833196,1.0,5
134,co,0,1,1,Salmonella enterica,S0c0,4.746546001246007,25.11016741289162,29.856713414137626,1.0,5
134,co,0,1,2,Escherichia coli,E0c0,4.995147302204825e-06,2798.7231047413243,2798.7231097364715,1.0,5
134,co,0,1,2,Salmonella enterica,S0c0,4.98530574666183e-06,1433.7565495063445,1433.7565544916504,1.0,5
134,co,0,2,1,Escherichia coli,E0c0,9.428824110235896,9.386935384949826,18.815759495185723,1.0,5
134,co,0,2,1,Salmonella enterica,S0c0,4.830288170655967,25.991735981990285,30.82202415264625,1.0,5
134,co,0,2,2,Escherichia coli,E0c0,4.986662201584807e-06,2798.8153043550847,2798.815309341747,1.0,5
134,co,0,2,2,Salmonella enterica,S0c0,4.997978593268995e-06,1434.7218591142866,1434.7218641122652,1.0,5
134,co,0,3,1,Escherichia coli,E0c0,9.429134322197358,9.387241735962522,18.816376058159882,1.0,5
134,co,0,3,1,Salmonella enterica,S0c0,4.8335401840021825,26.042341417775404,30.875881601777586,1.0,5
134,co,0,3,2,Escherichia coli,E0c0,4.9970593739342366e-06,2798.8159228247214,2798.815927821781,1.0,5
134,co,0,3,2,Salmonella enterica,S0c0,4.991040604188002e-06,1434.775715537754,1434.7757205287946,1.0,5
134,co,0,4,1,Escherichia coli,E0c0,9.429133931896839,9.387241481239336,18.816375413136175,1.0,5
134,co,0,4,1,Salmonella enterica,S0c0,4.833720384312785,26.045298697127357,30.87901908144014,1.0,5
134,co,0,4,2,Escherichia coli,E0c0,4.999057081274743e-06,2798.8159203228006,2798.815925321858,1.0,5
134,co,0,4,2,Salmonella enterica,S0c0,4.996015012152801e-06,1434.7788539104367,1434.7788589064517,1.0,5
134,co,0,5,1,Escherichia coli,E0c0,9.429137069759927,9.387243850241777,18.816380920001706,1.0,5
134,co,0,5,1,Salmonella enterica,S0c0,4.833732482324416,26.04547246486078,30.879204947185194,1.0,5
134,co,0,5,2,Escherichia coli,E0c0,4.999583521837933e-06,2798.8159264831297,2798.815931482713,1.0,5
134,co,0,5,2,Salmonella enterica,S0c0,4.997591161932183e-06,1434.779039709223,1434.7790447068141,1.0,5
134,co,0,6,1,Escherichia coli,E0c0,9.429136764410867,9.38724369451506,18.816380458925927,1.0,5
134,co,0,6,1,Salmonella enterica,S0c0,4.833732258335581,26.04548195100023,30.87921420933581,1.0,5
134,co,0,6,2,Escherichia coli,E0c0,4.976976328289051e-06,2798.8159239960864,2798.815928973063,1.0,5
134,co,0,6,2,Salmonella enterica,S0c0,4.994354417072785e-06,1434.779048076326,1434.7790530706804,1.0,5
134,co,0,7,1,Escherichia coli,E0c0,9.429136723132286,9.387243771934644,18.81638049506693,1.0,5
134,co,0,7,1,Salmonella enterica,S0c0,4.8337325693161795,26.04548220761986,30.87921477693604,1.0,5
134,co,0,7,2,Escherichia coli,E0c0,4.996137957149043e-06,2798.8159237623827,2798.815928758521,1.0,5
134,co,0,7,2,Salmonella enterica,S0c0,4.999239799521823e-06,1434.779050391178,1434.7790553904179,1.0,5
134,co,0,8,1,Escherichia coli,E0c0,9.429136192954905,9.387243430490365,18.816379623445272,1.0,5
134,co,0,8,1,Salmonella enterica,S0c0,4.833732662301624,26.045482878124716,30.87921554042634,1.0,5
134,co,0,8,2,Escherichia coli,E0c0,4.989425459512863e-06,2798.81592275863,2798.815927748056,1.0,5
134,co,0,8,2,Salmonella enterica,S0c0,4.99886501626824e-06,1434.7790499811213,1434.7790549799863,1.0,5
134,co,0,9,1,Escherichia coli,E0c0,9.429136662515033,9.387243688024919,18.81638035053995,1.0,5
134,co,0,9,1,Salmonella enterica,S0c0,4.833733146848135,26.045483569657517,30.879216716505653,1.0,5
134,co,0,9,2,Escherichia coli,E0c0,4.996706380251978e-06,993.0163672951205,993.0163722918269,1.0,5
134,co,0,9,2,Escherichia coli,E1c9,1.0189386598662488e-05,1835.678835795781,1835.6788459851675,2.038335286680957,5
134,co,0,9,2,Salmonella enterica,S0c0,4.986047213795275e-06,1404.899848840634,1404.8998538266812,1.0,5
134,co,1,0,0,Escherichia coli,E0c0,5.0,0.0,5.0,1.0,5
134,co,1,0,0,Salmonella enterica,S0c0,5.0,0.0,5.0,1.0,5
134,co,1,0,2,Escherichia coli,E0c0,4.988133736906634e-06,2784.9995510668205,2784.999556054954,1.0,5
134,co,1,0,2,Salmonella enterica,S0c0,4.988133736906634e-06,1408.8998400477567,1408.8998450358904,1.0,5
134,co,1,1,1,Escherichia coli,E0c0,9.382589053566772,9.340968874765188,18.72355792833196,1.0,5
134,co,1,1,1,Salmonella enterica,S0c0,4.746546001246007,25.11016741289162,29.856713414137626,1.0,5
134,co,1,1,2,Escherichia coli,E0c0,4.991325747618876e-06,950.0915957471451,950.0916007384709,1.0,5
134,co,1,1,2,Escherichia coli,E1c1,9.205357457155148e-06,1831.125884519888,1831.1258937252453,1.841421365627113,5
134,co,1,1,2,Escherichia coli,E2c1,7.73227374647777e-06,46.362519815945724,46.36252754821947,1.546949892932204,5
