##culture:co#seed:580#rep:10#mu:(0.01, 0.01)#cycles:10#init_R:(1, 100, 0)#init_n:(5, 5)#init_lag:(1, 1)#Ta:5#alpha:(3, 3)#mut_func:null#max_lag_change:(1.1, 1.1)
##init_pop:1000#duration:5
culture,rep,cycle,frac,duration
co,0,0,0.013939522649327594,5
co,0,1,0.016041863378834297,5
co,0,2,0.0228905897396211,5
co,0,3,0.0395377523638585,5
co,0,4,0.059882508239700996,5
co,0,5,0.07204945707744868,5
co,0,6,0.07848611356943748,5
co,0,7,0.0831640868061401,5
co,0,8,0.08822412294414748,5
co,0,9,0.09421376799188094,5
co,1,0,0.013762201380959918,5
co,1,1,0.014365171912186728,5
co,1,2,0.016005932287880536,5
co,1,3,0.01995021960838565,5
co,1,4,0.02749269063658933,5
co,1,5,0.03613666945189997,5
co,1,6,0.042222427751612446,5
co,1,7,0.0454687824273325,5
co,1,8,0.04869625873194819,5
co,1,9,0.05231196854687151,5
co,2,0,0.013440061872897698,5
co,2,1,0.013529455621341101,5
co,2,2,0.013572860158033844,5
co,2,3,0.013638357721801933,5
co,2,4,0.015653236890694262,5
co,2,5,0.02174218215333293,5
co,2,6,0.03941069503889384,5
co,2,7,0.06536309664730847,5
co,2,8,0.08262906988366689,5
co,2,9,0.09133167077704794,5
co,3,0,0.013440061872897698,5
co,3,1,0.014006893536815846,5
co,3,2,0.015494045265374316,5
co,3,3,0.02051423153056901,5
co,3,4,0.0326348514829589,5
co,3,5,0.05363722585827499,5
co,3,6,0.07244824602992996,5
co,3,7,0.08848355560697067,5
co,3,8,0.10421306257916897,5
co,3,9,0.11785410453086492,5
co,4,0,0.014183093268124418,5
co,4,1,0.018560193513184144,5
co,4,2,0.03388360503827429,5
co,4,3,0.06409818337519928,5
co,4,4,0.0840678584107744,5
co,4,5,0.09330179728680552,5
co,4,6,0.09709252494085721,5
co,4,7,0.10056308912373438,5
co,4,8,0.10544473010237816,5
co,4,9,0.11216786262258552,5
co,5,0,0.013440061872897698,5
co,5,1,0.0134400668838572,5
co,5,2,0.013440068111399828,5
co,5,3,0.01344007053194138,5
co,5,4,0.01344007275630478,5
co,5,5,0.01478932863923733,5
co,5,6,0.020396361685927972,5
co,5,7,0.04435969016536398,5
co,5,8,0.09003535888055918,5
co,5,9,0.11915140280183813,5
co,6,0,0.013440061872897698,5
co,6,1,0.013440067376819144,5
co,6,2,0.013515988703877779,5
co,6,3,0.013553072073836828,5
co,6,4,0.013608900720255066,5
co,6,5,0.015008287976583741,5
co,6,6,0.022232335505250184,5
co,6,7,0.04724295612482544,5
co,6,8,0.0850462624854902,5
co,6,9,0.10488948654195908,5
co,7,0,0.013440063301791462,5
co,7,1,0.01391136396490815,5
co,7,2,0.015147257276093574,5
co,7,3,0.019631134046112036,5
co,7,4,0.03220799819303453,5
co,7,5,0.05360646032997112,5
co,7,6,0.07233418545549003,5
co,7,7,0.0863303423141331,5
co,7,8,0.0998558653733019,5
co,7,9,0.11503490081499272,5
co,8,0,0.013683815584784867,5
co,8,1,0.013893497453085362,5
co,8,2,0.01636020172485281,5
co,8,3,0.024535155650564935,5
co,8,4,0.04677447564077137,5
co,8,5,0.07662454572159176,5
co,8,6,0.09472167538531584,5
co,8,7,0.103990961355898,5
co,8,8,0.10906569368956973,5
co,8,9,0.11320465729254063,5
co,9,0,0.01344006239921595,5
co,9,1,0.013880336530094392,5
co,9,2,0.014461432346369756,5
co,9,3,0.015738820432236685,5
co,9,4,0.019716087518741265,5
co,9,5,0.028366355976248807,5
co,9,6,0.04395803317038348,5
co,9,7,0.06467159745135052,5
co,9,8,0.0815954938745125,5
co,9,9,0.09222735999152541,5
