##culture:mono#seed:339#rep:10#mu:(0.01, 0)#cycles:10#init_R:(10, 20, 0)#init_n:(10, 0)#init_lag:(1, 0)#Ta:5#alpha:(3, 0)#mut_func:null#max_lag_change:(1.1, 0)
##init_pop:1000#duration:5
culture,rep,cycle,frac,duration
mono,0,0,0.013440843113687238,5
mono,0,1,0.013440843113687238,5
mono,0,2,0.013440843113687238,5
mono,0,3,0.013440843113687238,5
mono,0,4,0.013440843113687238,5
mono,0,5,0.013440843113687238,5
mono,0,6,0.013440843113687238,5
mono,0,7,0.013440843113687238,5
mono,0,8,0.013440843113687238,5
mono,0,9,0.013440843113687238,5
mono,1,0,0.013440843113687238,5
mono,1,1,0.013440843113687238,5
mono,1,2,0.01704741482680138,5
mono,1,3,0.02675136815208186,5
mono,1,4,0.04909982888777773,5
mono,1,5,0.07501556652629773,5
mono,1,6,0.08736616670586562,5
mono,1,7,0.0924962277997859,5
mono,1,8,0.09596010205442772,5
mono,1,9,0.10040047515970085,5
mono,2,0,0.013440843113687238,5
mono,2,1,0.013440843113687238,5
mono,2,2,0.013440843113687238,5
mono,2,3,0.013440843113687238,5
mono,2,4,0.013440843113687238,5
mono,2,5,0.013440843113687238,5
mono,2,6,0.018777915822522046,5
mono,2,7,0.037190811665889834,5
mono,2,8,0.07865356254781299,5
mono,2,9,0.10955567095074142,5
mono,3,0,0.013440843113687238,5
mono,3,1,0.016432835437619225,5
mono,3,2,0.02350562342963295,5
mono,3,3,0.03965608234593409,5
mono,3,4,0.05849491566928436,5
mono,3,5,0.07360667503539566,5
mono,3,6,0.08100612896193399,5
mono,3,7,0.0877950572214096,5
mono,3,8,0.10245319971881268,5
mono,3,9,0.1160496053915897,5
mono,4,0,0.013440843113687238,5
mono,4,1,0.013440843113687238,5
mono,4,2,0.013440843113687238,5
mono,4,3,0.013440843113687238,5
mono,4,4,0.013440843113687238,5
mono,4,5,0.013440843113687238,5
mono,4,6,0.013440843113687238,5
mono,4,7,0.013440843113687238,5
mono,4,8,0.013440843113687238,5
mono,4,9,0.013440843113687238,5
mono,5,0,0.013440843113687238,5
mono,5,1,0.013440843113687238,5
mono,5,2,0.013440843113687238,5
mono,5,3,0.013440843113687238,5
mono,5,4,0.013440843113687238,5
mono,5,5,0.018345314196246167,5
mono,5,6,0.0344280903341271,5
mono,5,7,0.07098226213666581,5
mono,5,8,0.1002605274743482,5
mono,5,9,0.10972461703304988,5
mono,6,0,0.013440843113687238,5
mono,6,1,0.013440843113687238,5
mono,6,2,0.014918956622472335,5
mono,6,3,0.016953574813888407,5
mono,6,4,0.02103777794344056,5
mono,6,5,0.02735713611948635,5
mono,6,6,0.034053116793234056,5
mono,6,7,0.03882149162148766,5
mono,6,8,0.04134109302605585,5
mono,6,9,0.04246571529141695,5
mono,7,0,0.018077935961893735,5
mono,7,1,0.032769796951093576,5
mono,7,2,0.06632903450611148,5
mono,7,3,0.09832099036003555,5
mono,7,4,0.11222398503850259,5
mono,7,5,0.121708427207831,5
mono,7,6,0.13046987256218195,5
mono,7,7,0.13667361408234668,5
mono,7,8,0.14341707376432222,5
mono,7,9,0.15739696463863873,5
mono,8,0,0.013440843113687238,5
mono,8,1,0.013440843113687238,5
mono,8,2,0.013440843113687238,5
mono,8,3,0.013440843113687238,5
mono,8,4,0.013440843113687238,5
mono,8,5,0.013440843113687238,5
mono,8,6,0.013440843113687238,5
mono,8,7,0.013440843113687238,5
mono,8,8,0.013440843113687238,5
mono,8,9,0.013440843113687238,5
mono,9,0,0.013440843113687238,5
mono,9,1,0.013440843113687238,5
mono,9,2,0.013440843113687238,5
mono,9,3,0.013440843113687238,5
mono,9,4,0.013440843113687238,5
mono,9,5,0.013440843113687238,5
mono,9,6,0.013440843113687238,5
mono,9,7,0.017445798723604335,5
mono,9,8,0.031499156868867846,5
mono,9,9,0.05753109679375772,5
