##culture:co#seed:580#rep:10#mu:(0.01, 0.01)#cycles:10#init_R:(1, 50, 0)#init_n:(5, 5)#init_lag:(1, 1)#Ta:5#alpha:(3, 3)#mut_func:null#max_lag_change:(1.1, 1.1)
culture,rep,cycle,phase_end,species,genotype,ngrow,nlag,lag,M,L,A
co,0,0,0,Escherichia coli,E0c0,0.0,5.0,1.0,1.0,50.0,0.0
co,0,0,0,Salmonella enterica,S0c0,0.0,5.0,1.0,1.0,50.0,0.0
co,0,0,1,Escherichia coli,E0c0,0.07810402575031888,0.0336897318792066,1.0,2.6511258700474687,47.55589567889897,0.038369483661294876
co,0,0,1,Salmonella enterica,S0c0,2.5361355498016165,0.0336897318792066,1.0,2.6511258700474687,47.55589567889897,0.038369483661294876
co,0,0,2,Escherichia coli,E0c0,50.1117832343582,-3.587920999638635e-11,1.0,35.389992568100894,9.637241540856835e-30,-1.2115421267211163e-17
co,0,0,2,Salmonella enterica,S0c0,27.81981943972232,-3.587920999638635e-11,1.0,35.389992568100894,9.637241540856835e-30,-1.2115421267211163e-17
co,0,1,1,Escherichia coli,E0c0,0.190154075229676,0.16882526733545522,1.0,26.87237826990253,37.65154286368297,0.40498141715624164
co,0,1,1,Salmonella enterica,S0c0,1.7492261800281197,0.09372423312432279,1.0,26.87237826990253,37.65154286368297,0.40498141715624164
co,0,1,2,Escherichia coli,E0c0,49.35896876802607,-8.83493030431885e-13,1.0,35.3899925681012,6.609523889097371e-29,-4.1266302233528815e-20
co,0,1,2,Escherichia coli,E1c1,1.0,0.0,1.2346087464827666,35.3899925681012,6.609523889097371e-29,-4.1266302233528815e-20
co,0,1,2,Salmonella enterica,S0c0,26.092944724102882,-4.904758378600195e-13,1.0,35.3899925681012,6.609523889097371e-29,-4.1266302233528815e-20
co,0,1,2,Salmonella enterica,S1c1,1.0,0.0,1.9737786340948698,35.3899925681012,6.609523889097371e-29,-4.1266302233528815e-20
co,0,2,1,Escherichia coli,E0c0,0.1873945949198606,0.16628905575068917,1.0,26.749633623501914,37.59474688246616,0.612428753414815
co,0,2,1,Escherichia coli,E1c1,0.006584139815479213,0.008712354570489033,1.2346087464827666,26.749633623501914,37.59474688246616,0.612428753414815
co,0,2,1,Salmonella enterica,S0c0,1.4164907722781501,0.08790643824667393,1.0,26.749633623501914,37.59474688246616,0.612428753414815
co,0,2,1,Salmonella enterica,S1c1,0.0854974720214403,0.039701777384224,1.9737786340948698,26.749633623501914,37.59474688246616,0.612428753414815
co,0,2,2,Escherichia coli,E0c0,48.42651055547488,-2.9326642401928085e-11,1.0,35.38999256810213,3.661293951183602e-24,-4.89109236017521e-15
co,0,2,2,Escherichia coli,E1c1,1.9424590130150408,-3.5182876543075574e-12,1.2346087464827666,35.38999256810213,3.661293951183602e-24,-4.89109236017521e-15
co,0,2,2,Salmonella enterica,S0c0,23.88898304640767,-1.5503128874800768e-11,1.0,35.38999256810213,3.661293951183602e-24,-4.89109236017521e-15
co,0,2,2,Salmonella enterica,S1c1,1.990607764532343,5.123063318890901e-09,1.9737786340948698,35.38999256810213,3.661293951183602e-24,-4.89109236017521e-15
co,0,2,2,Salmonella enterica,S2c2,1.0,0.0,1.085749392372741,35.38999256810213,3.661293951183602e-24,-4.89109236017521e-15
co,0,3,1,Escherichia coli,E0c0,0.18389885271147638,0.16314762888121473,1.0,26.67963017547583,37.59613753999254,0.7009504890300671
co,0,3,1,Escherichia coli,E1c1,0.012791987487835036,0.01692339166250249,1.2346087464827666,26.67963017547583,37.59613753999254,0.7009504890300671
co,0,3,1,Salmonella enterica,S0c0,1.2300059775720185,0.08048134989904111,1.0,26.67963017547583,37.59613753999254,0.7009504890300671
co,0,3,1,Salmonella enterica,S1c1,0.16315984880361561,0.07903066653064882,1.9737786340948698,26.67963017547583,37.59613753999254,0.7009504890300671
co,0,3,1,Salmonella enterica,S2c2,0.05516768754699517,0.0050002796490174264,1.085749392372741,26.67963017547583,37.59613753999254,0.7009504890300671
co,0,3,2,Escherichia coli,E0c0,46.67054970292195,4.2563050503162967e-13,1.0,35.38999256810083,2.457868825870844e-23,-4.1422538295051925e-17
co,0,3,2,Escherichia coli,E1c1,3.7062015796206937,1.1548674021601874e-12,1.2346087464827666,35.38999256810083,2.457868825870844e-23,-4.1422538295051925e-17
co,0,3,2,Salmonella enterica,S0c0,19.962094465110162,2.0996515960873822e-13,1.0,35.38999256810083,2.457868825870844e-23,-4.1422538295051925e-17
co,0,3,2,Salmonella enterica,S1c1,3.8938810633059835,9.669405105164448e-10,1.9737786340948698,35.38999256810083,2.457868825870844e-23,-4.1422538295051925e-17
co,0,3,2,Salmonella enterica,S2c2,1.006864640630491,4.308806748440719e-14,1.085749392372741,35.38999256810083,2.457868825870844e-23,-4.1422538295051925e-17
co,0,3,2,Salmonella enterica,S3c3,1.0,0.0,1.233563375415465,35.38999256810083,2.457868825870844e-23,-4.1422538295051925e-17
co,0,3,2,Salmonella enterica,S4c3,1.0,0.0,1.8494787960812928,35.38999256810083,2.457868825870844e-23,-4.1422538295051925e-17
co,0,4,1,Escherichia coli,E0c0,0.17729267316347824,0.15723184384037767,1.0,26.59249572996621,37.601425319672884,0.8079985796004384
co,0,4,1,Escherichia coli,E1c1,0.02441401873655595,0.03228974229812269,1.2346087464827666,26.59249572996621,37.601425319672884,0.8079985796004384
co,0,4,1,Salmonella enterica,S0c0,0.9601201719488358,0.06725176668464587,1.0,26.59249572996621,37.601425319672884,0.8079985796004384
co,0,4,1,Salmonella enterica,S1c1,0.3028046427091848,0.15459399917933597,1.9737786340948698,26.59249572996621,37.601425319672884,0.8079985796004384
co,0,4,1,Salmonella enterica,S2c2,0.051999634355155346,0.005034604780311543,1.085749392372741,26.59249572996621,37.601425319672884,0.8079985796004384
co,0,4,1,Salmonella enterica,S3c3,0.05747097007494493,0.008682504864168713,1.233563375415465,26.59249572996621,37.601425319672884,0.8079985796004384
co,0,4,1,Salmonella enterica,S4c3,0.07541440099079313,0.03348654591155116,1.8494787960812928,26.59249572996621,37.601425319672884,0.8079985796004384
co,0,4,2,Escherichia coli,E0c0,43.54587772337155,-2.0370854011302863e-11,1.0,35.389992568100865,-8.906372036087228e-17,-1.4312684977435879e-13
co,0,4,2,Escherichia coli,E1c1,6.845339973533825,-1.7890270461821185e-11,1.2346087464827666,35.389992568100865,-8.906372036087228e-17,-1.4312684977435879e-13
co,0,4,2,Salmonella enterica,S0c0,16.361498541830382,-8.713094404252843e-12,1.0,35.389992568100865,-8.906372036087228e-17,-1.4312684977435879e-13
co,0,4,2,Salmonella enterica,S1c1,6.975899954801751,2.5628305067907956e-09,1.9737786340948698,35.389992568100865,-8.906372036087228e-17,-1.4312684977435879e-13
co,0,4,2,Salmonella enterica,S2c2,0.9068858587055891,-1.3253929827019338e-12,1.085749392372741,35.389992568100865,-8.906372036087228e-17,-1.4312684977435879e-13
co,0,4,2,Salmonella enterica,S3c3,1.0479339334313533,-4.794707080987426e-12,1.233563375415465,35.389992568100865,-8.906372036087228e-17,-1.4312684977435879e-13
co,0,4,2,Salmonella enterica,S4c3,1.6746352891098137,2.847407009257179e-10,1.8494787960812928,35.389992568100865,-8.906372036087228e-17,-1.4312684977435879e-13
co,0,5,1,Escherichia coli,E0c0,0.1654828126083367,0.14670490555481888,1.0,26.504998156266335,37.61066091705997,0.9120310537247872
co,0,5,1,Escherichia coli,E1c1,0.045105934455165184,0.05963902893615751,1.2346087464827666,26.504998156266335,37.61066091705997,0.9120310537247872
co,0,5,1,Salmonella enterica,S0c0,0.7408374006952901,0.0551214540573173,1.0,26.504998156266335,37.61066091705997,0.9120310537247872
co,0,5,1,Salmonella enterica,S1c1,0.5179786665682194,0.27695562715114264,1.9737786340948698,26.504998156266335,37.61066091705997,0.9120310537247872
co,0,5,1,Salmonella enterica,S2c2,0.04417956466930823,0.0045346828886622765,1.085749392372741,26.504998156266335,37.61066091705997,0.9120310537247872
co,0,5,1,Salmonella enterica,S3c3,0.056980814598052064,0.009098691456183304,1.233563375415465,26.504998156266335,37.61066091705997,0.9120310537247872
co,0,5,1,Salmonella enterica,S4c3,0.12046172729839949,0.05607775149710802,1.8494787960812928,26.504998156266335,37.61066091705997,0.9120310537247872
co,0,5,2,Escherichia coli,E0c0,38.45328774663502,1.6801998233094654e-14,1.0,35.389992568100844,-1.8672584151275438e-14,6.072189793853118e-14
co,0,5,2,Escherichia coli,E1c1,11.963634348466007,4.257468081828367e-13,1.2346087464827666,35.389992568100844,-1.8672584151275438e-14,6.072189793853118e-14
co,0,5,2,Salmonella enterica,S0c0,11.734856979795348,6.313017191654652e-15,1.0,35.389992568100844,-1.8672584151275438e-14,6.072189793853118e-14
co,0,5,2,Salmonella enterica,S1c1,11.202507169932677,5.302599304823469e-10,1.9737786340948698,35.389992568100844,-1.8672584151275438e-14,6.072189793853118e-14
co,0,5,2,Salmonella enterica,S2c2,0.7169994062311101,2.876459725230173e-15,1.085749392372741,35.389992568100844,-1.8672584151275438e-14,6.072189793853118e-14
co,0,5,2,Salmonella enterica,S3c3,0.9687119115986538,6.40050481065548e-14,1.233563375415465,35.389992568100844,-1.8672584151275438e-14,6.072189793853118e-14
co,0,5,2,Salmonella enterica,S4c3,2.509145218565573,6.700149439814004e-11,1.8494787960812928,35.389992568100844,-1.8672584151275438e-14,6.072189793853118e-14
co,0,6,1,Escherichia coli,E0c0,0.14620193494577055,0.1295481049869842,1.0,26.386820732961098,37.62519091990245,1.050728088789171
