##culture:mono#seed:339#rep:10#mu:(0.01, 0)#cycles:10#init_R:(5, 5, 0)#init_n:(10, 0)#init_lag:(1, 0)#Ta:5#alpha:(3, 0)#mut_func:null#max_lag_change:(1.1, 0)
culture,rep,cycle,phase_end,species,genotype,ngrow,nlag,lag,M,L,A
mono,0,0,0,Escherichia coli,E0c0,0.0,10.0,1.0,5.0,5.0,0.0
mono,0,0,1,Escherichia coli,E0c0,0.6483805900933315,0.0673794721172835,1.0,4.535787888127376,0.35788000627375965,4.6885410674135
mono,0,0,2,Escherichia coli,E0c0,5.715758862251519,-1.3403609386853943e-11,1.0,4.499999055000127,-4.621009404674023e-14,5.049998939500189
mono,0,1,1,Escherichia coli,E0c0,0.04280958945545996,0.01925624071687411,1.0,7.110208669065435,3.602093103153553,3.93688524619
mono,0,1,2,Escherichia coli,E0c0,5.062064767237069,-2.081589068633696e-12,1.0,4.499999055000154,-2.3734212425243712e-14,5.049998939500197
mono,0,2,1,Escherichia coli,E0c0,0.03718334474319257,0.01705396162374287,1.0,7.126159594922855,3.761602361727669,3.775780895030154
mono,0,2,2,Escherichia coli,E0c0,5.054236245027732,3.749046714236105e-11,1.0,4.499999054999818,-2.751626434227763e-12,5.049998939502886
mono,0,3,1,Escherichia coli,E0c0,0.03711748174791939,0.017027587539646994,1.0,7.126350696119042,3.7635133736898503,3.7738507729483195
mono,0,3,2,Escherichia coli,E0c0,5.054144007966619,3.849042266162072e-11,1.0,4.499999054999815,-2.763586350174954e-12,5.049998939502889
mono,0,4,1,Escherichia coli,E0c0,0.03711670594299628,0.017027276795431777,1.0,7.126352947718046,3.7635358896798454,3.7738280317984234
mono,0,4,2,Escherichia coli,E0c0,5.054142921417695,3.850212694396496e-11,1.0,4.499999054999825,-2.763733874678864e-12,5.0499989395029
mono,0,5,1,Escherichia coli,E0c0,0.0371166968040689,0.017027273134875058,1.0,7.126352974241796,3.7635361549173254,3.773827763908571
mono,0,5,2,Escherichia coli,E0c0,5.054142908618215,3.850221132154766e-11,1.0,4.499999054999818,-2.7637251088997743e-12,5.049998939502905
mono,0,6,1,Escherichia coli,E0c0,0.03711669669641526,0.017027273091755057,1.0,7.1263529745542415,3.7635361580417994,3.7738277607528437
mono,0,6,2,Escherichia coli,E0c0,5.054142908467449,3.85021663418597e-11,1.0,4.499999054999828,-2.7637253624069197e-12,5.0499989395028955
mono,0,7,1,Escherichia coli,E0c0,0.037116696695144884,0.017027273091246034,1.0,7.126352974557921,3.763536158078608,3.773827760715673
mono,0,7,2,Escherichia coli,E0c0,5.054142908465665,3.8502167204619746e-11,1.0,4.499999054999825,-2.763727605364129e-12,5.04999893950291
mono,0,8,1,Escherichia coli,E0c0,0.03711669669512984,0.017027273091239952,1.0,7.126352974557968,3.763536158079046,3.7738277607152373
mono,0,8,2,Escherichia coli,E0c0,5.054142908465652,3.850215315302465e-11,1.0,4.499999054999819,-2.7637208497614403e-12,5.0499989395029035
mono,0,9,1,Escherichia coli,E0c0,0.03711669669512747,0.01702727309123882,1.0,7.126352974557965,3.7635361580790456,3.7738277607152333
mono,0,9,2,Escherichia coli,E0c0,5.054142908465634,3.850215666639873e-11,1.0,4.499999054999819,-2.7637295673167213e-12,5.0499989395029
mono,1,0,0,Escherichia coli,E0c0,0.0,10.0,1.0,5.0,5.0,0.0
mono,1,0,1,Escherichia coli,E0c0,0.6483805900933315,0.0673794721172835,1.0,4.535787888127376,0.35788000627375965,4.6885410674135
mono,1,0,2,Escherichia coli,E0c0,5.715758862251519,-1.3403609386853943e-11,1.0,4.499999055000127,-4.621009404674023e-14,5.049998939500189
mono,1,1,1,Escherichia coli,E0c0,0.04280958945545996,0.01925624071687411,1.0,7.110208669065435,3.602093103153553,3.93688524619
mono,1,1,2,Escherichia coli,E0c0,5.062064767237069,-2.081589068633696e-12,1.0,4.499999055000154,-2.3734212425243712e-14,5.049998939500197
