seed,culture,rep,cycle,phase_end,species,genotype,nlag,ngrow,ntot,lag,Ta
109,mono,0,0,0,Escherichia coli,E0c0,5.0,0.0,5.0,1.0,5
109,mono,0,0,1,Escherichia coli,E0c0,0.03368975018780301,0.03430584527158701,0.06799559545939002,1.0,5
109,mono,0,0,2,Escherichia coli,E0c0,4.967134140230124e-06,800.0679871901946,800.0679921573287,1.0,5
109,mono,0,1,1,Escherichia coli,E0c0,2.6954075003638622,2.7646288743822245,5.460036374746087,1.0,5
109,mono,0,1,2,Escherichia coli,E0c0,4.998046533204668e-06,805.4600049400984,805.4600099381449,1.0,5
109,mono,0,2,1,Escherichia coli,E0c0,2.713572950835977,2.7834454132677817,5.497018364103759,1.0,5
109,mono,0,2,2,Escherichia coli,E0c0,4.99597419260219e-06,805.496988233986,805.4969932299603,1.0,5
109,mono,0,3,1,Escherichia coli,E0c0,2.713697716411823,2.7835747107761124,5.497272427187935,1.0,5
109,mono,0,3,2,Escherichia coli,E0c0,4.999841699679199e-06,805.4972415153251,805.4972465151668,1.0,5
109,mono,0,4,1,Escherichia coli,E0c0,2.7136992982599404,2.7835756301230625,5.497274928383003,1.0,5
109,mono,0,4,2,Escherichia coli,E0c0,4.997578807914282e-06,805.4972417986388,805.4972467962176,1.0,5
109,mono,0,5,1,Escherichia coli,E0c0,2.7136993919199175,2.783575606232229,5.497274998152147,1.0,5
109,mono,0,5,2,Escherichia coli,E0c0,4.9447990076599115e-06,805.4972408185192,805.4972457633182,1.0,5
109,mono,0,6,1,Escherichia coli,E0c0,2.71369957373895,2.783575886155605,5.497275459894555,1.0,5
109,mono,0,6,2,Escherichia coli,E0c0,4.997713538026436e-06,805.4972456124386,805.4972506101522,1.0,5
109,mono,0,7,1,Escherichia coli,E0c0,2.713698676419065,2.78357571290247,5.497274389321535,1.0,5
109,mono,0,7,2,Escherichia coli,E0c0,4.999766137897975e-06,805.4972424498271,805.4972474495933,1.0,5
109,mono,0,8,1,Escherichia coli,E0c0,2.7136991273715005,2.7835756500153046,5.497274777386805,1.0,5
109,mono,0,8,2,Escherichia coli,E0c0,4.9956791026961096e-06,805.4972431273608,805.4972481230399,1.0,5
109,mono,0,9,1,Escherichia coli,E0c0,2.713699507526348,2.7835759922657806,5.497275499792129,1.0,5
109,mono,0,9,2,Escherichia coli,E0c0,4.9972182429413646e-06,805.4972445985849,805.4972495958032,1.0,5
109,mono,1,0,0,Escherichia coli,E0c0,5.0,0.0,5.0,1.0,5
109,mono,1,0,1,Escherichia coli,E0c0,0.03368975018780301,0.03430584527158701,0.06799559545939002,1.0,5
109,mono,1,0,2,Escherichia coli,E0c0,4.967134140230124e-06,800.0679871901946,800.0679921573287,1.0,5
109,mono,1,1,1,Escherichia coli,E0c0,2.6954075003638622,2.7646288743822245,5.460036374746087,1.0,5
109,mono,1,1,2,Escherichia coli,E0c0,4.998046533204668e-06,805.4600049400984,805.4600099381449,1.0,5
109,mono,1,2,1,Escherichia coli,E0c0,2.713572950835977,2.7834454132677817,5.497018364103759,1.0,5
109,mono,1,2,2,Escherichia coli,E0c0,4.99597419260219e-06,805.496988233986,805.4969932299603,1.0,5
109,mono,1,3,1,Escherichia coli,E0c0,2.713697716411823,2.7835747107761124,5.497272427187935,1.0,5
109,mono,1,3,2,Escherichia coli,E0c0,4.999841699679199e-06,805.4972415153251,805.4972465151668,1.0,5
109,mono,1,4,1,Escherichia coli,E0c0,2.7136992982599404,2.7835756301230625,5.497274928383003,1.0,5
109,mono,1,4,2,Escherichia coli,E0c0,4.997578807914282e-06,805.4972417986388,805.4972467962176,1.0,5
109,mono,1,5,1,Escherichia coli,E0c0,2.7136993919199175,2.783575606232229,5.497274998152147,1.0,5
109,mono,1,5,2,Escherichia coli,E0c0,4.9447990076599115e-06,805.4972408185192,805.4972457633182,1.0,5
109,mono,1,6,1,Escherichia coli,E0c0,2.71369957373895,2.783575886155605,5.497275459894555,1.0,5
109,mono,1,6,2,Escherichia coli,E0c0,4.997713538026436e-06,805.4972456124386,805.4972506101522,1.0,5
109,mono,1,7,1,Escherichia coli,E0c0,2.713698676419065,2.78357571290247,5.497274389321535,1.0,5
109,mono,1,7,2,Escherichia coli,E0c0,4.999766137897975e-06,805.4972424498271,805.4972474495933,1.0,5
109,mono,1,8,1,Escherichia coli,E0c0,2.7136991273715005,2.7835756500153046,5.497274777386805,1.0,5
109,mono,1,8,2,Escherichia coli,E0c0,4.9956791026961096e-06,805.4972431273608,805.4972481230399,1.0,5
109,mono,1,9,1,Escherichia coli,E0c0,2.713699507526348,2.7835759922657806,5.497275499792129,1.0,5
109,mono,1,9,2,Escherichia coli,E0c0,4.9972182429413646e-06,805.4972445985849,805.4972495958032,1.0,5
109,mono,2,0,0,Escherichia coli,E0c0,5.0,0.0,5.0,1.0,5
109,mono,2,0,1,Escherichia coli,E0c0,0.03368975018780301,0.03430584527158701,0.06799559545939002,1.0,5
109,mono,2,0,2,Escherichia coli,E0c0,4.967134140230124e-06,800.0679871901946,800.0679921573287,1.0,5
109,mono,2,1,1,Escherichia coli,E0c0,2.6954075003638622,2.7646288743822245,5.460036374746087,1.0,5
109,mono,2,1,2,Escherichia coli,E0c0,4.961961578888177e-06,716.7105135267378,716.7105184886994,1.0,5
109,mono,2,1,2,Escherichia coli,E1c1,8.042838472163222e-06,88.74959985597889,88.74960789881736,1.608655934372874,5
109,mono,2,2,1,Escherichia coli,E0c0,2.414579243663401,2.47652017975634,4.891099423419741,1.0,5
109,mono,2,2,1,Escherichia coli,E1c1,1.982754738755687,0.914992058200624,2.897746796956311,1.608655934372874,5
109,mono,2,2,2,Escherichia coli,E0c0,4.977182403903733e-06,554.998161679534,554.9981666567163,1.0,5
109,mono,2,2,2,Escherichia coli,E1c1,8.042436279725647e-06,252.7907545295779,252.7907625720142,1.608655934372874,5
