seed,culture,rep,cycle,phase_end,species,genotype,nlag,ngrow,ntot,lag,Ta
529,mono,0,0,0,Escherichia coli,E0c0,5.0,0.0,5.0,1.0,5
529,mono,0,0,1,Escherichia coli,E0c0,0.033689745168904196,0.033592515149100624,0.06728226031800483,1.0,5
529,mono,0,0,2,Escherichia coli,E0c0,4.654376630807866e-06,1000.0672195756858,1000.0672242300625,1.0,5
529,mono,0,1,1,Escherichia coli,E0c0,3.3691997613135536,3.3595363071159166,6.72873606842947,1.0,5
529,mono,0,1,2,Escherichia coli,E0c0,4.996899725372335e-06,1006.728661544461,1006.7286665413608,1.0,5
529,mono,0,2,1,Escherichia coli,E0c0,3.391642198438962,3.3819326247435217,6.773574823182484,1.0,5
529,mono,0,2,2,Escherichia coli,E0c0,4.983468625576581e-06,1006.773497481664,1006.7735024651327,1.0,5
529,mono,0,3,1,Escherichia coli,E0c0,3.3917933217566723,3.3820835564702745,6.773876878226947,1.0,5
529,mono,0,3,2,Escherichia coli,E0c0,4.980379611970597e-06,1006.7738025799817,1006.7738075603613,1.0,5
529,mono,0,4,1,Escherichia coli,E0c0,3.3917937373642393,3.382084109760448,6.773877847124687,1.0,5
529,mono,0,4,2,Escherichia coli,E0c0,4.986325541967851e-06,1006.7738023137857,1006.7738073001112,1.0,5
529,mono,0,5,1,Escherichia coli,E0c0,3.3917944035291336,3.3820846965240112,6.773879100053145,1.0,5
529,mono,0,5,2,Escherichia coli,E0c0,4.999546329991588e-06,1006.7738049317737,1006.7738099313201,1.0,5
529,mono,0,6,1,Escherichia coli,E0c0,3.3917945993097502,3.3820845560034645,6.773879155313215,1.0,5
529,mono,0,6,2,Escherichia coli,E0c0,4.994702493602984e-06,1006.7738052468561,1006.7738102415586,1.0,5
529,mono,0,7,1,Escherichia coli,E0c0,3.3917942213625287,3.382084711721022,6.773878933083551,1.0,5
529,mono,0,7,2,Escherichia coli,E0c0,4.995923351906145e-06,1006.7738032092572,1006.7738082051806,1.0,5
529,mono,0,8,1,Escherichia coli,E0c0,3.3917943622068076,3.3820846156350393,6.7738789778418464,1.0,5
529,mono,0,8,2,Escherichia coli,E0c0,4.995318439596049e-06,1006.7738036180667,1006.7738086133852,1.0,5
529,mono,0,9,1,Escherichia coli,E0c0,3.3917946399814105,3.3820846419127477,6.773879281894159,1.0,5
529,mono,0,9,2,Escherichia coli,E0c0,4.998839630023909e-06,1006.7738048781814,1006.773809877021,1.0,5
529,mono,1,0,0,Escherichia coli,E0c0,5.0,0.0,5.0,1.0,5
529,mono,1,0,1,Escherichia coli,E0c0,0.033689745168904196,0.033592515149100624,0.06728226031800483,1.0,5
529,mono,1,0,2,Escherichia coli,E0c0,4.654376630807866e-06,1000.0672195756858,1000.0672242300625,1.0,5
529,mono,1,1,1,Escherichia coli,E0c0,3.3691997613135536,3.3595363071159166,6.72873606842947,1.0,5
529,mono,1,1,2,Escherichia coli,E0c0,4.996899725372335e-06,1006.728661544461,1006.7286665413608,1.0,5
529,mono,1,2,1,Escherichia coli,E0c0,3.391642198438962,3.3819326247435217,6.773574823182484,1.0,5
529,mono,1,2,2,Escherichia coli,E0c0,4.983468625576581e-06,1006.773497481664,1006.7735024651327,1.0,5
529,mono,1,3,1,Escherichia coli,E0c0,3.3917933217566723,3.3820835564702745,6.773876878226947,1.0,5
529,mono,1,3,2,Escherichia coli,E0c0,4.980379611970597e-06,1006.7738025799817,1006.7738075603613,1.0,5
529,mono,1,4,1,Escherichia coli,E0c0,3.3917937373642393,3.382084109760448,6.773877847124687,1.0,5
529,mono,1,4,2,Escherichia coli,E0c0,4.986325541967851e-06,1006.7738023137857,1006.7738073001112,1.0,5
529,mono,1,5,1,Escherichia coli,E0c0,3.3917944035291336,3.3820846965240112,6.773879100053145,1.0,5
529,mono,1,5,2,Escherichia coli,E0c0,4.999546329991588e-06,1006.7738049317737,1006.7738099313201,1.0,5
529,mono,1,6,1,Escherichia coli,E0c0,3.3917945993097502,3.3820845560034645,6.773879155313215,1.0,5
529,mono,1,6,2,Escherichia coli,E0c0,4.994702493602984e-06,1006.7738052468561,1006.7738102415586,1.0,5
529,mono,1,7,1,Escherichia coli,E0c0,3.3917942213625287,3.382084711721022,6.773878933083551,1.0,5
529,mono,1,7,2,Escherichia coli,E0c0,4.995923351906145e-06,1006.7738032092572,1006.7738082051806,1.0,5
529,mono,1,8,1,Escherichia coli,E0c0,3.3917943622068076,3.3820846156350393,6.7738789778418464,1.0,5
529,mono,1,8,2,Escherichia coli,E0c0,4.995318439596049e-06,1006.7738036180667,1006.7738086133852,1.0,5
529,mono,1,9,1,Escherichia coli,E0c0,3.3917946399814105,3.3820846419127477,6.773879281894159,1.0,5
529,mono,1,9,2,Escherichia coli,E0c0,4.998839630023909e-06,1006.7738048781814,1006.773809877021,1.0,5
529,mono,2,0,0,Escherichia coli,E0c0,5.0,0.0,5.0,1.0,5
529,mono,2,0,1,Escherichia coli,E0c0,0.033689745168904196,0.033592515149100624,0.06728226031800483,1.0,5
529,mono,2,0,2,Escherichia coli,E0c0,4.654376630807866e-06,1000.0672195756858,1000.0672242300625,1.0,5
529,mono,2,1,1,Escherichia coli,E0c0,3.3691997613135536,3.3595363071159166,6.72873606842947,1.0,5
529,mono,2,1,2,Escherichia coli,E0c0,4.996899725372335e-06,1006.728661544461,1006.7286665413608,1.0,5
529,mono,2,2,1,Escherichia coli,E0c0,3.391642198438962,3.3819326247435217,6.773574823182484,1.0,5
529,mono,2,2,2,Escherichia coli,E0c0,4.983468625576581e-06,1006.773497481664,1006.7735024651327,1.0,5
529,mono,2,3,1,Escherichia coli,E0c0,3.3917933217566723,3.3820835564702745,6.773876878226947,1.0,5
529,mono,2,3,2,Escherichia coli,E0c0,4.980379611970597e-06,1006.7738025799817,1006.7738075603613,1.0,5
529,mono,2,4,1,Escherichia coli,E0c0,3.3917937373642393,3.382084109760448,6.773877847124687,1.0,5
529,mono,2,4,2,Escherichia coli,E0c0,4.986325541967851e-06,1006.7738023137857,1006.7738073001112,1.0,5
529,mono,2,5,1,Escherichia coli,E0c0,3.3917944035291336,3.3820846965240112,6.773879100053145,1.0,5
529,mono,2,5,2,Escherichia coli,E0c0,4.999546329991588e-06,1006.7738049317737,1006.7738099313201,1.0,5
529,mono,2,6,1,Escherichia coli,E0c0,3.3917945993097502,3.3820845560034645,6.773879155313215,1.0,5
529,mono,2,6,2,Escherichia coli,E0c0,4.994702493602984e-06,1006.7738052468561,1006.7738102415586,1.0,5
529,mono,2,7,1,Escherichia coli,E0c0,3.3917942213625287,3.382084711721022,6.773878933083551,1.0,5
529,mono,2,7,2,Escherichia coli,E0c0,4.995923351906145e-06,1006.7738032092572,1006.7738082051806,1.0,5
529,mono,2,8,1,Escherichia coli,E0c0,3.3917943622068076,3.3820846156350393,6.7738789778418464,1.0,5
529,mono,2,8,2,Escherichia coli,E0c0,4.995318439596049e-06,1006.7738036180667,1006.7738086133852,1.0,5
529,mono,2,9,1,Escherichia coli,E0c0,3.3917946399814105,3.3820846419127477,6.773879281894159,1.0,5
529,mono,2,9,2,Escherichia coli,E0c0,4.998839630023909e-06,1006.7738048781814,1006.773809877021,1.0,5
529,mono,3,0,0,Escherichia coli,E0c0,5.0,0.0,5.0,1.0,5
529,mono,3,0,1,Escherichia coli,E0c0,0.033689745168904196,0.033592515149100624,0.06728226031800483,1.0,5
529,mono,3,0,2,Escherichia coli,E0c0,4.654376630807866e-06,1000.0672195756858,1000.0672242300625,1.0,5
529,mono,3,1,1,Escherichia coli,E0c0,3.3691997613135536,3.3595363071159166,6.72873606842947,1.0,5
529,mono,3,1,2,Escherichia coli,E0c0,4.996899725372335e-06,1006.728661544461,1006.7286665413608,1.0,5
529,mono,3,2,1,Escherichia coli,E0c0,3.391642198438962,3.3819326247435217,6.773574823182484,1.0,5
529,mono,3,2,2,Escherichia coli,E0c0,4.983468625576581e-06,1006.773497481664,1006.7735024651327,1.0,5
529,mono,3,3,1,Escherichia coli,E0c0,3.3917933217566723,3.3820835564702745,6.773876878226947,1.0,5
