seed,culture,rep,cycle,tol_time
136,co,0,0,5.9
136,co,0,1,6.0
136,co,0,2,6.0
136,co,0,3,6.1000000000000005
136,co,0,4,6.4
136,co,0,5,8.200000000000001
136,co,0,6,10.0
136,co,0,7,10.0
136,co,0,8,10.0
136,co,0,9,10.0
136,co,1,0,5.9
136,co,1,1,6.0
136,co,1,2,6.0
136,co,1,3,6.0
136,co,1,4,6.0
136,co,1,5,6.0
136,co,1,6,6.0
136,co,1,7,6.5
136,co,1,8,6.6000000000000005
136,co,1,9,6.7
136,co,2,0,6.5
136,co,2,1,6.9
136,co,2,2,7.1000000000000005
136,co,2,3,7.300000000000001
136,co,2,4,7.300000000000001
136,co,2,5,7.4
136,co,2,6,6.1000000000000005
136,co,2,7,6.2
136,co,2,8,6.4
136,co,2,9,6.800000000000001
136,co,3,0,5.9
136,co,3,1,6.0
136,co,3,2,6.0
136,co,3,3,6.0
136,co,3,4,6.0
136,co,3,5,6.2
136,co,3,6,6.4
136,co,3,7,6.800000000000001
136,co,3,8,7.1000000000000005
136,co,3,9,7.4
136,co,4,0,5.9
136,co,4,1,6.0
136,co,4,2,6.1000000000000005
136,co,4,3,6.300000000000001
136,co,4,4,6.7
136,co,4,5,7.1000000000000005
136,co,4,6,7.6000000000000005
136,co,4,7,7.800000000000001
136,co,4,8,7.800000000000001
136,co,4,9,7.9
136,co,5,0,5.9
136,co,5,1,6.0
136,co,5,2,6.0
136,co,5,3,6.2
136,co,5,4,6.6000000000000005
136,co,5,5,7.2
136,co,5,6,7.800000000000001
136,co,5,7,8.200000000000001
136,co,5,8,8.4
136,co,5,9,8.5
136,co,6,0,5.9
136,co,6,1,6.0
136,co,6,2,7.7
136,co,6,3,8.200000000000001
136,co,6,4,8.3
136,co,6,5,8.4
136,co,6,6,9.9
136,co,6,7,10.0
136,co,6,8,10.0
136,co,6,9,10.0
136,co,7,0,5.9
136,co,7,1,6.0
136,co,7,2,6.0
136,co,7,3,6.1000000000000005
136,co,7,4,6.4
136,co,7,5,6.9
136,co,7,6,7.5
136,co,7,7,7.5
136,co,7,8,8.5
136,co,7,9,9.1
136,co,8,0,5.9
136,co,8,1,6.0
136,co,8,2,6.0
136,co,8,3,6.1000000000000005
136,co,8,4,6.300000000000001
136,co,8,5,6.6000000000000005
136,co,8,6,6.9
136,co,8,7,7.1000000000000005
136,co,8,8,7.2
136,co,8,9,8.0
136,co,9,0,5.9
136,co,9,1,6.0
136,co,9,2,6.0
136,co,9,3,6.0
136,co,9,4,6.0
136,co,9,5,6.2
136,co,9,6,6.6000000000000005
136,co,9,7,7.300000000000001
136,co,9,8,8.0
136,co,9,9,8.4
136,co,10,0,5.9
136,co,10,1,6.0
136,co,10,2,6.0
136,co,10,3,6.0
136,co,10,4,6.2
136,co,10,5,6.300000000000001
136,co,10,6,6.300000000000001
136,co,10,7,6.4
136,co,10,8,6.5
136,co,10,9,6.7
136,co,11,0,5.9
136,co,11,1,6.0
136,co,11,2,6.0
136,co,11,3,6.0
136,co,11,4,6.0
136,co,11,5,6.2
136,co,11,6,6.4
136,co,11,7,6.800000000000001
136,co,11,8,7.2
136,co,11,9,7.5
136,co,12,0,5.9
136,co,12,1,6.0
136,co,12,2,6.0
136,co,12,3,6.0
136,co,12,4,6.0
136,co,12,5,6.0
136,co,12,6,6.1000000000000005
136,co,12,7,6.300000000000001
136,co,12,8,6.6000000000000005
136,co,12,9,7.1000000000000005
136,co,13,0,5.9
136,co,13,1,6.0
136,co,13,2,6.0
136,co,13,3,6.0
136,co,13,4,6.0
136,co,13,5,6.0
136,co,13,6,6.0
136,co,13,7,6.0
136,co,13,8,6.1000000000000005
136,co,13,9,6.2
136,co,14,0,5.9
136,co,14,1,6.0
136,co,14,2,7.800000000000001
136,co,14,3,8.3
136,co,14,4,8.4
136,co,14,5,8.5
136,co,14,6,10.0
136,co,14,7,10.0
136,co,14,8,10.0
136,co,14,9,10.0
136,co,15,0,5.9
136,co,15,1,6.0
136,co,15,2,6.0
136,co,15,3,6.0
136,co,15,4,6.0
136,co,15,5,6.1000000000000005
136,co,15,6,6.2
136,co,15,7,6.2
136,co,15,8,6.2
136,co,15,9,6.2
136,co,16,0,5.9
136,co,16,1,6.0
136,co,16,2,6.0
136,co,16,3,6.0
136,co,16,4,6.2
136,co,16,5,6.4
136,co,16,6,6.7
136,co,16,7,7.0
136,co,16,8,7.2
136,co,16,9,7.4
136,co,17,0,5.9
136,co,17,1,6.0
136,co,17,2,6.0
136,co,17,3,6.0
136,co,17,4,6.4
136,co,17,5,6.5
136,co,17,6,6.6000000000000005
136,co,17,7,6.7
136,co,17,8,6.800000000000001
136,co,17,9,6.800000000000001
136,co,18,0,5.9
136,co,18,1,6.0
136,co,18,2,6.1000000000000005
136,co,18,3,6.4
136,co,18,4,7.0
136,co,18,5,7.6000000000000005
136,co,18,6,8.0
136,co,18,7,8.200000000000001
136,co,18,8,8.3
136,co,18,9,8.3
136,co,19,0,5.9
136,co,19,1,6.0
136,co,19,2,6.0
136,co,19,3,6.0
136,co,19,4,6.0
136,co,19,5,6.0
136,co,19,6,6.1000000000000005
136,co,19,7,6.2
136,co,19,8,6.6000000000000005
136,co,19,9,7.0
