rep,gen,species,genotype,n,lag,Ta
0,0,Escherichia coli,E0g0,1.0,1.0,3
0,0,Salmonella enterica,S0g0,1.0,1.0,3
0,1,Escherichia coli,E0g0,98.8732105479415,1.0,3
0,1,Escherichia coli,E1g0,1.0,2.063247055195676,3
0,1,Escherichia coli,E2g0,1.0,2.0267096678590244,3
0,1,Salmonella enterica,S0g0,10.043563806669505,1.0,3
0,2,Escherichia coli,E0g0,29.01166864092745,1.0,3
0,2,Escherichia coli,E1g0,0.29342294520577245,2.063247055195676,3
0,2,Escherichia coli,E2g0,0.29342294520577245,2.0267096678590244,3
0,2,Salmonella enterica,S0g0,5.440450391889522,1.0,3
0,3,Escherichia coli,E0g0,80.97677908805763,1.0,3
0,3,Escherichia coli,E1g0,0.8189961531470034,2.063247055195676,3
0,3,Escherichia coli,E2g0,0.8189961531470034,2.0267096678590244,3
0,3,Salmonella enterica,S0g0,9.089264229582277,1.0,3
0,4,Escherichia coli,E0g0,41.58411009419519,1.0,3
0,4,Escherichia coli,E1g0,0.42058015375188146,2.063247055195676,3
0,4,Escherichia coli,E2g0,0.42058015375188146,2.0267096678590244,3
0,4,Salmonella enterica,S0g0,6.513466207155592,1.0,3
0,5,Escherichia coli,E0g0,71.18821061218831,1.0,3
0,5,Escherichia coli,E1g0,0.7199949330832244,2.063247055195676,3
0,5,Escherichia coli,E2g0,0.7199949330832244,2.0267096678590244,3
0,5,Salmonella enterica,S0g0,8.522214919632946,1.0,3
0,6,Escherichia coli,E0g0,48.760644532993055,1.0,3
0,6,Escherichia coli,E1g0,0.49316335802963,2.063247055195676,3
0,6,Escherichia coli,E2g0,0.49316335802963,2.0267096678590244,3
0,6,Salmonella enterica,S0g0,7.053150364538896,1.0,3
0,7,Escherichia coli,E0g0,65.66903853192244,1.0,3
0,7,Escherichia coli,E1g0,0.6641742304917069,2.063247055195676,3
0,7,Escherichia coli,E2g0,0.6641742304917069,2.0267096678590244,3
0,7,Salmonella enterica,S0g0,8.185189441847712,1.0,3
0,8,Escherichia coli,E0g0,52.86809219735834,1.0,3
