rep,cycle,phase_end,species,genotype,nlag,ngrow,ntot,lag,Ta
0,0,0,Escherichia coli,E0g0,5.0,0.0,5.0,1.0,5
0,0,0,Salmonella enterica,S0g0,5.0,0.0,5.0,1.0,5
0,0,1,Escherichia coli,E0g0,0.03368973187024907,0.07401323299234756,0.10770296486259663,1.0,5
0,0,1,Salmonella enterica,S0g0,0.03368973187024907,2.533068776107082,2.566758507977331,1.0,5
0,0,2,Escherichia coli,E0g0,5.4738414604735757e-11,1390.0537124770865,1390.0537124771413,1.0,5
0,0,2,Salmonella enterica,S0g0,5.4738414604735757e-11,703.2333089306959,703.2333089307506,1.0,5
0,1,1,Escherichia coli,E0g0,9.36610818618852,9.324563137899764,18.690671324088285,1.0,5
0,1,1,Salmonella enterica,S0g0,4.738348736063718,25.069845842522643,29.80819457858636,1.0,5
0,1,2,Escherichia coli,E0g0,1.0065495982043683e-08,1399.3451957408697,1399.3451957509353,1.0,5
0,1,2,Salmonella enterica,S0g0,5.092171604497913e-09,700.7754441325844,700.7754441376766,1.0,5
0,1,2,Salmonella enterica,S1g1,1.6462693167950707e-05,16.07856502019011,16.078581482883276,1.9376668616004866,5
0,2,1,Escherichia coli,E0g0,9.428713762075413,9.386842256680605,18.81555601875602,1.0,5
0,2,1,Salmonella enterica,S0g0,4.721787800700359,25.26509401444647,29.986881815146827,1.0,5
0,2,1,Salmonella enterica,S1g1,1.2178233352332486,1.2451246298707854,2.462947965104034,1.9376668616004866,5
0,2,2,Escherichia coli,E0g0,1.0044423215905563e-08,491.15783934343364,491.15783935347804,1.0,5
0,2,2,Escherichia coli,E1g2,2.0891782131071847e-06,922.7432361246914,922.7432382138696,1.4347090168357022,5
0,2,2,Salmonella enterica,S0g0,1.297349064813634e-09,559.0245715226075,559.0245715239049,1.0,5
0,2,2,Salmonella enterica,S1g1,1.6460792671472584e-05,144.65681563763258,144.65683209842524,1.9376668616004866,5
0,3,1,Escherichia coli,E0g0,3.3093954692525394,3.2947446025096605,6.6041400717622,1.0,5
0,3,1,Escherichia coli,E1g2,28.284777914167563,15.135406801183871,43.42018471535143,1.4347090168357022,5
0,3,1,Salmonella enterica,S0g0,3.766677910785853,19.786952080561253,23.553629991347105,1.0,5
0,3,1,Salmonella enterica,S1g1,10.956592526967254,11.011988013260819,21.968580540228075,1.9376668616004866,5
0,3,2,Escherichia coli,E0g0,3.4249323771724563e-09,217.89373831060348,217.8937383140284,1.0,5
0,3,2,Escherichia coli,E1g2,1.249036103528141e-05,1197.118270197682,1197.118282688043,1.4347090168357022,5
0,3,2,Salmonella enterica,S0g0,3.89817936566334e-09,409.28704253026444,409.2870425341626,1.0,5
0,3,2,Salmonella enterica,S1g1,0.00018030819176892315,315.42381001482255,315.4239903230143,1.9376668616004866,5
0,4,1,Escherichia coli,E0g0,1.4681564536702485,1.4616585145198837,2.929814968190132,1.0,5
0,4,1,Escherichia coli,E1g2,36.695175174474905,19.635881465854876,56.33105664032978,1.4347090168357022,5
0,4,1,Salmonella enterica,S0g0,2.7577543877563233,14.51699788200963,17.274752269765955,1.0,5
0,4,1,Salmonella enterica,S1g1,23.890832428168707,24.060956740711934,47.95178916888064,1.9376668616004866,5
0,4,2,Escherichia coli,E0g0,1.5167186709039177e-09,83.30708925361789,83.30708925513461,1.0,5
0,4,2,Escherichia coli,E1g2,1.6201701029252307e-05,1336.3231885196765,1336.3232047213776,1.4347090168357022,5
