seed,culture,rep,cycle,phase_end,species,genotype,nlag,ngrow,ntot,lag,Ta
115,co,0,0,0,Escherichia coli,E0c0,5.0,0.0,5.0,1.0,3
115,co,0,0,0,Salmonella enterica,S0c0,5.0,0.0,5.0,1.0,3
115,co,0,0,2,Escherichia coli,E0c0,4.988133736906634e-06,2784.9995510668205,2784.999556054954,1.0,3
115,co,0,0,2,Salmonella enterica,S0c0,4.988133736906634e-06,1408.8998400477567,1408.8998450358904,1.0,3
115,co,0,1,1,Escherichia coli,E0c0,69.32848206369572,66.01545066471509,135.3439327284108,1.0,3
115,co,0,1,1,Salmonella enterica,S0c0,35.0724966104796,107.09537572150437,142.16787233198397,1.0,3
115,co,0,1,2,Escherichia coli,E0c0,4.990228688764561e-06,2915.343443539222,2915.3434485294506,1.0,3
115,co,0,1,2,Salmonella enterica,S0c0,4.998420956987076e-06,1546.0676727960063,1546.0676777944273,1.0,3
115,co,0,2,1,Escherichia coli,E0c0,72.57320200484976,69.10350440011987,141.67670640496965,1.0,3
115,co,0,2,1,Salmonella enterica,S0c0,38.487088856158884,117.93370578540377,156.42079464156265,1.0,3
115,co,0,2,2,Escherichia coli,E0c0,4.9963551858308035e-06,2921.6762164318634,2921.6762214282185,1.0,3
115,co,0,2,2,Salmonella enterica,S0c0,4.997012599764511e-06,1560.3205933806505,1560.3205983776631,1.0,3
115,co,0,3,1,Escherichia coli,E0c0,72.73084573887509,69.25341181430942,141.9842575531845,1.0,3
115,co,0,3,1,Salmonella enterica,S0c0,38.84189357486564,119.12579002145931,157.96768359632495,1.0,3
115,co,0,3,2,Escherichia coli,E0c0,4.997392967139887e-06,1442.1278221135988,1442.1278271109918,1.0,3
115,co,0,3,2,Escherichia coli,E1c3,7.185898652826119e-06,1636.8236883327816,1636.82369551868,1.4373541269992494,3
115,co,0,3,2,Salmonella enterica,S0c0,4.9718012394205785e-06,1404.8998485302302,1404.8998535020314,1.0,3
115,co,0,4,1,Escherichia coli,E0c0,35.89965826355845,34.18435762420378,70.08401588776223,1.0,3
115,co,0,4,1,Escherichia coli,E1c3,101.51406591597826,53.16061891477298,154.67468483075123,1.4373541269992494,3
115,co,0,4,1,Salmonella enterica,S0c0,34.97292189092701,106.65283999562705,141.62576188655407,1.0,3
115,co,0,4,2,Escherichia coli,E0c0,4.995529101224095e-06,1059.870674547862,1059.8706795433911,1.0,3
115,co,0,4,2,Escherichia coli,E1c3,7.184305200745166e-06,1944.8876068774816,1944.8876140617867,1.4373541269992494,3
115,co,0,4,2,Salmonella enterica,S0c0,4.9988157575572805e-06,1545.5255633486931,1545.5255683475089,1.0,3
115,co,0,5,1,Escherichia coli,E0c0,26.383927638414352,25.122179927106448,51.5061075655208,1.0,3
115,co,0,5,1,Escherichia coli,E1c3,120.61986218873542,63.16350002102295,183.78336220975837,1.4373541269992494,3
115,co,0,5,1,Salmonella enterica,S0c0,38.47359374919349,119.66183130386688,158.13542505306037,1.0,3
115,co,0,5,2,Escherichia coli,E0c0,4.9989622312171375e-06,760.2155193322262,760.2155243311885,1.0,3
115,co,0,5,2,Escherichia coli,E1c3,7.1861000035541465e-06,2255.073530844952,2255.073538031052,1.4373541269992494,3
115,co,0,5,2,Salmonella enterica,S0c0,4.998496707728184e-06,1555.3378898125786,1555.3378948110753,1.0,3
115,co,0,5,2,Salmonella enterica,S1c5,6.960137804235819e-06,6.697454660065427,6.697461620203231,1.3921744854899323,3
115,co,0,6,1,Escherichia coli,E0c0,18.92445108283877,18.0193310116728,36.943782094511576,1.0,3
115,co,0,6,1,Escherichia coli,E1c3,139.85726407203992,73.23695196389842,213.09421603593836,1.4373541269992494,3
115,co,0,6,1,Salmonella enterica,S0c0,38.71785617111649,121.80386495538562,160.52172112650211,1.0,3
115,co,0,6,1,Salmonella enterica,S1c5,0.38816663539267776,0.5887197463643933,0.976886381757071,1.3921744854899323,3
115,co,0,6,2,Escherichia coli,E0c0,4.982166989643643e-06,522.8195148208127,522.8195198029797,1.0,3
115,co,0,6,2,Escherichia coli,E1c3,7.186292886245638e-06,2507.218059494674,2507.218066680967,1.4373541269992494,3
115,co,0,6,2,Salmonella enterica,S0c0,4.997669127123645e-06,1556.7120494839555,1556.7120544816246,1.0,3
115,co,0,6,2,Salmonella enterica,S1c5,6.959164842370823e-06,8.686481814357629,8.686488773522472,1.3921744854899323,3
115,co,0,7,1,Escherichia coli,E0c0,13.014826623105446,12.392327537888836,25.40715416099428,1.0,3
115,co,0,7,1,Escherichia coli,E1c3,155.49500250823854,81.42559853617111,236.92060104440964,1.4373541269992494,3
115,co,0,7,1,Salmonella enterica,S0c0,38.75206802132763,122.78250391339787,161.5345719347255,1.0,3
115,co,0,7,1,Salmonella enterica,S1c5,0.5034452020978674,0.7685237945224529,1.2719689966203203,1.3921744854899323,3
115,co,0,7,2,Escherichia coli,E0c0,4.997566762281851e-06,197.36854863396647,197.36855363153325,1.0,3
