rep,cycle,phase_end,species,genotype,nlag,ngrow,ntot,lag,Ta
0,0,0,Escherichia coli,E0g0,10.0,0.0,10.0,1.0,5
0,0,1,Escherichia coli,E0g0,0.06737946802058802,0.0686166084941636,0.1359960765147516,1.0,5
0,0,2,Escherichia coli,E0g0,-1.7633764476318828e-10,400.06795803180484,400.0679580316285,1.0,5
0,1,1,Escherichia coli,E0g0,2.6956366890947967,2.7648659066543853,5.4605025957491815,1.0,5
0,1,2,Escherichia coli,E0g0,2.023762091687304e-09,402.73021102956653,402.7302110315903,1.0,5
0,2,1,Escherichia coli,E0g0,2.713574808670954,2.7834470421465847,5.497021850817539,1.0,5
0,2,2,Escherichia coli,E0g0,2.104099381049267e-09,402.74847065520913,402.74847065731325,1.0,5
0,3,1,Escherichia coli,E0g0,2.7136978421750775,2.7835744944928273,5.497272336667905,1.0,5
0,3,2,Escherichia coli,E0g0,2.1074904375453445e-09,402.74859589811854,402.748595900226,1.0,5
0,4,1,Escherichia coli,E0g0,2.713698686055219,2.7835753686988265,5.497274054754046,1.0,5
0,4,2,Escherichia coli,E0g0,2.1070483135622705e-09,402.74859675716283,402.7485967592699,1.0,5
0,5,1,Escherichia coli,E0g0,2.713698690729336,2.783575375982373,5.497274066711709,1.0,5
0,5,2,Escherichia coli,E0g0,2.1070034514008425e-09,402.74859676314077,402.7485967652478,1.0,5
0,6,1,Escherichia coli,E0g0,2.713698691883672,2.783575374736731,5.4972740666204025,1.0,5
0,6,2,Escherichia coli,E0g0,2.106744936382747e-09,402.74859676309563,402.74859676520236,1.0,5
0,7,1,Escherichia coli,E0g0,2.713698691883345,2.7835753747363885,5.497274066619733,1.0,5
0,7,2,Escherichia coli,E0g0,2.1069476124937733e-09,402.7485967630954,402.74859676520236,1.0,5
0,8,1,Escherichia coli,E0g0,2.713698691883345,2.7835753747363885,5.497274066619733,1.0,5
0,8,2,Escherichia coli,E0g0,2.1069476124937733e-09,402.7485967630954,402.74859676520236,1.0,5
0,9,1,Escherichia coli,E0g0,2.713698691883345,2.7835753747363885,5.497274066619733,1.0,5
0,9,2,Escherichia coli,E0g0,2.1069476124937733e-09,402.7485967630954,402.74859676520236,1.0,5
1,0,0,Escherichia coli,E0g0,10.0,0.0,10.0,1.0,5
1,0,1,Escherichia coli,E0g0,0.06737946802058802,0.0686166084941636,0.1359960765147516,1.0,5
1,0,2,Escherichia coli,E0g0,-1.7633764476318828e-10,400.06795803180484,400.0679580316285,1.0,5
1,1,1,Escherichia coli,E0g0,2.6956366890947967,2.7648659066543853,5.4605025957491815,1.0,5
1,1,2,Escherichia coli,E0g0,2.023762091687304e-09,402.73021102956653,402.7302110315903,1.0,5
1,2,1,Escherichia coli,E0g0,2.713574808670954,2.7834470421465847,5.497021850817539,1.0,5
1,2,2,Escherichia coli,E0g0,2.104099381049267e-09,402.74847065520913,402.74847065731325,1.0,5
1,3,1,Escherichia coli,E0g0,2.7136978421750775,2.7835744944928273,5.497272336667905,1.0,5
1,3,2,Escherichia coli,E0g0,2.1074904375453445e-09,402.74859589811854,402.748595900226,1.0,5
1,4,1,Escherichia coli,E0g0,2.713698686055219,2.7835753686988265,5.497274054754046,1.0,5
1,4,2,Escherichia coli,E0g0,2.1070483135622705e-09,402.74859675716283,402.7485967592699,1.0,5
1,5,1,Escherichia coli,E0g0,2.713698690729336,2.783575375982373,5.497274066711709,1.0,5
1,5,2,Escherichia coli,E0g0,2.1070034514008425e-09,402.74859676314077,402.7485967652478,1.0,5
1,6,1,Escherichia coli,E0g0,2.713698691883672,2.783575374736731,5.4972740666204025,1.0,5
1,6,2,Escherichia coli,E0g0,2.106744936382747e-09,402.74859676309563,402.74859676520236,1.0,5
1,7,1,Escherichia coli,E0g0,2.713698691883345,2.7835753747363885,5.497274066619733,1.0,5
1,7,2,Escherichia coli,E0g0,2.1069476124937733e-09,402.7485967630954,402.74859676520236,1.0,5
1,8,1,Escherichia coli,E0g0,2.713698691883345,2.7835753747363885,5.497274066619733,1.0,5
1,8,2,Escherichia coli,E0g0,2.1069476124937733e-09,402.7485967630954,402.74859676520236,1.0,5
1,9,1,Escherichia coli,E0g0,2.713698691883345,2.7835753747363885,5.497274066619733,1.0,5
1,9,2,Escherichia coli,E0g0,2.1069476124937733e-09,402.7485967630954,402.74859676520236,1.0,5
2,0,0,Escherichia coli,E0g0,10.0,0.0,10.0,1.0,5
2,0,1,Escherichia coli,E0g0,0.06737946802058802,0.0686166084941636,0.1359960765147516,1.0,5
2,0,2,Escherichia coli,E0g0,-1.7633764476318828e-10,400.06795803180484,400.0679580316285,1.0,5
2,1,1,Escherichia coli,E0g0,2.6956366890947967,2.7648659066543853,5.4605025957491815,1.0,5
2,1,2,Escherichia coli,E0g0,2.023762091687304e-09,402.73021102956653,402.7302110315903,1.0,5
2,2,1,Escherichia coli,E0g0,2.713574808670954,2.7834470421465847,5.497021850817539,1.0,5
2,2,2,Escherichia coli,E0g0,2.104099381049267e-09,402.74847065520913,402.74847065731325,1.0,5
2,3,1,Escherichia coli,E0g0,2.7136978421750775,2.7835744944928273,5.497272336667905,1.0,5
2,3,2,Escherichia coli,E0g0,2.1074904375453445e-09,402.74859589811854,402.748595900226,1.0,5
2,4,1,Escherichia coli,E0g0,2.713698686055219,2.7835753686988265,5.497274054754046,1.0,5
2,4,2,Escherichia coli,E0g0,2.1070483135622705e-09,402.74859675716283,402.7485967592699,1.0,5
2,5,1,Escherichia coli,E0g0,2.713698690729336,2.783575375982373,5.497274066711709,1.0,5
2,5,2,Escherichia coli,E0g0,2.1070034514008425e-09,402.74859676314077,402.7485967652478,1.0,5
2,6,1,Escherichia coli,E0g0,2.713698691883672,2.783575374736731,5.4972740666204025,1.0,5
2,6,2,Escherichia coli,E0g0,2.106744936382747e-09,402.74859676309563,402.74859676520236,1.0,5
2,7,1,Escherichia coli,E0g0,2.713698691883345,2.7835753747363885,5.497274066619733,1.0,5
2,7,2,Escherichia coli,E0g0,2.1069476124937733e-09,402.7485967630954,402.74859676520236,1.0,5
2,8,1,Escherichia coli,E0g0,2.713698691883345,2.7835753747363885,5.497274066619733,1.0,5
2,8,2,Escherichia coli,E0g0,2.1069476124937733e-09,402.7485967630954,402.74859676520236,1.0,5
2,9,1,Escherichia coli,E0g0,2.713698691883345,2.7835753747363885,5.497274066619733,1.0,5
2,9,2,Escherichia coli,E0g0,2.1069476124937733e-09,402.7485967630954,402.74859676520236,1.0,5
3,0,0,Escherichia coli,E0g0,10.0,0.0,10.0,1.0,5
3,0,1,Escherichia coli,E0g0,0.06737946802058802,0.0686166084941636,0.1359960765147516,1.0,5
3,0,2,Escherichia coli,E0g0,-1.7633764476318828e-10,400.06795803180484,400.0679580316285,1.0,5
3,1,1,Escherichia coli,E0g0,2.6956366890947967,2.7648659066543853,5.4605025957491815,1.0,5
3,1,2,Escherichia coli,E0g0,2.023762091687304e-09,402.73021102956653,402.7302110315903,1.0,5
3,2,1,Escherichia coli,E0g0,2.713574808670954,2.7834470421465847,5.497021850817539,1.0,5
3,2,2,Escherichia coli,E0g0,2.104099381049267e-09,402.74847065520913,402.74847065731325,1.0,5
3,3,1,Escherichia coli,E0g0,2.7136978421750775,2.7835744944928273,5.497272336667905,1.0,5
3,3,2,Escherichia coli,E0g0,2.1074904375453445e-09,402.74859589811854,402.748595900226,1.0,5
3,4,1,Escherichia coli,E0g0,2.713698686055219,2.7835753686988265,5.497274054754046,1.0,5
3,4,2,Escherichia coli,E0g0,2.1070483135622705e-09,402.74859675716283,402.7485967592699,1.0,5
3,5,1,Escherichia coli,E0g0,2.713698690729336,2.783575375982373,5.497274066711709,1.0,5
3,5,2,Escherichia coli,E0g0,2.1070034514008425e-09,402.74859676314077,402.7485967652478,1.0,5
3,6,1,Escherichia coli,E0g0,2.713698691883672,2.783575374736731,5.4972740666204025,1.0,5
3,6,2,Escherichia coli,E0g0,2.916181434254197e-09,361.35174157109793,361.3517415740141,1.0,5
3,6,2,Escherichia coli,E1g6,7.28621337945336e-06,41.39684793574972,41.3968552219631,1.7958015703033494,5
3,7,1,Escherichia coli,E0g0,2.4347688751307883,2.497172068895704,4.9319409440264925,1.0,5
3,7,1,Escherichia coli,E1g6,2.557251205138866,1.008897241354242,3.566148446493108,1.7958015703033494,5
3,7,2,Escherichia coli,E0g0,2.5232209658932314e-09,266.1318498610108,266.131849863534,1.0,5
3,7,2,Escherichia coli,E1g6,1.86203086943432e-05,138.1171358041003,138.117154424409,1.7958015703033494,5
3,8,1,Escherichia coli,E0g0,1.793182292965191,1.8387137905614523,3.6318960835266436,1.0,5
3,8,1,Escherichia coli,E1g6,8.532055338658516,3.3655940157283943,11.89764935438691,1.7958015703033494,5
3,8,2,Escherichia coli,E0g0,1.8617857398071148e-09,121.64224557704048,121.64224557890228,1.0,5
3,8,2,Escherichia coli,E1g6,6.21314754963724e-05,286.1224242752127,286.1224864066882,1.7958015703033494,5
3,9,1,Escherichia coli,E0g0,0.8196189969006986,0.840161541878178,1.6597805387788767,1.0,5
3,9,1,Escherichia coli,E1g6,17.674943403202697,6.9707079844249,24.645651387627595,1.7958015703033494,5
3,9,2,Escherichia coli,E0g0,8.467958610533741e-10,35.403802804206734,35.40380280505353,1.0,5
3,9,2,Escherichia coli,E1g6,0.0001286974560857402,377.7487432268196,377.7488719242757,1.7958015703033494,5
4,0,0,Escherichia coli,E0g0,10.0,0.0,10.0,1.0,5
4,0,1,Escherichia coli,E0g0,0.06737946802058802,0.0686166084941636,0.1359960765147516,1.0,5
