##culture:co#seed:2#rep:10#mu:(0.0005, 0.0005)#cycles:10#init_R:(1, 1000, 0)#init_n:(5, 5)#init_lag:(1, 1)#Ta:5#alpha:(3, 3)#mut_func:null#max_lag_change:(1.1, 1.1)
##init_pop:1000#duration:5
seed,culture,rep,cycle,frac,duration
2,co,0,0,0.0201304192630385,5
2,co,0,1,0.031124796200673658,5
2,co,0,2,0.05342764543673886,5
2,co,0,3,0.06806295774275478,5
2,co,0,4,0.07775179544716761,5
2,co,0,5,0.08533734412475158,5
2,co,0,6,0.09484083449434613,5
2,co,0,7,0.10067257017283651,5
2,co,0,8,0.1170024154922432,5
2,co,0,9,0.12487678838392278,5
2,co,1,0,0.013440405764986977,5
2,co,1,1,0.013440386272528292,5
2,co,1,2,0.013440384390311479,5
2,co,1,3,0.03610089476278507,5
2,co,1,4,0.08419360560677072,5
2,co,1,5,0.13846199266691814,5
2,co,1,6,0.173283952217703,5
2,co,1,7,0.21772201432530375,5
2,co,1,8,0.26488088818289923,5
2,co,1,9,0.2842068354770044,5
2,co,2,0,0.017143626890433344,5
2,co,2,1,0.021461537064655836,5
2,co,2,2,0.02447007329557077,5
2,co,2,3,0.04458082114378951,5
2,co,2,4,0.0694483574558837,5
2,co,2,5,0.09011566028458529,5
2,co,2,6,0.10208328956448376,5
2,co,2,7,0.10727634422383926,5
2,co,2,8,0.10752820006885597,5
2,co,2,9,0.10822073066716682,5
2,co,3,0,0.013440405764986977,5
2,co,3,1,0.02108191614092319,5
2,co,3,2,0.03044377539757894,5
2,co,3,3,0.040160058900032616,5
2,co,3,4,0.05184430511981631,5
2,co,3,5,0.05681970310804773,5
2,co,3,6,0.05332783878179902,5
2,co,3,7,0.06098564058739219,5
2,co,3,8,0.08296846653562132,5
2,co,3,9,0.10265410356202852,5
2,co,4,0,0.013440405764986977,5
2,co,4,1,0.02963827496205772,5
2,co,4,2,0.07835940878862736,5
2,co,4,3,0.11507720588742588,5
2,co,4,4,0.1355487187506334,5
2,co,4,5,0.14807191305549516,5
2,co,4,6,0.15365517191067263,5
2,co,4,7,0.15820234081324352,5
2,co,4,8,0.162070533065104,5
2,co,4,9,0.1654211776595749,5
2,co,5,0,0.013440405764986977,5
2,co,5,1,0.013440386272528292,5
2,co,5,2,0.013440384390311479,5
2,co,5,3,0.013472520508891209,5
2,co,5,4,0.022806233091179,5
2,co,5,5,0.047289393920608915,5
2,co,5,6,0.08549196705465133,5
2,co,5,7,0.13191156850088834,5
2,co,5,8,0.16286124011111994,5
2,co,5,9,0.18399327853600556,5
2,co,6,0,0.013440405764986977,5
2,co,6,1,0.034582437839099915,5
2,co,6,2,0.09986824083279874,5
2,co,6,3,0.13496253345817155,5
2,co,6,4,0.14556943614596013,5
2,co,6,5,0.17048665715123898,5
2,co,6,6,0.18327129199679537,5
2,co,6,7,0.19115324459104463,5
2,co,6,8,0.19785938252287966,5
2,co,6,9,0.22206563303560245,5
2,co,7,0,0.013440405764986977,5
2,co,7,1,0.013440386272528292,5
2,co,7,2,0.015257968982825991,5
2,co,7,3,0.02040693877539752,5
2,co,7,4,0.02447035530513253,5
2,co,7,5,0.03133766791256126,5
2,co,7,6,0.03480368341544776,5
2,co,7,7,0.03680098037886527,5
2,co,7,8,0.040295668581400476,5
2,co,7,9,0.04126753843845092,5
2,co,8,0,0.0232958807489256,5
2,co,8,1,0.038085179549178325,5
2,co,8,2,0.05814147716015829,5
2,co,8,3,0.06561820530212717,5
2,co,8,4,0.06890187436597318,5
2,co,8,5,0.07040360394352434,5
2,co,8,6,0.08627136304077508,5
2,co,8,7,0.0962536291347453,5
2,co,8,8,0.10536214961204539,5
2,co,8,9,0.11447824146081205,5
2,co,9,0,0.013440405764986977,5
2,co,9,1,0.0134403863747927,5
2,co,9,2,0.01636424234027779,5
2,co,9,3,0.028043897908713134,5
2,co,9,4,0.04809989348940848,5
2,co,9,5,0.07575606135011825,5
2,co,9,6,0.09308480380142783,5
2,co,9,7,0.10133192951260231,5
2,co,9,8,0.10467674203393793,5
2,co,9,9,0.10897240513177035,5
