##culture:co#seed:331#rep:10#mu:(0.01, 0.01)#cycles:10#init_R:(1, 1000, 0)#init_n:(5, 5)#init_lag:(1, 1)#Ta:5#alpha:(3, 3)#mut_func:null#max_lag_change:(1.1, 1.1)
##init_pop:1000#duration:5
culture,rep,cycle,frac,duration
co,0,0,0.013625453831456764,5
co,0,1,0.014812342708367426,5
co,0,2,0.020222285091191543,5
co,0,3,0.039776441425744546,5
co,0,4,0.075194890538935,5
co,0,5,0.10106592802458123,5
co,0,6,0.11425498119357781,5
co,0,7,0.12418683692627891,5
co,0,8,0.13445255896744285,5
co,0,9,0.14498496062437086,5
co,1,0,0.013698498369243781,5
co,1,1,0.015157376864136133,5
co,1,2,0.021352343414514315,5
co,1,3,0.040380121286141095,5
co,1,4,0.06959765737739329,5
co,1,5,0.08913747424104333,5
co,1,6,0.09910691692428243,5
co,1,7,0.1066626330472546,5
co,1,8,0.11465772291905965,5
co,1,9,0.12433384497477572,5
co,2,0,0.013772828716141411,5
co,2,1,0.015102625130031674,5
co,2,2,0.02017022478628405,5
co,2,3,0.03584135889664903,5
co,2,4,0.06282385236280404,5
co,2,5,0.08397958151771416,5
co,2,6,0.09558312428260052,5
co,2,7,0.1032996389238204,5
co,2,8,0.10969207411268342,5
co,2,9,0.11663282838134384,5
co,3,0,0.01372817323500525,5
co,3,1,0.01504517331303573,5
co,3,2,0.02093220440052142,5
co,3,3,0.04084981281538499,5
co,3,4,0.07314402935107428,5
co,3,5,0.09342052842996793,5
co,3,6,0.10226339813994718,5
co,3,7,0.1078633389708096,5
co,3,8,0.11370615034831527,5
co,3,9,0.12072263118873787,5
co,4,0,0.013582257525222293,5
co,4,1,0.01445124680361707,5
co,4,2,0.017998331916297627,5
co,4,3,0.03115629348531414,5
co,4,4,0.06030447886796865,5
co,4,5,0.0873269165848953,5
co,4,6,0.10092912987636411,5
co,4,7,0.10888364862601556,5
co,4,8,0.1157935767167982,5
co,4,9,0.12352124366381828,5
co,5,0,0.014133605040382488,5
co,5,1,0.017212719840657607,5
co,5,2,0.02891780179872917,5
co,5,3,0.05745426217223518,5
co,5,4,0.0866795755531458,5
co,5,5,0.10242207902395205,5
co,5,6,0.11213727530937867,5
co,5,7,0.12101191599747305,5
co,5,8,0.13015644727551917,5
co,5,9,0.14031456506349888,5
co,6,0,0.013597707927942808,5
co,6,1,0.014387160727912832,5
co,6,2,0.017529945443284123,5
co,6,3,0.028561679364996154,5
co,6,4,0.05188217549162677,5
co,6,5,0.0750326422882912,5
co,6,6,0.08839976846095819,5
co,6,7,0.09728053120501154,5
co,6,8,0.10660390700558015,5
co,6,9,0.117275900025887,5
co,7,0,0.013899382781703419,5
co,7,1,0.01630292721400537,5
co,7,2,0.026851043301107106,5
co,7,3,0.057529996124811966,5
co,7,4,0.09183573021730926,5
co,7,5,0.10716049453903485,5
co,7,6,0.11399065175804517,5
co,7,7,0.11894252285643775,5
co,7,8,0.12389686433257174,5
co,7,9,0.12980750331371704,5
co,8,0,0.014048158843155354,5
co,8,1,0.01636223820665187,5
co,8,2,0.026048336973110806,5
co,8,3,0.052844844252446024,5
co,8,4,0.08255236846564916,5
co,8,5,0.09731402920175526,5
co,8,6,0.10378242799868508,5
co,8,7,0.1083750037335955,5
co,8,8,0.11309388000322443,5
co,8,9,0.11847432330302107,5
co,9,0,0.013886564382163572,5
co,9,1,0.01613147617188808,5
co,9,2,0.025174381002168768,5
co,9,3,0.050637089980975436,5
co,9,4,0.08053411977268526,5
co,9,5,0.0955785180179874,5
co,9,6,0.10208521148833584,5
co,9,7,0.10629449102182224,5
co,9,8,0.10984859898922052,5
co,9,9,0.11396738646922545,5
