##culture:co#seed:685#rep:10#mu:(0.01, 0.01)#cycles:10#init_R:(1, 1000, 0)#init_n:(5, 5)#init_lag:(1, 1)#Ta:5#alpha:(3, 3)#mut_func:null#max_lag_change:(1.1, 1.1)
##init_pop:1000#duration:5
culture,rep,cycle,frac,duration
co,0,0,0.013808568224679374,5
co,0,1,0.014256114815788189,5
co,0,2,0.014383412355511672,5
co,0,3,0.014655666843357009,5
co,0,4,0.014880963574094208,5
co,0,5,0.01508804714190232,5
co,0,6,0.014979163117461362,5
co,0,7,0.015114274430310128,5
co,0,8,0.015272595425684826,5
co,0,9,0.015594175050432636,5
co,1,0,0.014131668841228077,5
co,1,1,0.014229007256378616,5
co,1,2,0.014512323750013458,5
co,1,3,0.015019564578208808,5
co,1,4,0.015228731346949305,5
co,1,5,0.015450285831111507,5
co,1,6,0.01561042415879436,5
co,1,7,0.015486420929006461,5
co,1,8,0.01571661822494724,5
co,1,9,0.015898460707670436,5
co,2,0,0.013883261672724396,5
co,2,1,0.014243326385427232,5
co,2,2,0.014335902948677256,5
co,2,3,0.014831974923502356,5
co,2,4,0.015119506216748353,5
co,2,5,0.015418346655828903,5
co,2,6,0.015593262305387325,5
co,2,7,0.015489292400399366,5
co,2,8,0.01548317440499797,5
co,2,9,0.01578428254728652,5
co,3,0,0.01406623511948678,5
co,3,1,0.014267715637811956,5
co,3,2,0.014849231805333632,5
co,3,3,0.015179911951619884,5
co,3,4,0.015283825063337163,5
co,3,5,0.015500555735321837,5
co,3,6,0.016041038803725424,5
co,3,7,0.01581970230301593,5
co,3,8,0.01580982016441712,5
co,3,9,0.015974903123023194,5
co,4,0,0.013838416740813094,5
co,4,1,0.014330236046075816,5
co,4,2,0.015018817478417948,5
co,4,3,0.015545315137171377,5
co,4,4,0.01610534959931303,5
co,4,5,0.01617961000815699,5
co,4,6,0.01614289456653318,5
co,4,7,0.016109188895132586,5
co,4,8,0.016208906785381283,5
co,4,9,0.016541684345926476,5
co,5,0,0.014015857853406526,5
co,5,1,0.014233419944387241,5
co,5,2,0.014387361679240693,5
co,5,3,0.014540073169090355,5
co,5,4,0.01463991871530305,5
co,5,5,0.014786179360516682,5
co,5,6,0.014964747220576089,5
co,5,7,0.015146037771616935,5
co,5,8,0.015206847517833256,5
co,5,9,0.015133144436394698,5
co,6,0,0.013748751506224939,5
co,6,1,0.0142740636377371,5
co,6,2,0.014650691948205487,5
co,6,3,0.014938819842848602,5
co,6,4,0.015125353797395442,5
co,6,5,0.015334196954021677,5
co,6,6,0.015406578965548767,5
co,6,7,0.015376756346425206,5
co,6,8,0.015642839861399537,5
co,6,9,0.01573017736782882,5
co,7,0,0.014038501711918915,5
co,7,1,0.014162598946505912,5
co,7,2,0.01447313734861217,5
co,7,3,0.014581957362648355,5
co,7,4,0.014636201044593566,5
co,7,5,0.015029171234243847,5
co,7,6,0.01507192717622607,5
co,7,7,0.015320096772519772,5
co,7,8,0.015666420268134335,5
co,7,9,0.01566334749955614,5
co,8,0,0.014006865577896299,5
co,8,1,0.014167097676275834,5
co,8,2,0.014466066745380663,5
co,8,3,0.014543548651532106,5
co,8,4,0.014945126830386396,5
co,8,5,0.015273969279922896,5
co,8,6,0.015578387201716216,5
co,8,7,0.0155936366592059,5
co,8,8,0.015929614071729437,5
co,8,9,0.01610958953392469,5
co,9,0,0.013887573227732401,5
co,9,1,0.014361355847453485,5
co,9,2,0.014669710296662895,5
co,9,3,0.014702056811734865,5
co,9,4,0.01491850037438238,5
co,9,5,0.014858936816644125,5
co,9,6,0.01534388146114042,5
co,9,7,0.015418713747251706,5
co,9,8,0.015741621729661308,5
co,9,9,0.015968880622131455,5
