##culture:mono#seed:685#rep:10#mu:(0.01, 0)#cycles:10#init_R:(1000, 1000, 0)#init_n:(10, 0)#init_lag:(1, 0)#Ta:5#alpha:(3, 0)#mut_func:null#max_lag_change:(1.1, 0)
##init_pop:1000#duration:5
culture,rep,cycle,frac,duration
mono,0,0,0.01389364819537626,5
mono,0,1,0.01469348132452977,5
mono,0,2,0.014994128676914333,5
mono,0,3,0.01517826474126175,5
mono,0,4,0.015383532444232649,5
mono,0,5,0.015609193200850972,5
mono,0,6,0.01595355176907882,5
mono,0,7,0.015893267263795252,5
mono,0,8,0.01594295338778398,5
mono,0,9,0.016390255838521262,5
mono,1,0,0.01401878665311536,5
mono,1,1,0.01442693032483577,5
mono,1,2,0.014536158541886146,5
mono,1,3,0.014708758908089852,5
mono,1,4,0.014934956297560791,5
mono,1,5,0.014920589397625856,5
mono,1,6,0.015268270098557307,5
mono,1,7,0.015412275732826648,5
mono,1,8,0.015419042971537391,5
mono,1,9,0.015384966188210154,5
mono,2,0,0.014282227629673,5
mono,2,1,0.014821421694824756,5
mono,2,2,0.014946200516359134,5
mono,2,3,0.015269827070819272,5
mono,2,4,0.015888581195140646,5
mono,2,5,0.0160230168954134,5
mono,2,6,0.016611654920846635,5
mono,2,7,0.016810941200745402,5
mono,2,8,0.017434969788290997,5
mono,2,9,0.01939056813925175,5
mono,3,0,0.01392310539486225,5
mono,3,1,0.01411714416781102,5
mono,3,2,0.014334660585725812,5
mono,3,3,0.014628728150001527,5
mono,3,4,0.014655875343787974,5
mono,3,5,0.014797659368079582,5
mono,3,6,0.015097073908586927,5
mono,3,7,0.015461583376531878,5
mono,3,8,0.015837572369584267,5
mono,3,9,0.015947071135368727,5
mono,4,0,0.013672263389868211,5
mono,4,1,0.013967864816329148,5
mono,4,2,0.0143631146652451,5
mono,4,3,0.014806465823654733,5
mono,4,4,0.015179477225570738,5
mono,4,5,0.015570941136684916,5
mono,4,6,0.01640452929495072,5
mono,4,7,0.017707559219992536,5
mono,4,8,0.02146874482487877,5
mono,4,9,0.030626325112539543,5
mono,5,0,0.014174371974182007,5
mono,5,1,0.014429459687975363,5
mono,5,2,0.014720252869046609,5
mono,5,3,0.015076498432193533,5
mono,5,4,0.01542313093243834,5
mono,5,5,0.01604690997417111,5
mono,5,6,0.017111059471943316,5
mono,5,7,0.018837215492043688,5
mono,5,8,0.02154360321200654,5
mono,5,9,0.026517253126314578,5
mono,6,0,0.013890828166918156,5
mono,6,1,0.014115921460384734,5
mono,6,2,0.014402762937300652,5
mono,6,3,0.015190195443622755,5
mono,6,4,0.015436301414372619,5
mono,6,5,0.015498723113402163,5
mono,6,6,0.015947823491453784,5
mono,6,7,0.016163454641947378,5
mono,6,8,0.016932419534493363,5
mono,6,9,0.018403942594207405,5
mono,7,0,0.013920656512748163,5
mono,7,1,0.014105805785059483,5
mono,7,2,0.014177985682820244,5
mono,7,3,0.014293938612624246,5
mono,7,4,0.014279494572050978,5
mono,7,5,0.014932670116384295,5
mono,7,6,0.015710184294107636,5
mono,7,7,0.01596530794218846,5
mono,7,8,0.01589426012928918,5
mono,7,9,0.016420202364865636,5
mono,8,0,0.013794223861771123,5
mono,8,1,0.014123578586485353,5
mono,8,2,0.014451263281412314,5
mono,8,3,0.014870214003195003,5
mono,8,4,0.015307900724434352,5
mono,8,5,0.015286737013246903,5
mono,8,6,0.015561614222565774,5
mono,8,7,0.015780964093930285,5
mono,8,8,0.01644959568517427,5
mono,8,9,0.01715601664850141,5
mono,9,0,0.014389939681551639,5
mono,9,1,0.015199408382640797,5
mono,9,2,0.015300797709476472,5
mono,9,3,0.015480450665637161,5
mono,9,4,0.015583286358371452,5
mono,9,5,0.015796084688715264,5
mono,9,6,0.01606577355498104,5
mono,9,7,0.015916174936609403,5
mono,9,8,0.016084672086948144,5
mono,9,9,0.016178899948609025,5
