##culture:mono#seed:7#rep:5#mu:(0.0003, 0)#cycles:10#init_R:(1750, 2000, 0)#init_n:(10, 0)#init_lag:(1, 0)#Ta:5#alpha:(3, 0)#mut_func:null#max_lag_change:(1.1, 0)
##init_pop:1000#duration:5
seed,culture,rep,cycle,frac,duration
7,mono,0,0,0.013440843113687238,5
7,mono,0,1,0.013460420611078319,5
7,mono,0,2,0.013502587553946023,5
7,mono,0,3,0.013666409678417632,5
7,mono,0,4,0.014206854676903344,5
7,mono,0,5,0.0159401711377944,5
7,mono,0,6,0.020970658548400738,5
7,mono,0,7,0.032092866768241704,5
7,mono,0,8,0.046573626426127175,5
7,mono,0,9,0.05682098251531382,5
7,mono,1,0,0.013440843113687238,5
7,mono,1,1,0.013440843113687238,5
7,mono,1,2,0.013451343630870641,5
7,mono,1,3,0.013459108770687872,5
7,mono,1,4,0.013473119903412633,5
7,mono,1,5,0.013554700802439758,5
7,mono,1,6,0.013763430967855192,5
7,mono,1,7,0.014555658269804515,5
7,mono,1,8,0.01775913023168308,5
7,mono,1,9,0.029314413839462372,5
7,mono,2,0,0.013486101650668351,5
7,mono,2,1,0.013633018063476157,5
7,mono,2,2,0.01419664672292963,5
7,mono,2,3,0.01645037741706076,5
7,mono,2,4,0.02447462775504364,5
7,mono,2,5,0.04392045635809851,5
7,mono,2,6,0.06558918427052436,5
7,mono,2,7,0.07625985518232505,5
7,mono,2,8,0.07968853952898163,5
7,mono,2,9,0.08070365460445222,5
7,mono,3,0,0.0134584933946251,5
7,mono,3,1,0.013493045154029448,5
7,mono,3,2,0.013594939281905994,5
7,mono,3,3,0.013893170672317347,5
7,mono,3,4,0.014747138615128313,5
7,mono,3,5,0.017093769685230742,5
7,mono,3,6,0.02253087047862841,5
7,mono,3,7,0.03178928353509473,5
7,mono,3,8,0.041618124222429644,5
7,mono,3,9,0.048839326806621834,5
7,mono,4,0,0.013465052524326549,5
7,mono,4,1,0.01357399693637783,5
7,mono,4,2,0.014011533694556573,5
7,mono,4,3,0.01578987749854913,5
7,mono,4,4,0.022737138595426126,5
7,mono,4,5,0.04233064157835624,5
7,mono,4,6,0.06927936410345815,5
7,mono,4,7,0.08539436551324305,5
7,mono,4,8,0.09219881430603018,5
7,mono,4,9,0.09580368117963768,5
