culture,rep,met,lac,frac_rate
Coculture,0,1,1,0.12919298802261983
Coculture,1,1,1,1.0912121747880423e-06
Coculture,2,1,1,0.0585122203991143
Coculture,3,1,1,1.0912121747880423e-06
Coculture,4,1,1,1.0912121747880423e-06
Coculture,5,1,1,1.0912121747880423e-06
Coculture,6,1,1,1.0912121747880423e-06
Coculture,7,1,1,1.0912121747880423e-06
Coculture,8,1,1,1.0912121747880423e-06
Coculture,9,1,1,1.0912121747880423e-06
Coculture,0,1,5,7.112791337949069e-07
Coculture,1,1,5,6.319324776645393e-07
Coculture,2,1,5,0.07502889860170352
Coculture,3,1,5,0.09283706386850357
Coculture,4,1,5,6.319324776645393e-07
Coculture,5,1,5,6.319324776645393e-07
Coculture,6,1,5,0.11917126665910256
Coculture,7,1,5,0.11697116947614783
Coculture,8,1,5,6.59101647073074e-07
Coculture,9,1,5,6.642397079495012e-07
Coculture,0,1,10,3.3165302206088424e-07
Coculture,1,1,10,0.10728643656361903
Coculture,2,1,10,3.3165302206088424e-07
Coculture,3,1,10,0.11859792316807814
Coculture,4,1,10,0.05931560203778623
Coculture,5,1,10,0.007247608716514575
Coculture,6,1,10,3.3165302206088424e-07
Coculture,7,1,10,3.5020913867722323e-07
Coculture,8,1,10,3.3165302206088424e-07
Coculture,9,1,10,0.10962219439429143
Coculture,0,1,20,0.028566170907402495
Coculture,1,1,20,0.12036541705616666
Coculture,2,1,20,0.06747431653103576
Coculture,3,1,20,0.015552409600438294
Coculture,4,1,20,0.04721408708825864
Coculture,5,1,20,0.07365809138668825
Coculture,6,1,20,0.13523527345657452
Coculture,7,1,20,0.10806179488007579
Coculture,8,1,20,0.0804171842707228
Coculture,9,1,20,0.02384958858570485
Coculture,0,1,50,0.06405890594111187
Coculture,1,1,50,0.05750968176522875
Coculture,2,1,50,0.13244709415341654
Coculture,3,1,50,0.012164545318532926
Coculture,4,1,50,0.06693822313698376
Coculture,5,1,50,0.10810948993331265
Coculture,6,1,50,0.09578578465408709
Coculture,7,1,50,0.07977777832150555
Coculture,8,1,50,0.08877775252113518
Coculture,9,1,50,0.08947909889333146
Coculture,0,1,100,0.09955268773497307
Coculture,1,1,100,0.07450418762894512
Coculture,2,1,100,0.10866369846740544
Coculture,3,1,100,0.12261057322181591
Coculture,4,1,100,0.09886363181333274
Coculture,5,1,100,0.1059957466580302
Coculture,6,1,100,0.1033002974555164
Coculture,7,1,100,0.1217180434060796
Coculture,8,1,100,0.12432378870268956
Coculture,9,1,100,0.10704049760915203
Coculture,0,1,200,0.12159154260207904
Coculture,1,1,200,0.09670335641672939
Coculture,2,1,200,0.10877290026501983
Coculture,3,1,200,0.10561890783312448
Coculture,4,1,200,0.11466674178702804
Coculture,5,1,200,0.10131443168302921
Coculture,6,1,200,0.09502327652956025
Coculture,7,1,200,0.10307771795487701
Coculture,8,1,200,0.10900567290707895
Coculture,9,1,200,0.13077667241038737
Coculture,0,1,500,0.11517512991069445
Coculture,1,1,500,0.11459337181688518
Coculture,2,1,500,0.1179873917758122
Coculture,3,1,500,0.11041619355194461
Coculture,4,1,500,0.11190551877918203
Coculture,5,1,500,0.10817661971416005
Coculture,6,1,500,0.11791040530141593
Coculture,7,1,500,0.11866162511814014
Coculture,8,1,500,0.10897708204007853
Coculture,9,1,500,0.11907333114126956
Coculture,0,1,1000,0.1299167488612006
Coculture,1,1,1000,0.11763242739200983
Coculture,2,1,1000,0.1123383898893042
Coculture,3,1,1000,0.11962017685113915
Coculture,4,1,1000,0.12374007673472687
Coculture,5,1,1000,0.11641363947260719
Coculture,6,1,1000,0.11266589187077752
Coculture,7,1,1000,0.11005116841480302
Coculture,8,1,1000,0.11056193344052954
Coculture,9,1,1000,0.1463029133891807
Coculture,0,1,1500,0.11210689195625005
Coculture,1,1,1500,0.12137108535291281
Coculture,2,1,1500,0.12141171439065976
Coculture,3,1,1500,0.12026452724060678
Coculture,4,1,1500,0.1244981401431142
Coculture,5,1,1500,0.11532614086959617
Coculture,6,1,1500,0.12215653139959237
Coculture,7,1,1500,0.1317436771157525
Coculture,8,1,1500,0.12082156666513622
Coculture,9,1,1500,0.11542506263139696
Coculture,0,1,2000,0.12211580433992172
Coculture,1,1,2000,0.1173794527843619
Coculture,2,1,2000,0.11207757617961799
Coculture,3,1,2000,0.1252308684841937
Coculture,4,1,2000,0.11155629463636138
Coculture,5,1,2000,0.11457982142544552
Coculture,6,1,2000,0.11670874548084073
Coculture,7,1,2000,0.15257456291485552
Coculture,8,1,2000,0.12310911904072253
Coculture,9,1,2000,0.11350651709601665
Coculture,0,1,2500,0.12207687767998976
Coculture,1,1,2500,0.11616615906864959
Coculture,2,1,2500,0.1192468662482225
Coculture,3,1,2500,0.13165882337789458
Coculture,4,1,2500,0.12149647027703407
Coculture,5,1,2500,0.118766518166968
Coculture,6,1,2500,0.11855932095666882
Coculture,7,1,2500,0.11751116128543283
Coculture,8,1,2500,0.11450051040116778
Coculture,9,1,2500,0.12222236062258175
Coculture,0,1,3000,0.11701958536704869
Coculture,1,1,3000,0.1207254555710883
Coculture,2,1,3000,0.11672719972675791
Coculture,3,1,3000,0.12292183939526007
Coculture,4,1,3000,0.12966761609552277
Coculture,5,1,3000,0.12607223344104823
Coculture,6,1,3000,0.13191480693759305
Coculture,7,1,3000,0.11855644484531337
Coculture,8,1,3000,0.12100565764157947
Coculture,9,1,3000,0.1288218192301342
