##culture:co#seed:685#rep:10#mu:(0.01, 0.01)#cycles:10#init_R:(1, 1000, 0)#init_n:(5, 5)#init_lag:(1, 1)#Ta:5#alpha:(3, 3)#mut_func:null#max_lag_change:(1.1, 1.1)
##init_pop:1000#duration:5
culture,rep,cycle,frac,duration
co,0,0,0.013779016350513953,5
co,0,1,0.01670276949652101,5
co,0,2,0.036315747108386434,5
co,0,3,0.08653521684108753,5
co,0,4,0.11392524089626904,5
co,0,5,0.1245509467912888,5
co,0,6,0.13405153142033768,5
co,0,7,0.14687215411459145,5
co,0,8,0.1641364591293092,5
co,0,9,0.18472953434622374,5
co,1,0,0.014060978753091279,5
co,1,1,0.019033749161676234,5
co,1,2,0.050075154446487594,5
co,1,3,0.10614194512390997,5
co,1,4,0.13511321246946287,5
co,1,5,0.15523851608026165,5
co,1,6,0.17572638998028814,5
co,1,7,0.19509257449328554,5
co,1,8,0.21097947869943806,5
co,1,9,0.22283858098469847,5
co,2,0,0.01412113713362415,5
co,2,1,0.019322818969901054,5
co,2,2,0.04766261613210134,5
co,2,3,0.08885080168385946,5
co,2,4,0.10268059581195192,5
co,2,5,0.1067567409121256,5
co,2,6,0.1103855468270598,5
co,2,7,0.1151419158225819,5
co,2,8,0.12235137960968137,5
co,2,9,0.13306603745369008,5
co,3,0,0.014007249568095063,5
co,3,1,0.01788395909325783,5
co,3,2,0.04036661467321595,5
co,3,3,0.08410131458752289,5
co,3,4,0.10306877326364652,5
co,3,5,0.10909928666018659,5
co,3,6,0.11360805437418373,5
co,3,7,0.11961124821697099,5
co,3,8,0.12821590758677692,5
co,3,9,0.1402539677033935,5
co,4,0,0.013815312741002936,5
co,4,1,0.016629829247726,5
co,4,2,0.03328712814598868,5
co,4,3,0.07336270711488115,5
co,4,4,0.09763825803374462,5
co,4,5,0.10703330183025155,5
co,4,6,0.11497232942647155,5
co,4,7,0.12378061016443566,5
co,4,8,0.1352308524256805,5
co,4,9,0.14896039050562931,5
co,5,0,0.013692103585960205,5
co,5,1,0.015406277112218165,5
co,5,2,0.026770004477643522,5
co,5,3,0.06330886517619824,5
co,5,4,0.0931591249189714,5
co,5,5,0.10661638439135,5
co,5,6,0.11920547551957504,5
co,5,7,0.13573686017074127,5
co,5,8,0.15438779058927424,5
co,5,9,0.17325764637387173,5
co,6,0,0.013920022339207545,5
co,6,1,0.01748175699325955,5
co,6,2,0.03986995163635913,5
co,6,3,0.08884890244949925,5
co,6,4,0.11399288334074134,5
co,6,5,0.12586426006392076,5
co,6,6,0.13705441268347152,5
co,6,7,0.1495465797035971,5
co,6,8,0.1624826613326539,5
co,6,9,0.1756653067109109,5
co,7,0,0.013560090671007769,5
co,7,1,0.014306722363486832,5
co,7,2,0.018496510884312936,5
co,7,3,0.03794452202648274,5
co,7,4,0.07273755354686445,5
co,7,5,0.09168984166587098,5
co,7,6,0.1005258273726174,5
co,7,7,0.10763817022941569,5
co,7,8,0.11614969023545897,5
co,7,9,0.12776205483965788,5
co,8,0,0.01418282805398425,5
co,8,1,0.018953230111504786,5
co,8,2,0.04324298715156613,5
co,8,3,0.08393832572219208,5
co,8,4,0.10277775247075234,5
co,8,5,0.1117805107541823,5
co,8,6,0.12060345384506992,5
co,8,7,0.1313979950472234,5
co,8,8,0.14456963264235065,5
co,8,9,0.15932029827355254,5
co,9,0,0.01398394743207046,5
co,9,1,0.017802602277089727,5
co,9,2,0.038456367776851165,5
co,9,3,0.07976817159292506,5
co,9,4,0.10290561903664407,5
co,9,5,0.1163438147806948,5
co,9,6,0.13078911260036274,5
co,9,7,0.14670094363554056,5
co,9,8,0.162893245893747,5
co,9,9,0.1780500751505833,5
