##culture:mono#seed:685#rep:10#mu:(0.01, 0)#cycles:10#init_R:(1000, 1000, 0)#init_n:(10, 0)#init_lag:(1, 0)#Ta:5#alpha:(3, 0)#mut_func:null#max_lag_change:(1.1, 0)
##init_pop:1000#duration:5
culture,rep,cycle,frac,duration
mono,0,0,0.014057842536272435,5
mono,0,1,0.023376169049690962,5
mono,0,2,0.07739331651147827,5
mono,0,3,0.10575605486036123,5
mono,0,4,0.11318707890219318,5
mono,0,5,0.12231168295799047,5
mono,0,6,0.1395062597189067,5
mono,0,7,0.16698801698377994,5
mono,0,8,0.19714889254224746,5
mono,0,9,0.2188637090920134,5
mono,1,0,0.013815984158770974,5
mono,1,1,0.016911563973695812,5
mono,1,2,0.041005083147048656,5
mono,1,3,0.08184980698009549,5
mono,1,4,0.10089819048094228,5
mono,1,5,0.12260004871233128,5
mono,1,6,0.15085971684411664,5
mono,1,7,0.174165717935068,5
mono,1,8,0.1878923681758961,5
mono,1,9,0.1963004776169843,5
mono,2,0,0.013910962256099755,5
mono,2,1,0.021967924709580387,5
mono,2,2,0.07996936925877485,5
mono,2,3,0.11928127927474072,5
mono,2,4,0.13982905044385402,5
mono,2,5,0.1664859212432398,5
mono,2,6,0.19390911353590004,5
mono,2,7,0.21420334626617465,5
mono,2,8,0.2274485103072046,5
mono,2,9,0.2372058465816297,5
mono,3,0,0.013884728540551828,5
mono,3,1,0.019912317499444356,5
mono,3,2,0.06391346377867992,5
mono,3,3,0.10148752519503938,5
mono,3,4,0.11210822927727118,5
mono,3,5,0.12254392311583492,5
mono,3,6,0.13822447463267692,5
mono,3,7,0.16055522231478692,5
mono,3,8,0.1853503115933102,5
mono,3,9,0.20614786123017864,5
mono,4,0,0.01403209258866777,5
mono,4,1,0.02160364622759238,5
mono,4,2,0.06658515679374798,5
mono,4,3,0.09594312972502701,5
mono,4,4,0.10415835592455983,5
mono,4,5,0.11402073603840628,5
mono,4,6,0.13261096008557272,5
mono,4,7,0.15971584538908865,5
mono,4,8,0.1876519321245382,5
mono,4,9,0.20817687144272923,5
mono,5,0,0.014012436410762816,5
mono,5,1,0.022610965803552777,5
mono,5,2,0.07463033036913186,5
mono,5,3,0.10416893240904822,5
mono,5,4,0.11375909658965322,5
mono,5,5,0.1275238440665776,5
mono,5,6,0.1498788699752555,5
mono,5,7,0.17702462397977214,5
mono,5,8,0.19934636805092967,5
mono,5,9,0.2142059898817944,5
mono,6,0,0.013993752752451906,5
mono,6,1,0.021992717377755204,5
mono,6,2,0.07628496159272459,5
mono,6,3,0.1105353249245628,5
mono,6,4,0.11910706720783334,5
mono,6,5,0.12847713156011326,5
mono,6,6,0.1460890540769581,5
mono,6,7,0.1748351826806185,5
mono,6,8,0.20801888747667605,5
mono,6,9,0.2342286446398405,5
mono,7,0,0.013853519246591842,5
mono,7,1,0.019320071028809675,5
mono,7,2,0.06374980951161487,5
mono,7,3,0.1070622170592745,5
mono,7,4,0.12037155109926485,5
mono,7,5,0.13393763491108976,5
mono,7,6,0.1539155690241866,5
mono,7,7,0.17882462485013498,5
mono,7,8,0.20118601570491632,5
mono,7,9,0.21686016413115133,5
mono,8,0,0.014308905457577355,5
mono,8,1,0.024880072250496044,5
mono,8,2,0.07483777559935481,5
mono,8,3,0.10288570948339398,5
mono,8,4,0.11368217732669736,5
mono,8,5,0.12505734744445324,5
mono,8,6,0.1402898986937312,5
mono,8,7,0.15851768872226196,5
mono,8,8,0.17661670391647932,5
mono,8,9,0.19288872423245595,5
mono,9,0,0.01369861623914365,5
mono,9,1,0.01626750534953169,5
mono,9,2,0.03711847357164801,5
mono,9,3,0.07904698324223723,5
mono,9,4,0.10236111273877875,5
mono,9,5,0.12205788185245162,5
mono,9,6,0.1419255392257401,5
mono,9,7,0.16368670394119497,5
mono,9,8,0.1894838473066538,5
mono,9,9,0.2166317735212475,5
