##culture:co#seed:166#rep:10#mu:(0.0003, 0.0003)#cycles:10#init_R:(1, 1000, 0)#init_n:(5, 5)#init_lag:(1, 1)#Ta:5#alpha:(3, 3)#mut_func:null#max_lag_change:(1.1, 1.1)
culture,rep,cycle,phase_end,species,genotype,ngrow,nlag,lag,M,L,A
co,0,0,0,Escherichia coli,E0c0,0.0,5.0,1.0,1.0,1000.0,0.0
co,0,0,0,Salmonella enterica,S0c0,0.0,5.0,1.0,1.0,1000.0,0.0
co,0,0,1,Escherichia coli,E0c0,0.024024084880407838,7.647607077410835e-07,1.0,280.0776427178398,748.7620062623178,305.2869311858218
co,0,0,1,Salmonella enterica,S0c0,1.0489056036809634,7.647607077410835e-07,1.0,280.0776427178398,748.7620062623178,305.2869311858218
co,0,0,2,Escherichia coli,E0c0,1000.0238148446284,3.2042142835091197e-18,1.0,688.7998553520052,-6.682009559452162e-37,-9.456358748041273e-27
co,0,0,2,Salmonella enterica,S0c0,506.04880009817947,3.2042142835091197e-18,1.0,688.7998553520052,-6.682009559452162e-37,-9.456358748041273e-27
co,0,1,1,Escherichia coli,E0c0,0.03513573746825374,7.647757296400046e-05,1.0,772.9928840097152,625.0146317521487,3.233282236048609
co,0,1,1,Salmonella enterica,S0c0,3.5102190864953937,3.8700462387354485e-05,1.0,772.9928840097152,625.0146317521487,3.233282236048609
co,0,1,2,Escherichia coli,E0c0,1000.035002207685,4.17720753173952e-15,1.0,688.7998553520728,-6.623875493326692e-36,-2.0099564143558956e-26
co,0,1,2,Salmonella enterica,S0c0,508.510150999832,2.113820518871841e-15,1.0,688.7998553520728,-6.623875493326692e-36,-2.0099564143558956e-26
co,0,2,1,Escherichia coli,E0c0,0.03513563323476861,7.647842369650467e-05,1.0,773.4040615379683,625.0132332801793,2.7073647244374337
co,0,2,1,Salmonella enterica,S0c0,3.598226612274722,3.888869359200912e-05,1.0,773.4040615379683,625.0132332801793,2.7073647244374337
co,0,2,2,Escherichia coli,E0c0,1000.0350021043,3.908446781641131e-15,1.0,688.7998553509337,2.7943820937573915e-35,-1.2538675453673122e-26
co,0,2,2,Salmonella enterica,S0c0,508.598158695058,1.98741530013535e-15,1.0,688.7998553509337,2.7943820937573915e-35,-1.2538675453673122e-26
co,0,3,1,Escherichia coli,E0c0,0.03513562478548838,7.647842372733441e-05,1.0,773.4185155102967,625.0132332888652,2.6888339825190424
co,0,3,1,Salmonella enterica,S0c0,3.6016977946075013,3.8895424065932875e-05,1.0,773.4185155102967,625.0132332888652,2.6888339825190424
co,0,3,2,Escherichia coli,E0c0,1000.0350020958518,5.3234802621327874e-15,1.0,688.7998553520556,-1.4602523625504193e-35,-6.110644337762074e-26
co,0,3,2,Salmonella enterica,S0c0,508.6016298837071,2.7074174955106026e-15,1.0,688.7998553520556,-1.4602523625504193e-35,-6.110644337762074e-26
co,0,4,1,Escherichia coli,E0c0,0.035135624452216005,7.647842372832856e-05,1.0,773.4190852144197,625.0132332897621,2.6881035922207603
co,0,4,1,Salmonella enterica,S0c0,3.6018352021172104,3.889568952851146e-05,1.0,773.4190852144197,625.0132332897621,2.6881035922207603
co,0,4,2,Escherichia coli,E0c0,1000.0350020955171,3.8362224102860846e-15,1.0,688.799855352047,-1.5276551189354387e-35,-1.1345566178334483e-26
co,0,4,2,Salmonella enterica,S0c0,508.6017672910674,1.9510406799351893e-15,1.0,688.799855352047,-1.5276551189354387e-35,-1.1345566178334483e-26
co,0,5,1,Escherichia coli,E0c0,0.03513562443902347,7.647842372870578e-05,1.0,773.4191077656459,625.0132332898022,2.6880746804336306
