seed,met,lac,fracratio
1,250,250,0.27893668708533276
1,250,500,1.4721999547266358
1,250,750,0.5645847119413567
1,250,1000,0.6721830225748873
1,250,1250,2.1528323482480074
1,250,1500,1.2868438446214907
1,250,1750,0.7950808352896347
1,250,2000,1.0394219370056692
2,500,250,0.45277113443058864
2,500,500,3.5765785802841776
2,500,750,11.507159368252522
2,500,1000,1.2378692772122422
2,500,1250,0.9779537308862948
2,500,1500,1.8967366459283592
2,500,1750,1.393023992703411
2,500,2000,1.39270143054011
3,750,250,75.1432719266907
3,750,500,2.052911424149548
3,750,750,0.7531787463558194
3,750,1000,0.8479815897239507
3,750,1250,1.1348468732732313
3,750,1500,1.1410675066391958
3,750,1750,1.3730114113827383
3,750,2000,1.1885139738376915
4,1000,250,1.5278778388070593
4,1000,500,2.3962146225826007
4,1000,750,2.1385166063472005
4,1000,1000,1.2506689597677918
4,1000,1250,0.914914598970598
4,1000,1500,1.113118676978603
4,1000,1750,1.0873288149374118
4,1000,2000,1.580136610712445
5,1250,250,1.5302850961494643
5,1250,500,1.169426972233704
5,1250,750,4.725627256838628
5,1250,1000,0.8685861541409533
5,1250,1250,1.8702656776182325
5,1250,1500,1.442454718449299
5,1250,1750,1.6033408284158202
5,1250,2000,1.2764337301567488
6,1500,250,3.7540829212771687
6,1500,500,1.3930856370639142
6,1500,750,0.5650827720771061
6,1500,1000,4.519707313816821
6,1500,1250,0.7035341777881811
6,1500,1500,1.3540528241923846
6,1500,1750,1.3363727324494177
6,1500,2000,0.8473805452873339
7,1750,250,1.4996669079950173
7,1750,500,86.78378553416708
7,1750,750,2.049862027846631
7,1750,1000,1.1515604472775574
7,1750,1250,1.34581570864642
7,1750,1500,0.8408017682609614
7,1750,1750,1.0695085898664647
7,1750,2000,1.2361596661070047
8,2000,250,0.9744518134900917
8,2000,500,1.1329706047815977
8,2000,750,0.7611903477441863
8,2000,1000,1.2970277334670524
8,2000,1250,0.8914857219262684
8,2000,1500,1.02425878946268
8,2000,1750,2.079538181781049
8,2000,2000,0.9410519458609765
