##culture:co#seed:448#rep:10#mu:(0.01, 0.01)#cycles:10#init_R:(1, 1000, 0)#init_n:(5, 5)#init_lag:(1, 1)#Ta:5#alpha:(3, 3)#mut_func:null#max_lag_change:(1.1, 1.1)
culture,rep,cycle,phase_end,species,genotype,ngrow,nlag,lag,M,L,A
co,0,0,0,Escherichia coli,E0c0,0.0,5.0,1.0,1.0,1000.0,0.0
co,0,0,0,Salmonella enterica,S0c0,0.0,5.0,1.0,1.0,1000.0,0.0
co,0,0,1,Escherichia coli,E0c0,0.07413862500794409,0.033689731871209064,1.0,2.6532457880357097,997.5538892285242,0.03739997510976706
co,0,0,1,Salmonella enterica,S0c0,2.533163513879147,0.033689731871209064,1.0,2.6532457880357097,997.5538892285242,0.03739997510976706
co,0,0,2,Escherichia coli,E0c0,988.1076183344322,7.427828567349915e-12,1.0,688.7998553520202,-2.4808859444317145e-35,-2.0460834679835756e-26
co,0,0,2,Escherichia coli,E1c0,1.0,0.0,1.8896085209860982,688.7998553520202,-2.4808859444317145e-35,-2.0460834679835756e-26
co,0,0,2,Escherichia coli,E2c0,1.0,0.0,1.3199235592735543,688.7998553520202,-2.4808859444317145e-35,-2.0460834679835756e-26
co,0,0,2,Escherichia coli,E3c0,1.0,0.0,1.7206011116276667,688.7998553520202,-2.4808859444317145e-35,-2.0460834679835756e-26
co,0,0,2,Escherichia coli,E4c0,1.0,0.0,1.7736251025399088,688.7998553520202,-2.4808859444317145e-35,-2.0460834679835756e-26
co,0,0,2,Escherichia coli,E5c0,1.0,0.0,1.4063059391746817,688.7998553520202,-2.4808859444317145e-35,-2.0460834679835756e-26
co,0,0,2,Escherichia coli,E6c0,1.0,0.0,2.0378165479024,688.7998553520202,-2.4808859444317145e-35,-2.0460834679835756e-26
co,0,0,2,Escherichia coli,E7c0,1.0,0.0,1.6081559111799186,688.7998553520202,-2.4808859444317145e-35,-2.0460834679835756e-26
co,0,0,2,Escherichia coli,E8c0,1.0,0.0,1.9969608518055275,688.7998553520202,-2.4808859444317145e-35,-2.0460834679835756e-26
co,0,0,2,Escherichia coli,E9c0,1.0,0.0,1.6983102390327893,688.7998553520202,-2.4808859444317145e-35,-2.0460834679835756e-26
co,0,0,2,Escherichia coli,E10c0,1.0,0.0,1.4034922254573647,688.7998553520202,-2.4808859444317145e-35,-2.0460834679835756e-26
co,0,0,2,Escherichia coli,E11c0,1.0,0.0,1.9180412750073312,688.7998553520202,-2.4808859444317145e-35,-2.0460834679835756e-26
co,0,0,2,Escherichia coli,E12c0,1.0,0.0,1.3814054398688456,688.7998553520202,-2.4808859444317145e-35,-2.0460834679835756e-26
co,0,0,2,Salmonella enterica,S0c0,497.56674665688877,7.427828567349915e-12,1.0,688.7998553520202,-2.4808859444317145e-35,-2.0460834679835756e-26
co,0,0,2,Salmonella enterica,S1c0,1.0,0.0,1.5946110404083955,688.7998553520202,-2.4808859444317145e-35,-2.0460834679835756e-26
co,0,0,2,Salmonella enterica,S2c0,1.0,0.0,1.7423065784089573,688.7998553520202,-2.4808859444317145e-35,-2.0460834679835756e-26
co,0,0,2,Salmonella enterica,S3c0,1.0,0.0,1.003095756261112,688.7998553520202,-2.4808859444317145e-35,-2.0460834679835756e-26
co,0,0,2,Salmonella enterica,S4c0,1.0,0.0,1.4494708613417713,688.7998553520202,-2.4808859444317145e-35,-2.0460834679835756e-26
co,0,0,2,Salmonella enterica,S5c0,1.0,0.0,1.7571299357624777,688.7998553520202,-2.4808859444317145e-35,-2.0460834679835756e-26
