##culture:co#seed:4#rep:5#mu:(0.0003, 0.0003)#cycles:10#init_R:(1, 1500, 0)#init_n:(5, 5)#init_lag:(1, 1)#Ta:5#alpha:(3, 3)#mut_func:null#max_lag_change:(1.1, 1.1)
seed,culture,rep,cycle,phase_end,species,genotype,nlag,ngrow,ntot,lag,Ta,M,L,A
4,co,0,0,0,Escherichia coli,E0c0,5.0,0.0,5.0,1.0,5,1.0,1500.0,0.0
4,co,0,0,0,Salmonella enterica,S0c0,5.0,0.0,5.0,1.0,5,1.0,1500.0,0.0
4,co,0,0,1,Escherichia coli,E0c0,0.03368973187071704,0.07407328249531485,0.10776301436603189,1.0,5,2.653281023637685,1497.5538440572675,0.03738361060757534
4,co,0,0,1,Salmonella enterica,S0c0,0.03368973187071704,2.533114151408323,2.5668038832790403,1.0,5,2.653281023637685,1497.5538440572675,0.03738361060757534
4,co,0,0,2,Escherichia coli,E0c0,6.995376851615117e-12,1499.1074479919473,1499.1074479919544,1.0,5,516.3498915661565,5.010104419744393e-36,-5.042906382254367e-27
4,co,0,0,2,Escherichia coli,E1c0,6.995376851615117e-12,760.0666442692055,760.0666442692126,1.8616806090993703,5,516.3498915661565,5.010104419744393e-36,-5.042906382254367e-27
4,co,0,0,2,Salmonella enterica,S0c0,1.0,0.0,1.0,1.0,5,516.3498915661565,5.010104419744393e-36,-5.042906382254367e-27
4,co,0,1,1,Escherichia coli,E0c0,5.050453241187991,5.0471396120135195,10.097592853201512,1.0,5,463.5222833357981,957.982592107827,546.9578751953163
4,co,0,1,1,Escherichia coli,E1c0,25.90701054816571,9.54768072406309,35.4546912722288,1.8616806090993703,5,463.5222833357981,957.982592107827,546.9578751953163
4,co,0,1,1,Salmonella enterica,S0c0,0.0033689734834904837,0.0169621157223698,0.020331089205860284,1.0,5,463.5222833357981,957.982592107827,546.9578751953163
4,co,0,1,2,Escherichia coli,E0c0,2.430496873292029e-14,369.71025401836096,369.71025401836096,1.0,5,516.3498915665125,5.80420359445856e-37,-1.1139665141472629e-23
4,co,0,1,2,Escherichia coli,E1c0,7.088293837546401e-09,1174.8417058004454,1174.8417058075338,1.8616806090993703,5,516.3498915665125,5.80420359445856e-37,-1.1139665141472629e-23
