##culture:co#seed:685#rep:10#mu:(0.01, 0.01)#cycles:10#init_R:(1, 1000, 0)#init_n:(5, 5)#init_lag:(1, 1)#Ta:5#alpha:(3, 3)#mut_func:null#max_lag_change:(1.1, 1.1)
culture,rep,cycle,phase_end,species,genotype,ngrow,nlag,lag,M,L,A
co,0,0,0,Escherichia coli,E0c0,0.0,5.0,1.0,1.0,1000.0,0.0
co,0,0,0,Salmonella enterica,S0c0,0.0,5.0,1.0,1.0,1000.0,0.0
co,0,0,1,Escherichia coli,E0c0,0.023599832942113777,1.875882501887579e-09,1.0,516.9709809230213,748.7618012924081,1.577690725724557
co,0,0,1,Salmonella enterica,S0c0,2.8271085166808136,1.875882501887579e-09,1.0,516.9709809230213,748.7618012924081,1.577690725724557
co,0,0,2,Escherichia coli,E0c0,988.0233898298995,3.7619186010401443e-20,1.0,688.799855352026,2.9058018001281683e-35,-2.543364982363336e-26
co,0,0,2,Escherichia coli,E1c0,1.0,0.0,1.1448682368452978,688.799855352026,2.9058018001281683e-35,-2.543364982363336e-26
co,0,0,2,Escherichia coli,E2c0,1.0,0.0,1.9495387711156371,688.799855352026,2.9058018001281683e-35,-2.543364982363336e-26
co,0,0,2,Escherichia coli,E3c0,1.0,0.0,2.046374676936901,688.799855352026,2.9058018001281683e-35,-2.543364982363336e-26
co,0,0,2,Escherichia coli,E4c0,1.0,0.0,1.7851580380373484,688.799855352026,2.9058018001281683e-35,-2.543364982363336e-26
co,0,0,2,Escherichia coli,E5c0,1.0,0.0,2.0924916704538434,688.799855352026,2.9058018001281683e-35,-2.543364982363336e-26
co,0,0,2,Escherichia coli,E6c0,1.0,0.0,1.0270018349830292,688.799855352026,2.9058018001281683e-35,-2.543364982363336e-26
co,0,0,2,Escherichia coli,E7c0,1.0,0.0,1.5391388644084962,688.799855352026,2.9058018001281683e-35,-2.543364982363336e-26
co,0,0,2,Escherichia coli,E8c0,1.0,0.0,1.3259062146027785,688.799855352026,2.9058018001281683e-35,-2.543364982363336e-26
co,0,0,2,Escherichia coli,E9c0,1.0,0.0,1.6604884143024512,688.799855352026,2.9058018001281683e-35,-2.543364982363336e-26
co,0,0,2,Escherichia coli,E10c0,1.0,0.0,1.2828865137928183,688.799855352026,2.9058018001281683e-35,-2.543364982363336e-26
co,0,0,2,Escherichia coli,E11c0,1.0,0.0,2.059093366580158,688.799855352026,2.9058018001281683e-35,-2.543364982363336e-26
co,0,0,2,Escherichia coli,E12c0,1.0,0.0,1.2497058807395145,688.799855352026,2.9058018001281683e-35,-2.543364982363336e-26
co,0,0,2,Salmonella enterica,S0c0,506.82700187488376,3.7619186010401443e-20,1.0,688.799855352026,2.9058018001281683e-35,-2.543364982363336e-26
co,0,0,2,Salmonella enterica,S1c0,1.0,0.0,1.3580637659834414,688.799855352026,2.9058018001281683e-35,-2.543364982363336e-26
co,0,1,1,Escherichia coli,E0c0,0.034709617897779134,1.873393593257051e-07,1.0,773.2913511809361,625.0146449113172,2.8506005436835355
co,0,1,1,Escherichia coli,E1c0,3.316430943024618e-05,2.7029707409865227e-09,1.1448682368452978,773.2913511809361,625.0146449113172,2.8506005436835355
co,0,1,1,Escherichia coli,E2c0,2.808579757304749e-05,5.2458703303968305e-06,1.9495387711156371,773.2913511809361,625.0146449113172,2.8506005436835355
co,0,1,1,Escherichia coli,E3c0,2.8556415140733644e-05,8.733519728350249e-06,2.046374676936901,773.2913511809361,625.0146449113172,2.8506005436835355
