##culture:mono#seed:166#rep:5#mu:(0.0003, 0)#cycles:10#init_R:(1000, 1000, 0)#init_n:(10, 0)#init_lag:(1, 0)#Ta:5#alpha:(3, 0)#mut_func:null#max_lag_change:(1.1, 0)
culture,rep,cycle,phase_end,species,genotype,ngrow,nlag,lag,M,L,A
mono,0,0,0,Escherichia coli,E0c0,0.0,10.0,1.0,1000.0,1000.0,0.0
mono,0,0,1,Escherichia coli,E0c0,0.0335491405583796,0.03368973359105488,1.0,1499.7533244487151,1497.53358198716,2.491044317969471
mono,0,0,2,Escherichia coli,E0c0,1000.067028860232,-5.835090719291707e-12,1.0,899.9998110000267,-3.2982520488914794e-29,1009.9997879000288
mono,0,1,1,Escherichia coli,E0c0,1.6774821177098573,1.6845996514425372,1.0,1712.6671761031516,1376.6726272814267,377.0605492332673
mono,0,1,2,Escherichia coli,E0c0,1003.3618710716673,-1.0725032190542935e-10,1.0,899.9998110000201,6.803316316145451e-28,1009.9997879000229
mono,0,2,1,Escherichia coli,E0c0,1.6830094951020236,1.6901497694567489,1.0,1712.6265444511025,1376.2663107609644,377.47092891893334
mono,0,2,2,Escherichia coli,E0c0,1002.3729485647818,-1.1408895541206014e-10,1.0,899.9998110000205,6.896550851446669e-28,1009.9997879000232
mono,0,2,2,Escherichia coli,E1c2,1.0,0.0,1.751567386483348,899.9998110000205,6.896550851446669e-28,1009.9997879000232
mono,0,3,1,Escherichia coli,E0c0,1.6813506849733966,1.6884839426068987,1.0,1712.6272473308393,1376.2733395583232,377.463829833601
mono,0,3,1,Escherichia coli,E1c2,0.005756694340650874,0.014394911398603466,1.751567386483348,1712.6272473308393,1376.2733395583232,377.463829833601
mono,0,3,2,Escherichia coli,E0c0,999.0417178068959,7.537751572299516e-11,1.0,899.999811000021,-7.194035702104212e-29,1009.9997879000216
mono,0,3,2,Escherichia coli,E1c2,4.34805772316471,-1.2340215747699877e-10,1.751567386483348,899.999811000021,-7.194035702104212e-29,1009.9997879000216
mono,0,4,1,Escherichia coli,E0c0,1.675762903468072,1.6828725285668331,1.0,1712.629850470787,1376.2993709578,377.4375381201281
mono,0,4,1,Escherichia coli,E1c2,0.025030438562505888,0.06258990567919769,1.751567386483348,1712.629850470787,1376.2993709578,377.4375381201281
mono,0,4,2,Escherichia coli,E0c0,984.7487557682689,-3.0640091408556857e-10,1.0,899.9998110000204,-9.804089582038347e-28,1009.9997879000219
mono,0,4,2,Escherichia coli,E1c2,18.6972892925404,1.0448665199748609e-09,1.751567386483348,899.9998110000204,-9.804089582038347e-28,1009.9997879000219
mono,0,5,1,Escherichia coli,E0c0,1.6517879987017212,1.65879622353669,1.0,1712.6412025426448,1376.4128916763875,377.3228821943552
mono,0,5,1,Escherichia coli,E1c2,0.10763456283485583,0.2691458227753313,1.751567386483348,1712.6412025426448,1376.4128916763875,377.3228821943552
mono,0,5,2,Escherichia coli,E0c0,926.90958591154,-4.895688195770584e-13,1.0,899.9998110000215,-1.795198362479352e-20,1009.9997879000231
mono,0,5,2,Escherichia coli,E1c2,76.7775679320646,5.720340653292816e-10,1.751567386483348,899.9998110000215,-1.795198362479352e-20,1009.9997879000231
mono,0,6,1,Escherichia coli,E0c0,1.5547691158265853,1.5613669088404905,1.0,1712.6869868006988,1376.8707342569296,376.86046118800977
mono,0,6,1,Escherichia coli,E1c2,0.4419846986481127,1.1052062877924498,1.751567386483348,1712.6869868006988,1376.8707342569296,376.86046118800977
