##culture:mono#seed:1#rep:5#mu:(0.0003, 0)#cycles:10#init_R:(250, 1000, 0)#init_n:(10, 0)#init_lag:(1, 0)#Ta:5#alpha:(3, 0)#mut_func:null#max_lag_change:(1.1, 0)
seed,culture,rep,cycle,phase_end,species,genotype,nlag,ngrow,ntot,lag,Ta,M,L,A
1,mono,0,0,0,Escherichia coli,E0c0,10.0,0.0,10.0,1.0,5,250.0,1000.0,0.0
1,mono,0,0,1,Escherichia coli,E0c0,0.06737946805481826,0.06757683023985472,0.13495629829467298,1.0,5,249.50674157493177,995.0674532493155,4.981846968191059
1,mono,0,0,2,Escherichia coli,E0c0,0.0,1000.1347462706532,1000.1347462706532,1.0,5,74.99998425000169,7.808317929640247e-29,504.99989395001063
1,mono,0,1,1,Escherichia coli,E0c0,3.3694274417876824,3.376804675040336,6.746232116828018,1.0,5,300.33391957498725,753.3394094998465,754.1270524801693
1,mono,0,1,2,Escherichia coli,E0c0,0.0,1006.7460207170305,1006.7460207170305,1.0,5,74.99998425000156,1.714086058049255e-21,504.9998939500106
1,mono,0,2,1,Escherichia coli,E0c0,3.3917006502788687,3.399155796124496,6.790856446403365,1.0,5,300.1708689336175,751.7089030861546,755.7738639579986
1,mono,0,2,2,Escherichia coli,E0c0,0.0,1006.7906450387883,1006.7906450387883,1.0,5,74.99998425000146,-1.0462695772215185e-17,504.99989395001137
1,mono,0,3,1,Escherichia coli,E0c0,3.391850988435374,3.3993066617739496,6.791157650209323,1.0,5,300.16976838578614,751.6978976078409,755.7849794910956
1,mono,0,3,2,Escherichia coli,E0c0,0.0,1005.790946242586,1005.790946242586,1.0,5,74.99998425000169,-1.0670759027634808e-17,504.9998939500116
1,mono,0,3,2,Escherichia coli,E1c3,1.0,0.0,1.0,1.733381245202057,5,74.99998425000169,-1.0670759027634808e-17,504.9998939500116
1,mono,0,4,1,Escherichia coli,E0c0,3.388483029502285,3.395930840992489,6.784413870494774,1.0,5,300.17139024437733,751.7141161937512,755.7685987193261
1,mono,0,4,1,Escherichia coli,E1c3,0.027940365810984222,0.011391189223920375,0.0393315550349046,1.733381245202057,5,300.17139024437733,751.7141161937512,755.7685987193261
1,mono,0,4,2,Escherichia coli,E0c0,2.2141062824954621e-10,1002.5629606913192,1002.5629606915406,1.0,5,74.99998425000153,-3.000500825346694e-22,504.9998939500113
1,mono,0,4,2,Escherichia coli,E1c3,0.0,4.260573318414038,4.260573318414038,1.733381245202057,5,74.99998425000153,-3.000500825346694e-22,504.9998939500113
1,mono,0,5,1,Escherichia coli,E0c0,3.377608031971329,3.38503058268707,6.7626386146584,1.0,5,300.1758989574595,751.7592033245747,755.7230607171937
1,mono,0,5,1,Escherichia coli,E1c3,0.11904197708060926,0.04853298404294538,0.16757496112355463,1.733381245202057,5,300.1758989574595,751.7592033245747,755.7230607171937
1,mono,0,5,2,Escherichia coli,E0c0,1.2415679519272404e-10,988.9659936246292,988.9659936247533,1.0,5,74.99998425000169,1.9524017385375412e-26,504.9998939500107
1,mono,0,5,2,Escherichia coli,E1c3,6.5010294712796084e-09,17.964008507121513,17.96400851362254,1.733381245202057,5,74.99998425000169,1.9524017385375412e-26,504.9998939500107
1,mono,0,6,1,Escherichia coli,E0c0,3.3318002102640434,3.3391163432077176,6.670916553471761,1.0,5,300.1956000071961,751.9562138219397,755.524080114855
1,mono,0,6,1,Escherichia coli,E1c3,0.501920969302293,0.20463113292043036,0.7065521022227234,1.733381245202057,5,300.1956000071961,751.9562138219397,755.524080114855
1,mono,0,6,2,Escherichia coli,E0c0,0.0,934.798216008293,934.798216008293,1.0,5,74.99998425000167,2.888100214710598e-19,504.99989395001074
1,mono,0,6,2,Escherichia coli,E1c3,1.6639284772167346e-09,72.57904111753992,72.57904111920385,1.733381245202057,5,74.99998425000167,2.888100214710598e-19,504.99989395001074
1,mono,0,7,1,Escherichia coli,E0c0,3.1493104037648796,3.1562042725791133,6.305514676343993,1.0,5,300.27355301223713,752.7357438723551,754.7367547639359
1,mono,0,7,1,Escherichia coli,E1c3,2.027884959081536,0.8267566990089216,2.8546416580904577,1.733381245202057,5,300.27355301223713,752.7357438723551,754.7367547639359
1,mono,0,7,2,Escherichia coli,E0c0,1.7323858513907686e-14,757.6920742681306,757.6920742681306,1.0,5,74.99998425000166,4.807563975950715e-21,504.9998939500111
1,mono,0,7,2,Escherichia coli,E1c3,1.603722055598109e-10,251.46787017585635,251.46787017601673,1.733381245202057,5,74.99998425000166,4.807563975950715e-21,504.9998939500111
1,mono,0,8,1,Escherichia coli,E0c0,2.552644508292185,2.558176431899602,5.110820940191787,1.0,5,300.5210472538021,755.2106862879987,752.2370629241362
1,mono,0,8,1,Escherichia coli,E1c3,7.026104282432302,2.864459871244602,9.890564153676904,1.733381245202057,5,300.5210472538021,755.2106862879987,752.2370629241362
1,mono,0,8,2,Escherichia coli,E0c0,0.0,419.59661527858094,419.59661527858094,1.0,5,74.99998425000172,6.853118270731023e-25,504.9998939500101
1,mono,0,8,2,Escherichia coli,E1c3,9.61374842874915e-10,594.4045567377143,594.4045567386756,1.733381245202057,5,74.99998425000172,6.853118270731023e-25,504.9998939500101
1,mono,0,8,2,Escherichia coli,E2c8,1.0,0.0,1.0,2.4435157406841723,5,74.99998425000172,6.853118270731023e-25,504.9998939500101
1,mono,0,9,1,Escherichia coli,E0c0,1.4136098718974128,1.416618762405197,2.8302286343026095,1.0,5,300.93945222209425,759.3947359709223,748.0111727443826
1,mono,0,9,1,Escherichia coli,E1c3,16.607880755106745,6.7706663185602585,23.378547073667004,1.733381245202057,5,300.93945222209425,759.3947359709223,748.0111727443826
1,mono,0,9,1,Escherichia coli,E2c8,0.06461044853790879,0.016712585576677277,0.08132303411458607,2.4435157406841723,5,300.93945222209425,759.3947359709223,748.0111727443826
1,mono,0,9,2,Escherichia coli,E0c0,0.0,145.0244412326246,145.0244412326246,1.0,5,74.9999842500017,5.4083231067390656e-17,504.99989395001154
1,mono,0,9,2,Escherichia coli,E1c3,5.174465630764846e-09,878.832091263255,878.8320912684295,1.733381245202057,5,74.9999842500017,5.4083231067390656e-17,504.99989395001154
1,mono,0,9,2,Escherichia coli,E2c8,2.824549575231094e-09,2.433350869105586,2.4333508719301356,2.4435157406841723,5,74.9999842500017,5.4083231067390656e-17,504.99989395001154
1,mono,1,0,0,Escherichia coli,E0c0,10.0,0.0,10.0,1.0,5,250.0,1000.0,0.0
1,mono,1,0,1,Escherichia coli,E0c0,0.06737946805481826,0.06757683023985472,0.13495629829467298,1.0,5,249.50674157493177,995.0674532493155,4.981846968191059
1,mono,1,0,2,Escherichia coli,E0c0,0.0,999.1347462706532,999.1347462706532,1.0,5,74.99998425000169,7.808317929640247e-29,504.99989395001063
1,mono,1,0,2,Escherichia coli,E1c0,1.0,0.0,1.0,2.023099155765088,5,74.99998425000169,7.808317929640247e-29,504.99989395001063
1,mono,1,1,1,Escherichia coli,E0c0,3.366058468297404,3.373427676122873,6.739486144420278,1.0,5,300.3363908876995,753.3641226269709,754.1020922217735
1,mono,1,1,1,Escherichia coli,E1c0,0.04223090794917985,0.013941320850222871,0.05617222879940272,2.023099155765088,5,300.3363908876995,753.3641226269709,754.1020922217735
1,mono,1,1,2,Escherichia coli,E0c0,0.0,1001.2619836490163,1001.2619836490163,1.0,5,74.99998425000163,-1.507175564548503e-20,504.99989395001137
1,mono,1,1,2,Escherichia coli,E1c0,2.1876485920822648e-09,5.5334633130773785,5.533463315265027,2.023099155765088,5,74.99998425000163,-1.507175564548503e-20,504.99989395001137
1,mono,1,2,1,Escherichia coli,E0c0,3.3732250746268937,3.3806362187373122,6.753861293364206,1.0,5,300.1833248888047,751.8334626380258,755.64805881061
1,mono,1,2,1,Escherichia coli,E1c0,0.23368317990712337,0.07714421189178958,0.31082739179891294,2.023099155765088,5,300.1833248888047,751.8334626380258,755.64805881061
1,mono,1,2,2,Escherichia coli,E0c0,0.0,976.2429096901564,976.2429096901564,1.0,5,74.99998425000156,3.2886151009887997e-25,504.9998939500117
1,mono,1,2,2,Escherichia coli,E1c0,8.026082944802574e-10,29.821567529912603,29.82156753071521,2.023099155765088,5,74.99998425000156,3.2886151009887997e-25,504.9998939500117
1,mono,1,2,2,Escherichia coli,E2c2,1.0,0.0,1.0,1.793862659401731,5,74.99998425000156,3.2886151009887997e-25,504.9998939500117
