##culture:mono#seed:448#rep:10#mu:(0.01, 0)#cycles:10#init_R:(1000, 1000, 0)#init_n:(10, 0)#init_lag:(1, 0)#Ta:5#alpha:(3, 0)#mut_func:null#max_lag_change:(1.1, 0)
culture,rep,cycle,phase_end,species,genotype,ngrow,nlag,lag,M,L,A
mono,0,0,0,Escherichia coli,E0c0,0.0,10.0,1.0,1000.0,1000.0,0.0
mono,0,0,1,Escherichia coli,E0c0,0.0671853272472443,0.06737946805099602,1.0,999.5067032497818,995.0672574978179,4.982044677204266
mono,0,0,2,Escherichia coli,E0c0,993.1343547673422,5.783866679499471e-11,1.0,899.99981100002,-1.8303476508770076e-27,1009.9997879000219
mono,0,0,2,Escherichia coli,E1c0,1.0,0.0,1.3599894268660349,899.99981100002,-1.8303476508770076e-27,1009.9997879000219
mono,0,0,2,Escherichia coli,E2c0,1.0,0.0,1.2459016641893086,899.99981100002,-1.8303476508770076e-27,1009.9997879000219
mono,0,0,2,Escherichia coli,E3c0,1.0,0.0,1.39566095773107,899.99981100002,-1.8303476508770076e-27,1009.9997879000219
mono,0,0,2,Escherichia coli,E4c0,1.0,0.0,1.9735282950994952,899.99981100002,-1.8303476508770076e-27,1009.9997879000219
mono,0,0,2,Escherichia coli,E5c0,1.0,0.0,1.3027330899328797,899.99981100002,-1.8303476508770076e-27,1009.9997879000219
mono,0,0,2,Escherichia coli,E6c0,1.0,0.0,1.1021521252501447,899.99981100002,-1.8303476508770076e-27,1009.9997879000219
mono,0,0,2,Escherichia coli,E7c0,1.0,0.0,1.3713336499055313,899.99981100002,-1.8303476508770076e-27,1009.9997879000219
mono,0,1,1,Escherichia coli,E0c0,3.336246081552409,3.3458433069156395,1.0,1425.338505809897,753.3863405988449,754.0796520701804
mono,0,1,1,Escherichia coli,E1c0,0.007368060493260297,0.012655715446882312,1.3599894268660349,1425.338505809897,753.3863405988449,754.0796520701804
mono,0,1,1,Escherichia coli,E2c0,0.006063371425099273,0.009038111815226887,1.2459016641893086,1425.338505809897,753.3863405988449,754.0796520701804
mono,0,1,1,Escherichia coli,E3c0,0.007772547166950911,0.01390260354713289,1.39566095773107,1425.338505809897,753.3863405988449,754.0796520701804
mono,0,1,1,Escherichia coli,E4c0,0.01349593109151215,0.03968902190437972,1.9735282950994952,1425.338505809897,753.3863405988449,754.0796520701804
mono,0,1,1,Escherichia coli,E5c0,0.006714223328481292,0.010767403244608715,1.3027330899328797,1425.338505809897,753.3863405988449,754.0796520701804
mono,0,1,1,Escherichia coli,E6c0,0.0044436668715671255,0.005354992293985162,1.1021521252501447,1425.338505809897,753.3863405988449,754.0796520701804
mono,0,1,1,Escherichia coli,E7c0,0.007496999570751412,0.01304653270991912,1.3713336499055313,1425.338505809897,753.3863405988449,754.0796520701804
mono,0,1,2,Escherichia coli,E0c0,979.1684418423744,-7.278905762730786e-14,1.0,899.999811000021,-4.5837271853639743e-29,1009.9997879000229
