##culture:co#seed:3#rep:5#mu:(0.0003, 0.0003)#cycles:10#init_R:(1, 250, 0)#init_n:(5, 5)#init_lag:(1, 1)#Ta:5#alpha:(3, 3)#mut_func:null#max_lag_change:(1.1, 1.1)
##init_pop:1000#duration:5
seed,culture,rep,cycle,frac,duration
3,co,0,0,0.01344007540242016,5
3,co,0,1,0.013440073437563847,5
3,co,0,2,0.013440073064685846,5
3,co,0,3,0.013440072999349555,5
3,co,0,4,0.013440072987841648,5
3,co,0,5,0.01344007298581209,5
3,co,0,6,0.013440072993818827,5
3,co,0,7,0.03893134886132071,5
3,co,0,8,0.0683501547456826,5
3,co,0,9,0.0832257633145081,5
3,co,1,0,0.01344007540242016,5
3,co,1,1,0.013440073437563847,5
3,co,1,2,0.013440073064685846,5
3,co,1,3,0.013440072999349555,5
3,co,1,4,0.013440072987841648,5
3,co,1,5,0.01344007298581209,5
3,co,1,6,0.013440072986490354,5
3,co,1,7,0.013440072985391118,5
3,co,1,8,0.013440072985379145,5
3,co,1,9,0.013440072985377333,5
3,co,2,0,0.013440075732268797,5
3,co,2,1,0.013440074091983277,5
3,co,2,2,0.03617941367284784,5
3,co,2,3,0.061950118466830295,5
3,co,2,4,0.07624944113191864,5
3,co,2,5,0.08048396315566889,5
3,co,2,6,0.08147213076997796,5
3,co,2,7,0.08168919080132545,5
3,co,2,8,0.08173623944833677,5
3,co,2,9,0.0828241158601279,5
3,co,3,0,0.01344007540242016,5
3,co,3,1,0.013440073437563847,5
3,co,3,2,0.013440073064685846,5
3,co,3,3,0.026487224977654048,5
3,co,3,4,0.0377222375039715,5
3,co,3,5,0.0459693744196645,5
3,co,3,6,0.04977238643059126,5
3,co,3,7,0.0511353577540367,5
3,co,3,8,0.051578399259082953,5
3,co,3,9,0.051717770033177485,5
3,co,4,0,0.01344007540242016,5
3,co,4,1,0.013440073437563847,5
3,co,4,2,0.013440073064685846,5
3,co,4,3,0.013440072999349555,5
3,co,4,4,0.013440072987841648,5
3,co,4,5,0.01344007298581209,5
3,co,4,6,0.013440072986490354,5
3,co,4,7,0.013440072985391118,5
3,co,4,8,0.013440072985379145,5
3,co,4,9,0.013440072985377333,5
