##culture:mono#seed:1#rep:5#mu:(0.0003, 0)#cycles:10#init_R:(250, 2000, 0)#init_n:(10, 0)#init_lag:(1, 0)#Ta:5#alpha:(3, 0)#mut_func:null#max_lag_change:(1.1, 0)
##init_pop:1000#duration:5
seed,culture,rep,cycle,frac,duration
1,mono,0,0,0.013480262590512325,5
1,mono,0,1,0.013630059190398431,5
1,mono,0,2,0.014411546607113097,5
1,mono,0,3,0.01791933248849849,5
1,mono,0,4,0.0313374009970673,5
1,mono,0,5,0.06031884335602272,5
1,mono,0,6,0.08400592417490094,5
1,mono,0,7,0.09253288541770664,5
1,mono,0,8,0.09497213895257521,5
1,mono,0,9,0.09602424766975784,5
1,mono,1,0,0.013462323037364471,5
1,mono,1,1,0.013533786752013329,5
1,mono,1,2,0.013748509760900939,5
1,mono,1,3,0.014447727830465537,5
1,mono,1,4,0.016618315461706598,5
1,mono,1,5,0.022466825696895024,5
1,mono,1,6,0.033643694689727305,5
1,mono,1,7,0.045620369228051905,5
1,mono,1,8,0.05259659282189072,5
1,mono,1,9,0.05532572512250674,5
1,mono,2,0,0.013440843113687238,5
1,mono,2,1,0.013440843113687238,5
1,mono,2,2,0.013500946910176465,5
1,mono,2,3,0.013727923478811035,5
1,mono,2,4,0.014797210015705178,5
1,mono,2,5,0.019817200637653618,5
1,mono,2,6,0.03856261039781504,5
1,mono,2,7,0.07328682635332047,5
1,mono,2,8,0.09573118849666143,5
1,mono,2,9,0.1025133241970002,5
1,mono,3,0,0.013440843113687238,5
1,mono,3,1,0.01345352545731225,5
1,mono,3,2,0.013472125742183459,5
1,mono,3,3,0.0135179233540634,5
1,mono,3,4,0.013630270513693674,5
1,mono,3,5,0.013951086444304312,5
1,mono,3,6,0.01480225638331124,5
1,mono,3,7,0.017258001428109147,5
1,mono,3,8,0.024378491786920944,5
1,mono,3,9,0.04153316934385218,5
1,mono,4,0,0.013481315490011471,5
1,mono,4,1,0.013638284709696443,5
1,mono,4,2,0.01439685589713992,5
1,mono,4,3,0.01795348192969334,5
1,mono,4,4,0.03158372635271696,5
1,mono,4,5,0.06098909593022438,5
1,mono,4,6,0.08446110528897888,5
1,mono,4,7,0.09253970154708498,5
1,mono,4,8,0.09462057458022764,5
1,mono,4,9,0.09542431199846982,5
