seed,met,lac,mdkratio
1,250,250,1.6926228383309763
1,250,500,2.569838766070824
1,250,750,2.3685223113847407
1,250,1000,1.4977329642985584
1,250,1250,2.475946017212138
1,250,1500,1.02772058068422
1,250,1750,1.0461953815668146
1,250,2000,1.5377925635083378
2,500,250,0.8139576930450838
2,500,500,1.2669857770511095
2,500,750,0.634365132669917
2,500,1000,0.7096503653329372
2,500,1250,0.7813982374560983
2,500,1500,1.0260033163615903
2,500,1750,1.3439526746910941
2,500,2000,1.5241371788166205
3,750,250,1.5991521451084132
3,750,500,1.0934280386103858
3,750,750,1.7610525665659162
3,750,1000,3.2134153929714864
3,750,1250,1.2944911071750236
3,750,1500,1.2119761925902193
3,750,1750,2.046662433825261
3,750,2000,1.3812650016925565
4,1000,250,65.37825414525192
4,1000,500,0.5897545539072409
4,1000,750,1.099852047985867
4,1000,1000,2.4251781386159856
4,1000,1250,2.4723887709627914
4,1000,1500,2.517768499113724
4,1000,1750,0.9755967815002281
4,1000,2000,1.0453888475498847
5,1250,250,3.354790882061797
5,1250,500,1.3197969867366202
5,1250,750,2.1304441305326076
5,1250,1000,0.9333168254710225
5,1250,1250,1.3458846637362207
5,1250,1500,1.094601205958611
5,1250,1750,1.3904056698392857
5,1250,2000,1.9106795560552143
6,1500,250,20.613520397944622
6,1500,500,1.0974667784336531
6,1500,750,3.4594363052940738
6,1500,1000,2.5909812668411205
6,1500,1250,2.1199269853306717
6,1500,1500,1.539253935730162
6,1500,1750,1.127714290131101
6,1500,2000,1.8097097868737513
7,1750,250,0.12327403141811256
7,1750,500,0.4902107321996041
7,1750,750,0.7762063446556081
7,1750,1000,1.3885665151169908
7,1750,1250,2.0625933519573727
7,1750,1500,1.6755389210907952
7,1750,1750,1.9074635058194815
7,1750,2000,1.0132895486673934
8,2000,250,-1.0
8,2000,500,0.3364666833195279
8,2000,750,0.5496194333172126
8,2000,1000,1.6879081472599227
8,2000,1250,1.967242030690673
8,2000,1500,2.1289415462869323
8,2000,1750,1.0153765518718574
8,2000,2000,3.0882430527984988
