##culture:co#seed:2#rep:5#mu:(0.0003, 0.0003)#cycles:10#init_R:(1, 1000, 0)#init_n:(5, 5)#init_lag:(1, 1)#Ta:5#alpha:(3, 3)#mut_func:null#max_lag_change:(1.1, 1.1)
##init_pop:1000#duration:5
seed,culture,rep,cycle,frac,duration
2,co,0,0,0.018068679854667632,5
2,co,0,1,0.01978799046142057,5
2,co,0,2,0.020696113977730878,5
2,co,0,3,0.021536785537678627,5
2,co,0,4,0.03612881993730819,5
2,co,0,5,0.03939479644400349,5
2,co,0,6,0.04149511714461216,5
2,co,0,7,0.04283732228615815,5
2,co,0,8,0.04365753256306235,5
2,co,0,9,0.044148588069987164,5
2,co,1,0,0.013439517241457836,5
2,co,1,1,0.01343951649559396,5
2,co,1,2,0.013439516354227644,5
2,co,1,3,0.013439516826868971,5
2,co,1,4,0.06124741250172812,5
2,co,1,5,0.08515678879696041,5
2,co,1,6,0.09248783777124271,5
2,co,1,7,0.09413150426848067,5
2,co,1,8,0.09446910093662408,5
2,co,1,9,0.09465702717162781,5
2,co,2,0,0.013439517241457836,5
2,co,2,1,0.013439516440939183,5
2,co,2,2,0.04646791698355863,5
2,co,2,3,0.0613202545123345,5
2,co,2,4,0.07466808492476007,5
2,co,2,5,0.0768475550625314,5
2,co,2,6,0.0782219147715033,5
2,co,2,7,0.14085577608964772,5
2,co,2,8,0.16050671120911547,5
2,co,2,9,0.16000113956361134,5
2,co,3,0,0.06833409444713165,5
2,co,3,1,0.09635852818733576,5
2,co,3,2,0.10293085607534044,5
2,co,3,3,0.10426432148827236,5
2,co,3,4,0.10499120770378283,5
2,co,3,5,0.10952970565123786,5
2,co,3,6,0.10986731641141174,5
2,co,3,7,0.11020293269605964,5
2,co,3,8,0.12269817353829354,5
2,co,3,9,0.12349508781951225,5
2,co,4,0,0.013439517248192288,5
2,co,4,1,0.01343951645102073,5
2,co,4,2,0.013439516191122516,5
2,co,4,3,0.05570967145168817,5
2,co,4,4,0.08767405718515314,5
2,co,4,5,0.09388037906461805,5
2,co,4,6,0.09644340623825283,5
2,co,4,7,0.09822668198569127,5
2,co,4,8,0.09983841306981468,5
2,co,4,9,0.10137773412355583,5
