##culture:mono#seed:2#rep:5#mu:(0.0003, 0)#cycles:10#init_R:(500, 1000, 0)#init_n:(10, 0)#init_lag:(1, 0)#Ta:5#alpha:(3, 0)#mut_func:null#max_lag_change:(1.1, 0)
##init_pop:1000#duration:5
seed,culture,rep,cycle,frac,duration
2,mono,0,0,0.013440843113687238,5
2,mono,0,1,0.013548734695245217,5
2,mono,0,2,0.01398226052635951,5
2,mono,0,3,0.0159764611451788,5
2,mono,0,4,0.024701632798239708,5
2,mono,0,5,0.05066694530550261,5
2,mono,0,6,0.08253273945385113,5
2,mono,0,7,0.0969608009472776,5
2,mono,0,8,0.10082517333942537,5
2,mono,0,9,0.10192632373595792,5
2,mono,1,0,0.013442874309396374,5
2,mono,1,1,0.013443139632068944,5
2,mono,1,2,0.013473601469793033,5
2,mono,1,3,0.013525537594947762,5
2,mono,1,4,0.013665141822376664,5
2,mono,1,5,0.014037216982563576,5
2,mono,1,6,0.015060670559741779,5
2,mono,1,7,0.01753688250145211,5
2,mono,1,8,0.022707901097485876,5
2,mono,1,9,0.03060684625779707,5
2,mono,2,0,0.013440843113687238,5
2,mono,2,1,0.013440843113687238,5
2,mono,2,2,0.013440843113687238,5
2,mono,2,3,0.013536233772962787,5
2,mono,2,4,0.013898299772549251,5
2,mono,2,5,0.01569507129763037,5
2,mono,2,6,0.023839820542789308,5
2,mono,2,7,0.049223494896537774,5
2,mono,2,8,0.08188321459089064,5
2,mono,2,9,0.09672773937700506,5
2,mono,3,0,0.013440843113687238,5
2,mono,3,1,0.013526665515791896,5
2,mono,3,2,0.013868251370924465,5
2,mono,3,3,0.01555261400185433,5
2,mono,3,4,0.023132944221686456,5
2,mono,3,5,0.047061884354172155,5
2,mono,3,6,0.0790754313450392,5
2,mono,3,7,0.09441631774944144,5
2,mono,3,8,0.09870043506481266,5
2,mono,3,9,0.1000574093598396,5
2,mono,4,0,0.013440843113687238,5
2,mono,4,1,0.013440843113687238,5
2,mono,4,2,0.013440843113687238,5
2,mono,4,3,0.013517579564642654,5
2,mono,4,4,0.013784133889085327,5
2,mono,4,5,0.014870054216691164,5
2,mono,4,6,0.018971582711852848,5
2,mono,4,7,0.03177235958368814,5
2,mono,4,8,0.054620383072914995,5
2,mono,4,9,0.07255587810678742,5
