##culture:co#seed:8#rep:10#mu:(0.0005, 0.0005)#cycles:10#init_R:(1, 1000, 0)#init_n:(5, 5)#init_lag:(1, 1)#Ta:5#alpha:(3, 3)#mut_func:null#max_lag_change:(1.1, 1.1)
##init_pop:1000#duration:5
seed,culture,rep,cycle,frac,duration
8,co,0,0,0.015015857786706792,5
8,co,0,1,0.020560451236791333,5
8,co,0,2,0.03313815597423641,5
8,co,0,3,0.05557861152157555,5
8,co,0,4,0.07548221781323806,5
8,co,0,5,0.08303291381709968,5
8,co,0,6,0.08561561239631856,5
8,co,0,7,0.08681666811702343,5
8,co,0,8,0.08756065948426922,5
8,co,0,9,0.09167076949857554,5
8,co,1,0,0.013440082287643011,5
8,co,1,1,0.032772296593735394,5
8,co,1,2,0.08912075092877927,5
8,co,1,3,0.1373695536297098,5
8,co,1,4,0.16562321480629838,5
8,co,1,5,0.17923260971302135,5
8,co,1,6,0.18630330736642292,5
8,co,1,7,0.19203021402659162,5
8,co,1,8,0.20424299754286415,5
8,co,1,9,0.20998518148149142,5
8,co,2,0,0.013440082287643011,5
8,co,2,1,0.013440077114556137,5
8,co,2,2,0.013440076658925954,5
8,co,2,3,0.013440076613812139,5
8,co,2,4,0.03389727536377849,5
8,co,2,5,0.05656360202291263,5
8,co,2,6,0.07957140467838995,5
8,co,2,7,0.08479626129801389,5
8,co,2,8,0.08706336072260787,5
8,co,2,9,0.09395061308648417,5
8,co,3,0,0.025842215476012793,5
8,co,3,1,0.036776151538453705,5
8,co,3,2,0.0534114933528788,5
8,co,3,3,0.06827158295385236,5
8,co,3,4,0.0876429084829921,5
8,co,3,5,0.11042152423416048,5
8,co,3,6,0.13056787059523725,5
8,co,3,7,0.1732038200492722,5
8,co,3,8,0.18706372496913767,5
8,co,3,9,0.2143369158670026,5
8,co,4,0,0.043084640778190283,5
8,co,4,1,0.08125791690245603,5
8,co,4,2,0.09680881532064772,5
8,co,4,3,0.128748131796806,5
8,co,4,4,0.13313869125603262,5
8,co,4,5,0.1323718586615453,5
8,co,4,6,0.14207645199222252,5
8,co,4,7,0.14937192297251833,5
8,co,4,8,0.1703342168126276,5
8,co,4,9,0.2025264802450406,5
8,co,5,0,0.03236541247157323,5
8,co,5,1,0.07228073742424564,5
8,co,5,2,0.1166830035051436,5
8,co,5,3,0.13961340873832687,5
8,co,5,4,0.15796365838109144,5
8,co,5,5,0.18261231760361274,5
8,co,5,6,0.19253169473776238,5
8,co,5,7,0.20389914640314255,5
8,co,5,8,0.20987124791484466,5
8,co,5,9,0.24258097558037264,5
8,co,6,0,0.018781438682866657,5
8,co,6,1,0.0343951152817889,5
8,co,6,2,0.044618049397338225,5
8,co,6,3,0.07970631516577084,5
8,co,6,4,0.12990463334530708,5
8,co,6,5,0.1514980267433628,5
8,co,6,6,0.1615991339182423,5
8,co,6,7,0.16821178881913965,5
8,co,6,8,0.19214471643823933,5
8,co,6,9,0.20825733302291966,5
8,co,7,0,0.013440082394820257,5
8,co,7,1,0.013440077481448147,5
8,co,7,2,0.013440077678836164,5
8,co,7,3,0.02271291030955675,5
8,co,7,4,0.02976384707263172,5
8,co,7,5,0.049395794085083655,5
8,co,7,6,0.0725689453709383,5
8,co,7,7,0.10191595585863289,5
8,co,7,8,0.1276299267166745,5
8,co,7,9,0.1430353546971651,5
8,co,8,0,0.02964128082082521,5
8,co,8,1,0.04601875712788588,5
8,co,8,2,0.056011739974854785,5
8,co,8,3,0.06747880271056075,5
8,co,8,4,0.06980736096216894,5
8,co,8,5,0.11722347697924726,5
8,co,8,6,0.15175884482789828,5
8,co,8,7,0.17405530125342691,5
8,co,8,8,0.2329232373601987,5
8,co,8,9,0.2533708125584414,5
8,co,9,0,0.018518788595287466,5
8,co,9,1,0.02106429632307466,5
8,co,9,2,0.02346979581934067,5
8,co,9,3,0.025422658594595436,5
8,co,9,4,0.026770958335471218,5
8,co,9,5,0.04722290556544493,5
8,co,9,6,0.06717343845051747,5
8,co,9,7,0.08343072454037265,5
8,co,9,8,0.08903968151395494,5
8,co,9,9,0.0919766897648995,5
