##culture:mono#seed:3#rep:10#mu:(0.0005, 0)#cycles:10#init_R:(750, 1000, 0)#init_n:(10, 0)#init_lag:(1, 0)#Ta:5#alpha:(3, 0)#mut_func:null#max_lag_change:(1.1, 0)
##init_pop:1000#duration:5
seed,culture,rep,cycle,frac,duration
3,mono,0,0,0.013529991277602176,5
3,mono,0,1,0.013902269535607147,5
3,mono,0,2,0.01578484715561255,5
3,mono,0,3,0.024404614405782583,5
3,mono,0,4,0.05107482717103612,5
3,mono,0,5,0.08405183373891195,5
3,mono,0,6,0.09838208492561269,5
3,mono,0,7,0.10187086603730189,5
3,mono,0,8,0.1026919548110312,5
3,mono,0,9,0.10294108870458243,5
3,mono,1,0,0.013440843113687238,5
3,mono,1,1,0.013440843113687238,5
3,mono,1,2,0.013520582175928837,5
3,mono,1,3,0.013827631825046862,5
3,mono,1,4,0.015289784235806837,5
3,mono,1,5,0.021707523843283415,5
3,mono,1,6,0.042228335038610385,5
3,mono,1,7,0.07219098098632076,5
3,mono,1,8,0.08827380222490028,5
3,mono,1,9,0.09276730656908382,5
3,mono,2,0,0.013507613361829323,5
3,mono,2,1,0.013787095901080711,5
3,mono,2,2,0.01494261996950694,5
3,mono,2,3,0.019456140565674532,5
3,mono,2,4,0.03313962015879543,5
3,mono,2,5,0.05579625558911097,5
3,mono,2,6,0.0716605183098321,5
3,mono,2,7,0.07764559623933143,5
3,mono,2,8,0.07978887244762038,5
3,mono,2,9,0.08126262947828392,5
3,mono,3,0,0.013463575981137456,5
3,mono,3,1,0.013493610144236947,5
3,mono,3,2,0.013563111130077176,5
3,mono,3,3,0.013723015208242843,5
3,mono,3,4,0.014086077887181494,5
3,mono,3,5,0.014886214572026648,5
3,mono,3,6,0.016539411798004142,5
3,mono,3,7,0.01958461266952622,5
3,mono,3,8,0.0241017819795248,5
3,mono,3,9,0.02928018579980907,5
3,mono,4,0,0.013560394449307199,5
3,mono,4,1,0.01408139403000851,5
3,mono,4,2,0.016970600968885557,5
3,mono,4,3,0.03105753498113827,5
3,mono,4,4,0.07038119825377831,5
3,mono,4,5,0.10634624554234536,5
3,mono,4,6,0.11782327680322159,5
3,mono,4,7,0.12013012278211384,5
3,mono,4,8,0.12067230061903508,5
3,mono,4,9,0.12080227877726064,5
3,mono,5,0,0.013532053063233422,5
3,mono,5,1,0.013802096392011534,5
3,mono,5,2,0.014673600340733667,5
3,mono,5,3,0.017475262194406177,5
3,mono,5,4,0.02505255194985896,5
3,mono,5,5,0.038592625495109445,5
3,mono,5,6,0.05123094143899747,5
3,mono,5,7,0.05765504784428497,5
3,mono,5,8,0.06001917265358446,5
3,mono,5,9,0.060861822651215765,5
3,mono,6,0,0.013440843113687238,5
3,mono,6,1,0.013503644467197342,5
3,mono,6,2,0.013648394038603984,5
3,mono,6,3,0.014041922197365756,5
3,mono,6,4,0.015185072182957036,5
3,mono,6,5,0.01830588482420862,5
3,mono,6,6,0.02536506977772429,5
3,mono,6,7,0.03614819851619862,5
3,mono,6,8,0.04574583262222516,5
3,mono,6,9,0.05110369815327522,5
3,mono,7,0,0.01352267848751895,5
3,mono,7,1,0.013842520054561377,5
3,mono,7,2,0.015382741058130563,5
3,mono,7,3,0.02219440292683688,5
3,mono,7,4,0.043819323583750784,5
3,mono,7,5,0.07435852123526819,5
3,mono,7,6,0.08996171573432467,5
3,mono,7,7,0.09414997520152651,5
3,mono,7,8,0.09511345808690001,5
3,mono,7,9,0.0953583672839916,5
3,mono,8,0,0.013440843113687238,5
3,mono,8,1,0.013440843113687238,5
3,mono,8,2,0.013440843113687238,5
3,mono,8,3,0.013578239912978123,5
3,mono,8,4,0.01407714982333901,5
3,mono,8,5,0.016408359980121513,5
3,mono,8,6,0.026250032335057048,5
3,mono,8,7,0.053351092917072684,5
3,mono,8,8,0.08369030246332747,5
3,mono,8,9,0.09712923711638288,5
3,mono,9,0,0.013489623178421452,5
3,mono,9,1,0.013619557105462983,5
3,mono,9,2,0.014077685429669183,5
3,mono,9,3,0.015703079585945943,5
3,mono,9,4,0.020760527592422855,5
3,mono,9,5,0.032778650573101885,5
3,mono,9,6,0.04902333278248734,5
3,mono,9,7,0.06020748315991067,5
3,mono,9,8,0.06567526492330017,5
3,mono,9,9,0.06888344717486788,5
