##culture:co#seed:2#rep:10#mu:(0.0005, 0.0005)#cycles:10#init_R:(1, 1000, 0)#init_n:(5, 5)#init_lag:(1, 1)#Ta:5#alpha:(3, 3)#mut_func:null#max_lag_change:(1.1, 1.1)
seed,culture,rep,cycle,phase_end,species,genotype,nlag,ngrow,ntot,lag,Ta,M,L,A
2,co,0,0,0,Escherichia coli,E0c0,5.0,0.0,5.0,1.0,5,1.0,1000.0,0.0
2,co,0,0,0,Salmonella enterica,S0c0,5.0,0.0,5.0,1.0,5,1.0,1000.0,0.0
2,co,0,0,1,Escherichia coli,E0c0,0.033689734460983556,0.05239453212749701,0.08608426658848056,1.0,5,4.605316379695178,997.5430171833791,1.24722861710912
2,co,0,0,1,Salmonella enterica,S0c0,0.033689734460983556,0.029115054656042354,0.06280478911702592,1.0,5,4.605316379695178,997.5430171833791,1.24722861710912
2,co,0,0,2,Escherichia coli,E0c0,0.0,1000.0858742487546,1000.0858742487546,1.0,5,1526.0996795190463,3.7903481211946814e-28,4.352671315077704e-28
2,co,0,0,2,Salmonella enterica,S0c0,0.0,2020.0623805762018,2020.0623805762018,1.0,5,1526.0996795190463,3.7903481211946814e-28,4.352671315077704e-28
2,co,0,1,1,Escherichia coli,E0c0,3.3692630579865206,3.357939035746966,6.727202093733487,1.0,5,2277.7585421512517,753.3421124935317,0.6229388686050371
2,co,0,1,1,Salmonella enterica,S0c0,6.805537133315019,9.219623868418873,16.025161001733892,1.0,5,2277.7585421512517,753.3421124935317,0.6229388686050371
2,co,0,1,2,Escherichia coli,E0c0,0.0,1006.7269906980574,1006.7269906980574,1.0,5,1526.099679519034,1.5381959094981862e-25,1.518490489161814e-25
2,co,0,1,2,Salmonella enterica,S0c0,0.0,2035.0247334708592,2035.0247334708592,1.0,5,1526.099679519034,1.5381959094981862e-25,1.518490489161814e-25
2,co,0,1,2,Salmonella enterica,S1c1,1.0,0.0,1.0,1.77359606543493,5,1526.099679519034,1.5381959094981862e-25,1.518490489161814e-25
2,co,0,2,1,Escherichia coli,E0c0,3.3916365029540807,3.380248743419368,6.771885246373449,1.0,5,2283.0048249314127,751.7041749907864,0.543256858412024
2,co,0,2,1,Salmonella enterica,S0c0,6.855944296942261,10.168469700054384,17.024413996996646,1.0,5,2283.0048249314127,751.7041749907864,0.543256858412024
2,co,0,2,1,Salmonella enterica,S1c1,0.02982887549287906,0.01609886650799227,0.04592774200087133,1.77359606543493,5,2283.0048249314127,751.7041749907864,0.543256858412024
2,co,0,2,2,Escherichia coli,E0c0,4.478787557863221e-10,1006.7716738408101,1006.771673841258,1.0,5,1526.0996795190335,1.6156998728196312e-25,1.5908619766554145e-25
2,co,0,2,2,Salmonella enterica,S0c0,9.053540040038893e-10,2031.8146739799035,2031.814673980809,1.0,5,1526.0996795190335,1.6156998728196312e-25,1.5908619766554145e-25
2,co,0,2,2,Salmonella enterica,S1c1,0.0,4.255240008504953,4.255240008504953,1.77359606543493,5,1526.0996795190335,1.6156998728196312e-25,1.5908619766554145e-25
2,co,0,2,2,Salmonella enterica,S2c2,1.0,0.0,1.0,1.0179030397553936,5,1526.0996795190335,1.6156998728196312e-25,1.5908619766554145e-25
2,co,0,3,1,Escherichia coli,E0c0,3.3917869239595935,3.380398701121852,6.772185625081446,1.0,5,2283.106962511594,751.6931543945647,0.5212980324540883
2,co,0,3,1,Salmonella enterica,S0c0,6.8451294590196765,10.40953774072495,17.254667199744627,1.0,5,2283.106962511594,751.6931543945647,0.5212980324540883
2,co,0,3,1,Salmonella enterica,S1c1,0.126929024173643,0.06991698681358091,0.1968460109872239,1.77359606543493,5,2283.106962511594,751.6931543945647,0.5212980324540883
2,co,0,3,1,Salmonella enterica,S2c2,0.0036786610666372996,0.005381608919921955,0.009060269986559254,1.0179030397553936,5,2283.106962511594,751.6931543945647,0.5212980324540883
2,co,0,3,2,Escherichia coli,E0c0,0.0,1005.7719742202148,1005.7719742202148,1.0,5,1526.0996795190333,5.528874030342431e-26,5.451661984502216e-26
2,co,0,3,2,Escherichia coli,E1c3,0.0,2018.4952617803453,2018.4952617803453,1.1796620406897205,5,1526.0996795190333,5.528874030342431e-26,5.451661984502216e-26
2,co,0,3,2,Salmonella enterica,S0c0,2.033069800240021e-09,17.911400263157645,17.911400265190714,1.0,5,1526.0996795190333,5.528874030342431e-26,5.451661984502216e-26
2,co,0,3,2,Salmonella enterica,S1c1,0.0,1.0534836045025278,1.0534836045025278,1.77359606543493,5,1526.0996795190333,5.528874030342431e-26,5.451661984502216e-26
2,co,0,3,2,Salmonella enterica,S2c2,1.0,0.0,1.0,1.0179030397553936,5,1526.0996795190333,5.528874030342431e-26,5.451661984502216e-26
2,co,0,4,1,Escherichia coli,E0c0,3.3884191104822774,3.3928111808108743,6.781230291293152,1.0,5,1460.7891521238685,259.983331360233,744.9516898369642
2,co,0,4,1,Escherichia coli,E1c3,14.562625391388156,10.756445599175143,25.319070990563297,1.1796620406897205,5,1460.7891521238685,259.983331360233,744.9516898369642
2,co,0,4,1,Salmonella enterica,S0c0,0.06034303252596,0.020150690655304157,0.08049372318126416,1.0,5,1460.7891521238685,259.983331360233,744.9516898369642
2,co,0,4,1,Salmonella enterica,S1c1,0.031424231275709924,0.005164380815612469,0.036588612091322394,1.77359606543493,5,1460.7891521238685,259.983331360233,744.9516898369642
2,co,0,4,1,Salmonella enterica,S2c2,0.0036786612131300155,0.0011997833970194094,0.004878444610149425,1.0179030397553936,5,1460.7891521238685,259.983331360233,744.9516898369642
2,co,0,4,2,Escherichia coli,E0c0,0.0,227.1019165603114,227.1019165603114,1.0,5,1526.0996795213684,-9.808165254227495e-33,9.053274383262195e-24
2,co,0,4,2,Escherichia coli,E1c3,0.0,804.998168083653,804.998168083653,1.1796620406897205,5,1526.0996795213684,-9.808165254227495e-33,9.053274383262195e-24
2,co,0,4,2,Salmonella enterica,S0c0,0.0,1473.7226433884603,1473.7226433884603,1.0,5,1526.0996795213684,-9.808165254227495e-33,9.053274383262195e-24
2,co,0,4,2,Salmonella enterica,S1c1,4.9629097003775746e-11,458.01752115470805,458.0175211547577,1.77359606543493,5,1526.0996795213684,-9.808165254227495e-33,9.053274383262195e-24
2,co,0,4,2,Salmonella enterica,S2c2,0.0,88.38137201398038,88.38137201398038,1.0179030397553936,5,1526.0996795213684,-9.808165254227495e-33,9.053274383262195e-24
2,co,0,5,1,Escherichia coli,E0c0,0.7651003362092932,0.7625396720337785,1.5276400082430717,1.0,5,2271.2853381083632,747.7786014411487,8.138512255859517
2,co,0,5,1,Escherichia coli,E1c3,5.807735588599613,4.271909609924287,10.079645198523899,1.1796620406897205,5,2271.2853381083632,747.7786014411487,8.138512255859517
