##culture:mono#seed:1#rep:10#mu:(0.0005, 0)#cycles:10#init_R:(250, 1000, 0)#init_n:(10, 0)#init_lag:(1, 0)#Ta:5#alpha:(3, 0)#mut_func:null#max_lag_change:(1.1, 0)
##init_pop:1000#duration:5
seed,culture,rep,cycle,frac,duration
1,mono,0,0,0.013440843113687238,5
1,mono,0,1,0.013451041286896772,5
1,mono,0,2,0.013457472641856929,5
1,mono,0,3,0.013467949134867681,5
1,mono,0,4,0.013702934146185375,5
1,mono,0,5,0.014687476972954475,5
1,mono,0,6,0.019059334986145263,5
1,mono,0,7,0.03577034999727897,5
1,mono,0,8,0.06991979370964146,5
1,mono,0,9,0.0954291481253422,5
1,mono,1,0,0.013440843113687238,5
1,mono,1,1,0.01344670118860891,5
1,mono,1,2,0.013448872290002079,5
1,mono,1,3,0.01356781826511922,5
1,mono,1,4,0.014154179191270813,5
1,mono,1,5,0.016690192123550805,5
1,mono,1,6,0.02745328160294156,5
1,mono,1,7,0.056472654310901434,5
1,mono,1,8,0.08755956973250144,5
1,mono,1,9,0.1014848391164423,5
1,mono,2,0,0.013440843113687238,5
1,mono,2,1,0.013440843113687238,5
1,mono,2,2,0.013440843113687238,5
1,mono,2,3,0.013440843113687238,5
1,mono,2,4,0.01345044820218514,5
1,mono,2,5,0.0134892816388966,5
1,mono,2,6,0.013629774733483301,5
1,mono,2,7,0.014058398703751715,5
1,mono,2,8,0.015596032369714328,5
1,mono,2,9,0.02090275271857548,5
1,mono,3,0,0.013523385088431048,5
1,mono,3,1,0.013852017039498652,5
1,mono,3,2,0.015420815116091502,5
1,mono,3,3,0.022373221355333085,5
1,mono,3,4,0.04439789633059748,5
1,mono,3,5,0.07519763452893292,5
1,mono,3,6,0.0907400201606929,5
1,mono,3,7,0.09499523601730071,5
1,mono,3,8,0.0960493519999387,5
1,mono,3,9,0.09641310914775597,5
1,mono,4,0,0.013440843113687238,5
1,mono,4,1,0.013440843113687238,5
1,mono,4,2,0.013550864131070295,5
1,mono,4,3,0.013902006352708345,5
1,mono,4,4,0.015539599185187311,5
1,mono,4,5,0.022698914390509698,5
1,mono,4,6,0.04512826150431222,5
1,mono,4,7,0.07612013786253463,5
1,mono,4,8,0.09179463412385172,5
1,mono,4,9,0.09602919954659773,5
1,mono,5,0,0.013474707938523317,5
1,mono,5,1,0.01353843699467928,5
1,mono,5,2,0.013744669538192582,5
1,mono,5,3,0.014291559711237755,5
1,mono,5,4,0.015799337536930504,5
1,mono,5,5,0.019413908642613987,5
1,mono,5,6,0.026375865676771165,5
1,mono,5,7,0.03526625287709548,5
1,mono,5,8,0.04238949937391921,5
1,mono,5,9,0.04669873832949657,5
1,mono,6,0,0.01352300832969883,5
1,mono,6,1,0.01385156366755065,5
1,mono,6,2,0.015404951758401394,5
1,mono,6,3,0.022287995137699575,5
1,mono,6,4,0.04403527051887479,5
1,mono,6,5,0.07464014192915079,5
1,mono,6,6,0.09025726479192837,5
1,mono,6,7,0.09446064657283453,5
1,mono,6,8,0.09541995821333929,5
1,mono,6,9,0.09562884626582038,5
1,mono,7,0,0.013503089560485432,5
1,mono,7,1,0.013698855893437212,5
1,mono,7,2,0.014499829996630912,5
1,mono,7,3,0.0176197856452515,5
1,mono,7,4,0.02777865387244653,5
1,mono,7,5,0.04807706132517022,5
1,mono,7,6,0.06596821684195038,5
1,mono,7,7,0.07366764778468354,5
1,mono,7,8,0.07647231426183723,5
1,mono,7,9,0.07825298649263235,5
1,mono,8,0,0.013472057179795275,5
1,mono,8,1,0.013526742157713486,5
1,mono,8,2,0.013729847622860341,5
1,mono,8,3,0.01425805920435756,5
1,mono,8,4,0.015618304121248209,5
1,mono,8,5,0.018882418126745484,5
1,mono,8,6,0.02519787383137177,5
1,mono,8,7,0.033528503745514845,5
1,mono,8,8,0.040362796706742976,5
1,mono,8,9,0.04425706981035214,5
1,mono,9,0,0.013450109821946657,5
1,mono,9,1,0.013496455490837516,5
1,mono,9,2,0.013575126127270834,5
1,mono,9,3,0.013892409394806056,5
1,mono,9,4,0.01494710272361965,5
1,mono,9,5,0.01897381021441046,5
1,mono,9,6,0.032536106960631396,5
1,mono,9,7,0.06146563709961519,5
1,mono,9,8,0.08934846874763383,5
1,mono,9,9,0.10363498405031045,5
