##culture:co#seed:2#rep:10#mu:(0.0005, 0.0005)#cycles:10#init_R:(1, 1000, 0)#init_n:(5, 5)#init_lag:(1, 1)#Ta:5#alpha:(3, 3)#mut_func:null#max_lag_change:(1.1, 1.1)
seed,culture,rep,cycle,phase_end,species,genotype,nlag,ngrow,ntot,lag,Ta,M,L,A
2,co,0,0,0,Escherichia coli,E0c0,5.0,0.0,5.0,1.0,5,1.0,1000.0,0.0
2,co,0,0,0,Salmonella enterica,S0c0,5.0,0.0,5.0,1.0,5,1.0,1000.0,0.0
2,co,0,0,1,Escherichia coli,E0c0,0.033689731871209064,0.07413862500794409,0.10782835687915315,1.0,5,2.6532457880357097,997.5538892285242,0.03739997510976706
2,co,0,0,1,Salmonella enterica,S0c0,0.033689731871209064,2.533163513879147,2.566853245750356,1.0,5,2.6532457880357097,997.5538892285242,0.03739997510976706
2,co,0,0,2,Escherichia coli,E0c0,7.427828567349915e-12,1000.1076183344322,1000.1076183344396,1.0,5,344.3999276760101,-1.2404429722158573e-35,-1.0230417339917878e-26
2,co,0,0,2,Salmonella enterica,S0c0,7.427828567349915e-12,507.56674665688877,507.5667466568962,1.0,5,344.3999276760101,-1.2404429722158573e-35,-1.0230417339917878e-26
2,co,0,1,1,Escherichia coli,E0c0,3.3693360434912525,3.368228393406639,6.737564436897891,1.0,5,509.6198892996055,753.3418576438016,6.963439562821245
2,co,0,1,1,Salmonella enterica,S0c0,1.709978908906571,9.912130368383982,11.622109277290553,1.0,5,509.6198892996055,753.3418576438016,6.963439562821245
2,co,0,1,2,Escherichia coli,E0c0,8.947778571119259e-10,1005.7373530379845,1005.7373530388793,1.0,5,344.3999276760009,-3.894058081738702e-43,2.8845052750516735e-31
2,co,0,1,2,Escherichia coli,E1c1,4.54110612055451e-10,515.6220007947462,515.6220007952003,1.653282431625331,5,344.3999276760009,-3.894058081738702e-43,2.8845052750516735e-31
2,co,0,1,2,Salmonella enterica,S0c0,1.0,0.0,1.0,1.0,5,344.3999276760009,-3.894058081738702e-43,2.8845052750516735e-31
2,co,0,1,2,Salmonella enterica,S1c1,1.0,0.0,1.0,1.6428090867832834,5,344.3999276760009,-3.894058081738702e-43,2.8845052750516735e-31
2,co,0,2,1,Escherichia coli,E0c0,3.3883024740011853,3.3965301967105934,6.784832670711779,1.0,5,309.32525515139815,632.0480175213902,370.7077182607606
2,co,0,2,1,Escherichia coli,E1c1,12.527673804852501,5.463240992277257,17.990914797129758,1.653282431625331,5,309.32525515139815,632.0480175213902,370.7077182607606
2,co,0,2,1,Salmonella enterica,S0c0,0.0033689734837463086,0.017014549370116663,0.02038352285386297,1.0,5,309.32525515139815,632.0480175213902,370.7077182607606
2,co,0,2,1,Salmonella enterica,S1c1,0.023832276285549802,0.032025389618824444,0.05585766590437424,1.6428090867832834,5,309.32525515139815,632.0480175213902,370.7077182607606
2,co,0,2,2,Escherichia coli,E0c0,0.0,304.92130618352303,304.92130618352303,1.0,5,344.399927676006,1.840560425846323e-33,-1.68854908885031e-19
2,co,0,2,2,Escherichia coli,E1c1,0.0,719.8542262059949,719.8542262059949,1.653282431625331,5,344.399927676006,1.840560425846323e-33,-1.68854908885031e-19
2,co,0,2,2,Salmonella enterica,S0c0,0.0,148.24464999430847,148.24464999430847,1.0,5,344.399927676006,1.840560425846323e-33,-1.68854908885031e-19
2,co,0,2,2,Salmonella enterica,S1c1,0.0,356.8314851286683,356.8314851286683,1.6428090867832834,5,344.399927676006,1.840560425846323e-33,-1.68854908885031e-19
2,co,0,3,1,Escherichia coli,E0c0,1.027271792913311,1.0270124576718154,2.0542842505851264,1.0,5,499.43227890234044,757.3839930652235,16.460144247957057
2,co,0,3,1,Escherichia coli,E1c1,17.489748145805528,7.611760707017023,25.10150885282255,1.653282431625331,5,499.43227890234044,757.3839930652235,16.460144247957057
2,co,0,3,1,Salmonella enterica,S0c0,0.4994322938450301,2.754479619819222,3.2539119136642523,1.0,5,499.43227890234044,757.3839930652235,16.460144247957057
2,co,0,3,1,Salmonella enterica,S1c1,8.504106540369301,12.19804705161281,20.70215359198211,1.6428090867832834,5,499.43227890234044,757.3839930652235,16.460144247957057
2,co,0,3,2,Escherichia coli,E0c0,3.350072932749511e-14,97.5864618054628,97.58646180546283,1.0,5,344.39992767599114,2.3837126942985702e-32,-8.72231593444756e-19
2,co,0,3,2,Escherichia coli,E1c1,5.441088451848435e-10,928.5691157444219,928.569115744966,1.653282431625331,5,344.39992767599114,2.3837126942985702e-32,-8.72231593444756e-19
2,co,0,3,2,Escherichia coli,E2c3,1.6287165339242682e-14,79.39254970926376,79.39254970926378,1.9346712903335834,5,344.39992767599114,2.3837126942985702e-32,-8.72231593444756e-19
2,co,0,3,2,Salmonella enterica,S0c0,2.3509092800734736e-10,449.5634047877296,449.5634047879647,1.0,5,344.39992767599114,2.3837126942985702e-32,-8.72231593444756e-19
2,co,0,3,2,Salmonella enterica,S1c1,1.0,0.0,1.0,1.6428090867832834,5,344.39992767599114,2.3837126942985702e-32,-8.72231593444756e-19
2,co,0,4,1,Escherichia coli,E0c0,0.32876620088392067,0.3287129119668251,0.6574791128507458,1.0,5,487.77342131117445,742.1530490243022,44.837965917825066
2,co,0,4,1,Escherichia coli,E1c1,22.560734351829293,9.81947087881927,32.38020523064856,1.653282431625331,5,487.77342131117445,742.1530490243022,44.837965917825066
2,co,0,4,1,Escherichia coli,E2c3,2.994684825639306,1.0478329387827534,4.04251776442206,1.9346712903335834,5,487.77342131117445,742.1530490243022,44.837965917825066
2,co,0,4,1,Salmonella enterica,S0c0,1.5145671839524106,8.12255545814017,9.63712264209258,1.0,5,487.77342131117445,742.1530490243022,44.837965917825066
2,co,0,4,1,Salmonella enterica,S1c1,0.02383227628252102,0.03331364618227837,0.05714592246479939,1.6428090867832834,5,487.77342131117445,742.1530490243022,44.837965917825066
2,co,0,4,2,Escherichia coli,E0c0,4.667377435911529e-15,23.53748492733234,23.537484927332343,1.0,5,344.3999276760098,-2.2670793844401644e-30,-1.8501601362856494e-18
2,co,0,4,2,Escherichia coli,E1c1,2.399184581449636e-10,907.7087267080558,907.7087267082957,1.653282431625331,5,344.3999276760098,-2.2670793844401644e-30,-1.8501601362856494e-18
2,co,0,4,2,Escherichia coli,E2c3,1.6713939836457745e-09,103.83377290091121,103.83377290258261,1.9346712903335834,5,344.3999276760098,-2.2670793844401644e-30,-1.8501601362856494e-18
2,co,0,4,2,Escherichia coli,E3c4,2.1501774412012568e-14,512.0279819683391,512.0279819683391,1.8152329629272006,5,344.3999276760098,-2.2670793844401644e-30,-1.8501601362856494e-18
2,co,0,4,2,Escherichia coli,E4c4,1.9833951501218429e-13,2.6661785182019457,2.6661785182021442,1.7530834550615644,5,344.3999276760098,-2.2670793844401644e-30,-1.8501601362856494e-18
