##culture:co#seed:166#rep:5#mu:(0.0003, 0.0003)#cycles:10#init_R:(1, 1000, 0)#init_n:(5, 5)#init_lag:(1, 1)#Ta:5#alpha:(3, 3)#mut_func:null#max_lag_change:(1.1, 1.1)
##init_pop:1000#duration:5
culture,rep,cycle,frac,duration
co,0,0,0.013440083404977975,5
co,0,1,0.013440080367375488,5
co,0,2,0.013440080213673978,5
co,0,3,0.01344008022937283,5
co,0,4,0.013440080349242415,5
co,0,5,0.01344008057484708,5
co,0,6,0.013440081259019077,5
co,0,7,0.013440083236273668,5
co,0,8,0.013440088502239694,5
co,0,9,0.013440099667696527,5
co,1,0,0.013440083404977975,5
co,1,1,0.013440080367375488,5
co,1,2,0.013440080213673978,5
co,1,3,0.013440080205774078,5
co,1,4,0.01347252935969507,5
co,1,5,0.013535304987084404,5
co,1,6,0.013718479061723703,5
co,1,7,0.014278224382174267,5
co,1,8,0.01578749712744206,5
co,1,9,0.019493368421999765,5
co,2,0,0.013440083404977975,5
co,2,1,0.013440080367375488,5
co,2,2,0.013440080213673978,5
co,2,3,0.013440080205774078,5
co,2,4,0.0134478539412102,5
co,2,5,0.013451789850183603,5
co,2,6,0.013457714019735533,5
co,2,7,0.013466625122444441,5
co,2,8,0.013480016218387328,5
co,2,9,0.013594863540349235,5
co,3,0,0.013440083404977975,5
co,3,1,0.013440080367375488,5
co,3,2,0.013521241232456745,5
co,3,3,0.013865258266986712,5
co,3,4,0.01562607369674402,5
co,3,5,0.02374455770574372,5
co,3,6,0.0486116833338146,5
co,3,7,0.07853258644442841,5
co,3,8,0.0913935726742411,5
co,3,9,0.09461736452678277,5
co,4,0,0.013440083404977975,5
co,4,1,0.01353913632992146,5
co,4,2,0.014254735446011283,5
co,4,3,0.017906561054927262,5
co,4,4,0.03440200677241272,5
co,4,5,0.07220584270270346,5
co,4,6,0.099703027795556,5
co,4,7,0.10820694426610777,5
co,4,8,0.1107896082964463,5
co,4,9,0.11232060360914173,5
