##culture:co#seed:1#rep:5#mu:(0.0003, 0.0003)#cycles:10#init_R:(1, 250, 0)#init_n:(5, 5)#init_lag:(1, 1)#Ta:5#alpha:(3, 3)#mut_func:null#max_lag_change:(1.1, 1.1)
##init_pop:1000#duration:5
seed,culture,rep,cycle,frac,duration
1,co,0,0,0.03546889896482188,5
1,co,0,1,0.03519409733819184,5
1,co,0,2,0.03518302630143641,5
1,co,0,3,0.03518133969939855,5
1,co,0,4,0.03518104241153824,5
1,co,0,5,0.035180987891500766,5
1,co,0,6,0.03518097610480124,5
1,co,0,7,0.055717454677793564,5
1,co,0,8,0.06925264013479189,5
1,co,0,9,0.08046375063567594,5
1,co,1,0,0.03546889894414574,5
1,co,1,1,0.07986289245423178,5
1,co,1,2,0.12335425818857362,5
1,co,1,3,0.1494921531934618,5
1,co,1,4,0.1586523561436414,5
1,co,1,5,0.16121661688054112,5
1,co,1,6,0.16189265562424268,5
1,co,1,7,0.1620683511044702,5
1,co,1,8,0.16211367435580618,5
1,co,1,9,0.16212526567580854,5
1,co,2,0,0.03546889894414574,5
1,co,2,1,0.03519415741694477,5
1,co,2,2,0.03518309663065733,5
1,co,2,3,0.0351814146238009,5
1,co,2,4,0.035177470494320705,5
1,co,2,5,0.03517041513836059,5
1,co,2,6,0.0351519198407722,5
1,co,2,7,0.05890874579196756,5
1,co,2,8,0.08303660230129684,5
1,co,2,9,0.10468664248882414,5
1,co,3,0,0.03546889894414574,5
1,co,3,1,0.03519415741694477,5
1,co,3,2,0.03518309663065733,5
1,co,3,3,0.03518141346466837,5
1,co,3,4,0.03518111875749402,5
1,co,3,5,0.0351810667815585,5
1,co,3,6,0.035181057612694785,5
1,co,3,7,0.03518105599149171,5
1,co,3,8,0.0351810557058791,5
1,co,3,9,0.0351810556554908,5
1,co,4,0,0.03546889894414574,5
1,co,4,1,0.03519415741694477,5
1,co,4,2,0.035183097211768405,5
1,co,4,3,0.035179758275469805,5
1,co,4,4,0.03517773753144229,5
1,co,4,5,0.035174717106420575,5
1,co,4,6,0.03516929785256559,5
1,co,4,7,0.03515957006945402,5
1,co,4,8,0.03514273211301904,5
1,co,4,9,0.03511555592619843,5
