##culture:mono#seed:8#rep:5#mu:(0.0003, 0)#cycles:10#init_R:(2000, 1500, 0)#init_n:(10, 0)#init_lag:(1, 0)#Ta:5#alpha:(3, 0)#mut_func:null#max_lag_change:(1.1, 0)
##init_pop:1000#duration:5
seed,culture,rep,cycle,frac,duration
8,mono,0,0,0.013440843113687238,5
8,mono,0,1,0.013447288391758978,5
8,mono,0,2,0.01345116001289888,5
8,mono,0,3,0.013457353334783326,5
8,mono,0,4,0.013467254460813755,5
8,mono,0,5,0.013483067457493721,5
8,mono,0,6,0.013534750247416832,5
8,mono,0,7,0.013704285025936286,5
8,mono,0,8,0.014228145908464869,5
8,mono,0,9,0.016079895241074792,5
8,mono,1,0,0.013440843113687238,5
8,mono,1,1,0.013440843113687238,5
8,mono,1,2,0.013440843113687238,5
8,mono,1,3,0.013493688398580466,5
8,mono,1,4,0.013721006961905074,5
8,mono,1,5,0.014738522871081886,5
8,mono,1,6,0.01924053312822079,5
8,mono,1,7,0.035114117844281055,5
8,mono,1,8,0.06432930664251887,5
8,mono,1,9,0.08446726469751077,5
8,mono,2,0,0.013440843113687238,5
8,mono,2,1,0.013508938931786188,5
8,mono,2,2,0.013853556259156595,5
8,mono,2,3,0.01569822227244603,5
8,mono,2,4,0.024829033721052288,5
8,mono,2,5,0.055319593298321285,5
8,mono,2,6,0.09440457834392954,5
8,mono,2,7,0.11094414784827945,5
8,mono,2,8,0.11487039216840715,5
8,mono,2,9,0.11575903081433529,5
8,mono,3,0,0.013473350152986539,5
8,mono,3,1,0.013519120258010107,5
8,mono,3,2,0.013640614614941135,5
8,mono,3,3,0.013913373253980114,5
8,mono,3,4,0.014543013687730123,5
8,mono,3,5,0.01592684651833355,5
8,mono,3,6,0.01866158873848476,5
8,mono,3,7,0.023137700565538738,5
8,mono,3,8,0.02860937772189902,5
8,mono,3,9,0.03355770344117914,5
8,mono,4,0,0.013440843113687238,5
8,mono,4,1,0.013440843113687238,5
8,mono,4,2,0.013440843113687238,5
8,mono,4,3,0.013440843113687238,5
8,mono,4,4,0.013440843113687238,5
8,mono,4,5,0.013440843113687238,5
8,mono,4,6,0.013440843113687238,5
8,mono,4,7,0.013440843113687238,5
8,mono,4,8,0.013440843113687238,5
8,mono,4,9,0.013440843113687238,5
