##culture:co#seed:7#rep:5#mu:(0.0003, 0.0003)#cycles:10#init_R:(1, 2000, 0)#init_n:(5, 5)#init_lag:(1, 1)#Ta:5#alpha:(3, 3)#mut_func:null#max_lag_change:(1.1, 1.1)
seed,culture,rep,cycle,phase_end,species,genotype,nlag,ngrow,ntot,lag,Ta,M,L,A
7,co,0,0,0,Escherichia coli,E0c0,5.0,0.0,5.0,1.0,5,1.0,2000.0,0.0
7,co,0,0,0,Salmonella enterica,S0c0,5.0,0.0,5.0,1.0,5,1.0,2000.0,0.0
7,co,0,0,1,Escherichia coli,E0c0,0.033689731870457644,0.07404066299550344,0.10773039486596109,1.0,5,2.6532986172994315,1997.5538152475178,0.037375436484915626
7,co,0,0,1,Salmonella enterica,S0c0,0.033689731870457644,2.5330895044383865,2.566779236308844,1.0,5,2.6532986172994315,1997.5538152475178,0.037375436484915626
7,co,0,0,2,Escherichia coli,E0c0,6.1380021005351345e-12,2000.1073103724646,2000.1073103724707,1.0,5,688.2998554570215,4.634818908935208e-36,-7.933575979992329e-27
7,co,0,0,2,Salmonella enterica,S0c0,6.1380021005351345e-12,1012.5665665974793,1012.5665665974855,1.0,5,688.2998554570215,4.634818908935208e-36,-7.933575979992329e-27
7,co,0,1,1,Escherichia coli,E0c0,6.738308532355771,6.714476389801347,13.452784922157118,1.0,5,1017.8343760433711,1506.6995248853464,13.79165971155897
7,co,0,1,1,Salmonella enterica,S0c0,3.411309933171243,18.43019356860494,21.84150350177618,1.0,5,1017.8343760433711,1506.6995248853464,13.79165971155897
7,co,0,1,2,Escherichia coli,E0c0,6.086283481036603e-10,2012.4523621302005,2012.4523621308092,1.0,5,688.2998554569821,2.4940583541826516e-41,-1.0378550742457212e-28
7,co,0,1,2,Escherichia coli,E1c1,3.081218362946106e-10,1031.841286831812,1031.8412868321202,1.4073233101446028,5,688.2998554569821,2.4940583541826516e-41,-1.0378550742457212e-28
7,co,0,1,2,Salmonella enterica,S0c0,1.0,0.0,1.0,1.0,5,688.2998554569821,2.4940583541826516e-41,-1.0378550742457212e-28
7,co,0,2,1,Escherichia coli,E0c0,6.779898674911171,6.765404119330044,13.545302794241215,1.0,5,615.3908372799269,1257.168266676712,749.7802983773297
7,co,0,2,1,Escherichia coli,E1c1,14.777549280630355,8.16057622992846,22.938125510558812,1.4073233101446028,5,615.3908372799269,1257.168266676712,749.7802983773297
7,co,0,2,1,Salmonella enterica,S0c0,0.0033689734984496894,0.016929237292021674,0.020298210790471363,1.0,5,615.3908372799269,1257.168266676712,749.7802983773297
7,co,0,2,2,Escherichia coli,E0c0,3.3558172560576784e-13,782.8762291408359,782.8762291408362,1.0,5,688.2998554570285,4.9028139393604185e-40,1.1676167041642521e-27
7,co,0,2,2,Escherichia coli,E1c1,1.8446927024199107e-09,1253.6067716385278,1253.6067716403725,1.4073233101446028,5,688.2998554570285,4.9028139393604185e-40,1.1676167041642521e-27
7,co,0,2,2,Salmonella enterica,S0c0,1.6675263066262087e-16,1009.0200861065522,1009.0200861065522,1.0,5,688.2998554570285,4.9028139393604185e-40,1.1676167041642521e-27
7,co,0,2,2,Salmonella enterica,S1c2,1.0,0.0,1.0,1.9335834591961167,5,688.2998554570285,4.9028139393604185e-40,1.1676167041642521e-27
7,co,0,3,1,Escherichia coli,E0c0,2.6374892654853572,2.628147186971082,5.265636452456439,1.0,5,1016.6571574706869,1507.4404089895586,14.647606488240685
7,co,0,3,1,Escherichia coli,E1c1,17.953571039511896,9.903191649960876,27.856762689472774,1.4073233101446028,5,1016.6571574706869,1507.4404089895586,14.647606488240685
7,co,0,3,1,Salmonella enterica,S0c0,3.3993619255571925,18.696188597792762,22.095550523349957,1.0,5,1016.6571574706869,1507.4404089895586,14.647606488240685
7,co,0,3,1,Salmonella enterica,S1c2,0.037665168323507955,0.039287314069487475,0.07695248239299543,1.9335834591961167,5,1016.6571574706869,1507.4404089895586,14.647606488240685
7,co,0,3,2,Escherichia coli,E0c0,0.0,370.494289706542,370.494289706542,1.0,5,688.2998554570238,3.1307142219564654e-41,-2.3392094415360044e-28
7,co,0,3,2,Escherichia coli,E1c1,4.548615980190466e-10,1661.6276826187923,1661.6276826192473,1.4073233101446028,5,688.2998554570238,3.1307142219564654e-41,-2.3392094415360044e-28
7,co,0,3,2,Escherichia coli,E2c3,0.0,1028.1906014262768,1028.1906014262768,1.847097965892576,5,688.2998554570238,3.1307142219564654e-41,-2.3392094415360044e-28
7,co,0,3,2,Salmonella enterica,S0c0,1.4682586240408153e-10,2.981684840473344,2.9816848406201695,1.0,5,688.2998554570238,3.1307142219564654e-41,-2.3392094415360044e-28
7,co,0,3,2,Salmonella enterica,S1c2,1.0,0.0,1.0,1.9335834591961167,5,688.2998554570238,3.1307142219564654e-41,-2.3392094415360044e-28
7,co,0,3,2,Salmonella enterica,S2c3,1.0,0.0,1.0,1.3266290603579824,5,688.2998554570238,3.1307142219564654e-41,-2.3392094415360044e-28
7,co,0,4,1,Escherichia coli,E0c0,1.2481854361393698,1.2454399881289082,2.493625424268278,1.0,5,618.9264431197483,1278.176777253646,726.7222734868253
7,co,0,4,1,Escherichia coli,E1c1,23.797056065079982,13.140784574691665,36.93784063977165,1.4073233101446028,5,618.9264431197483,1278.176777253646,726.7222734868253
7,co,0,4,1,Escherichia coli,E2c3,34.31078216495021,12.767665930131315,47.07844809508153,1.847097965892576,5,618.9264431197483,1278.176777253646,726.7222734868253
7,co,0,4,1,Salmonella enterica,S0c0,0.010045217150762245,0.05050992663169594,0.06055514378245819,1.0,5,618.9264431197483,1278.176777253646,726.7222734868253
7,co,0,4,1,Salmonella enterica,S1c2,0.037665168321747954,0.03684166262881078,0.07450683095055874,1.9335834591961167,5,618.9264431197483,1278.176777253646,726.7222734868253
7,co,0,4,1,Salmonella enterica,S2c3,0.011538128119764466,0.025111283305766695,0.03664941142553116,1.3266290603579824,5,618.9264431197483,1278.176777253646,726.7222734868253
7,co,0,4,2,Escherichia coli,E0c0,0.0,64.27719770230175,64.27719770230175,1.0,5,688.2998554569967,-6.723594465948722e-30,-9.572954891018095e-24
7,co,0,4,2,Escherichia coli,E1c1,1.1111564209330437e-11,909.3870639483703,909.3870639483814,1.4073233101446028,5,688.2998554569967,-6.723594465948722e-30,-9.572954891018095e-24
7,co,0,4,2,Escherichia coli,E2c3,7.3401783237774015e-09,1110.8452148246374,1110.8452148319775,1.847097965892576,5,688.2998554569967,-6.723594465948722e-30,-9.572954891018095e-24
7,co,0,4,2,Escherichia coli,E3c4,0.0,393.69373344888953,393.69373344888953,2.7665194311053614,5,688.2998554569967,-6.723594465948722e-30,-9.572954891018095e-24
7,co,0,4,2,Escherichia coli,E4c4,1.969785589127011e-11,393.95183057989556,393.9518305799153,2.1881564893437107,5,688.2998554569967,-6.723594465948722e-30,-9.572954891018095e-24
7,co,0,4,2,Salmonella enterica,S0c0,3.0127559307254444e-16,222.52593522179657,222.52593522179657,1.0,5,688.2998554569967,-6.723594465948722e-30,-9.572954891018095e-24
7,co,0,4,2,Salmonella enterica,S1c2,1.0,0.0,1.0,1.9335834591961167,5,688.2998554569967,-6.723594465948722e-30,-9.572954891018095e-24
7,co,0,4,2,Salmonella enterica,S2c3,1.0,0.0,1.0,1.3266290603579824,5,688.2998554569967,-6.723594465948722e-30,-9.572954891018095e-24
7,co,0,5,1,Escherichia coli,E0c0,0.2165481728565501,0.21597507754124082,0.43252325039779094,1.0,5,708.29017369575,1350.433716558792,548.4375896020681
7,co,0,5,1,Escherichia coli,E1c1,13.023817042843495,7.189174543874317,20.212991586717813,1.4073233101446028,5,708.29017369575,1350.433716558792,548.4375896020681
7,co,0,5,1,Escherichia coli,E2c3,37.06897157842481,13.789566567008897,50.858538145433705,1.847097965892576,5,708.29017369575,1350.433716558792,548.4375896020681
7,co,0,5,1,Escherichia coli,E3c4,32.30109087510093,7.142290296288351,39.443381171389284,2.7665194311053614,5,708.29017369575,1350.433716558792,548.4375896020681
7,co,0,5,1,Escherichia coli,E4c4,20.046467158381063,5.951128425619652,25.997595584000713,2.1881564893437107,5,708.29017369575,1350.433716558792,548.4375896020681
7,co,0,5,1,Salmonella enterica,S0c0,0.7496839689349043,3.7777412621847395,4.5274252311196435,1.0,5,708.29017369575,1350.433716558792,548.4375896020681
7,co,0,5,1,Salmonella enterica,S1c2,0.037665168319170925,0.036881105706640084,0.07454627402581102,1.9335834591961167,5,708.29017369575,1350.433716558792,548.4375896020681
7,co,0,5,1,Salmonella enterica,S2c3,0.011538128108566158,0.025149557793477224,0.03668768590204338,1.3266290603579824,5,708.29017369575,1350.433716558792,548.4375896020681
7,co,0,5,2,Escherichia coli,E0c0,4.954168757730894e-19,9.0075213135331,9.0075213135331,1.0,5,688.2998554570204,1.3453517878091565e-29,-7.923393931329908e-17
7,co,0,5,2,Escherichia coli,E1c1,1.639038054028447e-12,371.50116963194495,371.5011696319466,1.4073233101446028,5,688.2998554570204,1.3453517878091565e-29,-7.923393931329908e-17
7,co,0,5,2,Escherichia coli,E2c3,5.048683090668087e-09,833.3920766611883,833.392076666237,1.847097965892576,5,688.2998554570204,1.3453517878091565e-29,-7.923393931329908e-17
7,co,0,5,2,Escherichia coli,E3c4,8.251675690165855e-06,527.7352422984533,527.735250550129,2.7665194311053614,5,688.2998554570204,1.3453517878091565e-29,-7.923393931329908e-17
7,co,0,5,2,Escherichia coli,E4c4,9.309966265831749e-08,393.30856382579134,393.308563918891,2.1881564893437107,5,688.2998554570204,1.3453517878091565e-29,-7.923393931329908e-17
7,co,0,5,2,Escherichia coli,E5c5,1.7151199424045977e-18,993.9130265834953,993.9130265834953,1.9170505844518018,5,688.2998554570204,1.3453517878091565e-29,-7.923393931329908e-17
7,co,0,5,2,Escherichia coli,E6c5,1.4100988484562065e-11,13.221378313924246,13.221378313938347,1.721068087466551,5,688.2998554570204,1.3453517878091565e-29,-7.923393931329908e-17
7,co,0,5,2,Salmonella enterica,S0c0,2.519561939468645e-16,7.504041223710607,7.504041223710607,1.0,5,688.2998554570204,1.3453517878091565e-29,-7.923393931329908e-17
7,co,0,5,2,Salmonella enterica,S1c2,1.0,0.0,1.0,1.9335834591961167,5,688.2998554570204,1.3453517878091565e-29,-7.923393931329908e-17
7,co,0,5,2,Salmonella enterica,S2c3,1.0,0.0,1.0,1.3266290603579824,5,688.2998554570204,1.3453517878091565e-29,-7.923393931329908e-17
7,co,0,6,1,Escherichia coli,E0c0,0.030346100148491106,0.030277362400491982,0.060623462548983084,1.0,5,623.0178026568286,1302.170553489103,700.3193519075534
7,co,0,6,1,Escherichia coli,E1c1,5.320466339809213,2.9378244722851243,8.258290812094337,1.4073233101446028,5,623.0178026568286,1302.170553489103,700.3193519075534
