##culture:mono#seed:6#rep:5#mu:(0.0003, 0)#cycles:10#init_R:(1500, 2000, 0)#init_n:(10, 0)#init_lag:(1, 0)#Ta:5#alpha:(3, 0)#mut_func:null#max_lag_change:(1.1, 0)
seed,culture,rep,cycle,phase_end,species,genotype,nlag,ngrow,ntot,lag,Ta,M,L,A
6,mono,0,0,0,Escherichia coli,E0c0,10.0,0.0,10.0,1.0,5,1500.0,2000.0,0.0
6,mono,0,0,1,Escherichia coli,E0c0,0.06737946804946791,0.06707670168773257,0.13445616973720048,1.0,5,1499.506685318503,1995.0671781850365,4.982099533112588
6,mono,0,0,2,Escherichia coli,E0c0,1.2888685480349526e-12,1999.134036141902,1999.1340361419034,1.0,5,649.9998635000213,2.931453747509388e-33,1009.9997879000314
6,mono,0,0,2,Escherichia coli,E1c0,1.0,0.0,1.0,1.6246224259949833,5,649.9998635000213,2.931453747509388e-33,1009.9997879000314
6,mono,0,1,1,Escherichia coli,E0c0,6.7350295593578835,6.704287409476182,13.439316968834065,1.0,5,2100.670089761208,1506.702750111814,1508.229934537106
6,mono,0,1,1,Escherichia coli,E1c0,0.0230339662985104,0.010247325806410933,0.03328129210492133,1.6246224259949833,5,2100.670089761208,1506.702750111814,1508.229934537106
6,mono,0,1,2,Escherichia coli,E0c0,1.0335896423584222e-09,2006.675297495043,2006.6752974960766,1.0,5,649.9998635000146,2.9555242405512456e-27,1009.9997879000232
6,mono,0,1,2,Escherichia coli,E1c0,0.0,3.796877969734476,3.796877969734476,1.6246224259949833,5,649.9998635000146,2.9555242405512456e-27,1009.9997879000232
6,mono,0,1,2,Escherichia coli,E2c1,1.0,0.0,1.0,1.3552576191540102,5,649.9998635000146,2.9555242405512456e-27,1009.9997879000232
6,mono,0,1,2,Escherichia coli,E3c1,1.0,0.0,1.0,1.7646461154234716,5,649.9998635000146,2.9555242405512456e-27,1009.9997879000232
6,mono,0,1,2,Escherichia coli,E4c1,1.0,0.0,1.0,1.8057598914189013,5,649.9998635000146,2.9555242405512456e-27,1009.9997879000232
6,mono,0,2,1,Escherichia coli,E0c0,6.760435868912133,6.729595723897692,13.490031592809824,1.0,5,2100.3490374234316,1503.492226734141,1511.4725631485467
6,mono,0,2,1,Escherichia coli,E1c0,0.0874571591944266,0.0389079247706593,0.1263650839650859,1.6246224259949833,5,2100.3490374234316,1503.492226734141,1511.4725631485467
6,mono,0,2,1,Escherichia coli,E2c1,0.012494301142168625,0.007304110441519774,0.019798411583688398,1.3552576191540102,5,2100.3490374234316,1503.492226734141,1511.4725631485467
6,mono,0,2,1,Escherichia coli,E3c1,0.029405413869237645,0.011635297175895617,0.041040711045133266,1.7646461154234716,5,2100.3490374234316,1503.492226734141,1511.4725631485467
6,mono,0,2,1,Escherichia coli,E4c1,0.03136493939292075,0.012020303270947764,0.04338524266386852,1.8057598914189013,5,2100.3490374234316,1503.492226734141,1511.4725631485467
6,mono,0,2,2,Escherichia coli,E0c0,2.410029935660269e-10,1987.0872783664738,1987.0872783667148,1.0,5,649.9998635000147,-1.7051072431196284e-32,1009.9997879000224
6,mono,0,2,2,Escherichia coli,E1c0,0.0,14.207861875967879,14.207861875967879,1.6246224259949833,5,649.9998635000147,-1.7051072431196284e-32,1009.9997879000224
6,mono,0,2,2,Escherichia coli,E2c1,1.950092525595471e-12,2.4798854149381806,2.4798854149401306,1.3552576191540102,5,649.9998635000147,-1.7051072431196284e-32,1009.9997879000224
6,mono,0,2,2,Escherichia coli,E3c1,0.0,4.381286747964967,4.381286747964967,1.7646461154234716,5,649.9998635000147,-1.7051072431196284e-32,1009.9997879000224
6,mono,0,2,2,Escherichia coli,E4c1,0.0,4.563885790959748,4.563885790959748,1.8057598914189013,5,649.9998635000147,-1.7051072431196284e-32,1009.9997879000224
6,mono,0,2,2,Escherichia coli,E5c2,1.0,0.0,1.0,1.5064174727975517,5,649.9998635000147,-1.7051072431196284e-32,1009.9997879000224
6,mono,0,3,1,Escherichia coli,E0c0,6.694444351819489,6.663903055680006,13.358347407499494,1.0,5,2100.3710659104327,1503.71251160414,1511.250075429848
6,mono,0,3,1,Escherichia coli,E1c0,0.3272634116248989,0.14559285332117872,0.47285626494607763,1.6246224259949833,5,2100.3710659104327,1503.71251160414,1511.250075429848
6,mono,0,3,1,Escherichia coli,E2c1,0.030984435172314556,0.018113352408017497,0.04909778758033205,1.3552576191540102,5,2100.3710659104327,1503.71251160414,1511.250075429848
6,mono,0,3,1,Escherichia coli,E3c1,0.12883355010370284,0.050977562404565684,0.17981111250826853,1.7646461154234716,5,2100.3710659104327,1503.71251160414,1511.250075429848
6,mono,0,3,1,Escherichia coli,E4c1,0.14314600122965207,0.05485927968097698,0.19800528091062905,1.8057598914189013,5,2100.3710659104327,1503.71251160414,1511.250075429848
6,mono,0,3,1,Escherichia coli,E5c2,0.01809209426810686,0.00899222595400237,0.02708432022210923,1.5064174727975517,5,2100.3710659104327,1503.71251160414,1511.250075429848
6,mono,0,3,2,Escherichia coli,E0c0,0.0,1914.573315529297,1914.573315529297,1.0,5,649.9998635000147,-5.738797950698466e-29,1009.9997879000223
6,mono,0,3,2,Escherichia coli,E1c0,2.5255606201977656e-09,51.70473415903594,51.7047341615615,1.6246224259949833,5,649.9998635000147,-5.738797950698466e-29,1009.9997879000223
6,mono,0,3,2,Escherichia coli,E2c1,1.8648125638663758e-11,5.98082412764325,5.980824127661898,1.3552576191540102,5,649.9998635000147,-5.738797950698466e-29,1009.9997879000223
6,mono,0,3,2,Escherichia coli,E3c1,2.162818992881597e-09,18.66826965613123,18.668269658294047,1.7646461154234716,5,649.9998635000147,-5.738797950698466e-29,1009.9997879000223
6,mono,0,3,2,Escherichia coli,E4c1,2.922662226810041e-09,20.25679090985936,20.256790912782023,1.8057598914189013,5,649.9998635000147,-5.738797950698466e-29,1009.9997879000223
6,mono,0,3,2,Escherichia coli,E5c2,5.947658831738488e-11,3.100844823740231,3.1008448237997075,1.5064174727975517,5,649.9998635000147,-5.738797950698466e-29,1009.9997879000223
6,mono,0,4,1,Escherichia coli,E0c0,6.450146733644237,6.420711430330961,12.870858163975198,1.0,5,2100.4646441893733,1504.6482943935323,1510.304934812561
6,mono,0,4,1,Escherichia coli,E1c0,1.1909651041499156,0.5298357336845837,1.7208008378344992,1.6246224259949833,5,2100.4646441893733,1504.6482943935323,1510.304934812561
6,mono,0,4,1,Escherichia coli,E2c1,0.07472621772912977,0.04368454449499396,0.11841076222412372,1.3552576191540102,5,2100.4646441893733,1504.6482943935323,1510.304934812561
6,mono,0,4,1,Escherichia coli,E3c1,0.5489481955244049,0.2172106291389231,0.766158824663328,1.7646461154234716,5,2100.4646441893733,1504.6482943935323,1510.304934812561
6,mono,0,4,1,Escherichia coli,E4c1,0.6353530192742157,0.24349250832896782,0.8788455276031836,1.8057598914189013,5,2100.4646441893733,1504.6482943935323,1510.304934812561
6,mono,0,4,1,Escherichia coli,E5c2,0.05610077686289134,0.027883470785648058,0.0839842476485394,1.5064174727975517,5,2100.4646441893733,1504.6482943935323,1510.304934812561
6,mono,0,4,2,Escherichia coli,E0c0,1.3222810309793803e-11,1670.761068004721,1670.7610680047342,1.0,5,649.9998635000127,2.7807715912462906e-22,1009.9997879000207
6,mono,0,4,2,Escherichia coli,E1c0,0.0,170.42374830164962,170.42374830164962,1.6246224259949833,5,649.9998635000127,2.7807715912462906e-22,1009.9997879000207
6,mono,0,4,2,Escherichia coli,E2c1,0.0,13.064176393733609,13.064176393733609,1.3552576191540102,5,649.9998635000127,2.7807715912462906e-22,1009.9997879000207
6,mono,0,4,2,Escherichia coli,E3c1,0.0,72.0459221731308,72.0459221731308,1.7646461154234716,5,649.9998635000127,2.7807715912462906e-22,1009.9997879000207
