seed,met,lac,fracratio
1,250,250,1.574399334010649
1,250,500,2.357116615081772
1,250,750,2.5551091592143362
1,250,1000,1.2819754462767377
1,250,1250,2.0753648045647926
1,250,1500,0.8872308346273534
1,250,1750,0.8182807407480309
1,250,2000,1.1719871130590656
2,500,250,0.8320155816925411
2,500,500,1.1697021458093242
2,500,750,0.6433173715042217
2,500,1000,0.6494337204215156
2,500,1250,0.8238214635769107
2,500,1500,0.8454316732412445
2,500,1750,1.1050551498823282
2,500,2000,1.194074747267171
3,750,250,1.4643262900370129
3,750,500,1.1414748906060233
3,750,750,1.7369626754065297
3,750,1000,2.994752182488898
3,750,1250,1.1526843633231016
3,750,1500,1.0484543273598805
3,750,1750,1.6197692037455023
3,750,2000,1.030780351473993
4,1000,250,116.78730796875226
4,1000,500,0.5969524897791725
4,1000,750,0.9917081120002009
4,1000,1000,2.1952289477606404
4,1000,1250,2.2534391710389268
4,1000,1500,2.160581708651453
4,1000,1750,0.7511801388770643
4,1000,2000,0.8240034555012865
5,1250,250,3.5324660811838946
5,1250,500,1.13476893476572
5,1250,750,2.034003855357091
5,1250,1000,0.7659303368451487
5,1250,1250,1.207517777627647
5,1250,1500,1.032459678850601
5,1250,1750,1.0756895382944855
5,1250,2000,1.4931981316332135
6,1500,250,20.705182021187866
6,1500,500,1.0800489506372088
6,1500,750,2.8132706792648636
6,1500,1000,2.3773666698477434
6,1500,1250,1.849574669750079
6,1500,1500,1.223551491918421
6,1500,1750,0.9232894707885054
6,1500,2000,1.3203790584454844
7,1750,250,0.12959297379882648
7,1750,500,0.5154210514066047
7,1750,750,0.7022269601054826
7,1750,1000,1.0572797152529056
7,1750,1250,1.6234425755089927
7,1750,1500,1.3452423491409062
7,1750,1750,1.5348841448905535
7,1750,2000,0.8935833037608658
8,2000,250,-1.0
8,2000,500,0.36867507970831853
8,2000,750,0.5233778938210621
8,2000,1000,1.465530293698504
8,2000,1250,1.527549293012089
8,2000,1500,1.8126501798652408
8,2000,1750,0.844341299728516
8,2000,2000,2.050163232786764
