##culture:co#seed:6#rep:5#mu:(0.0003, 0.0003)#cycles:10#init_R:(1, 1250, 0)#init_n:(5, 5)#init_lag:(1, 1)#Ta:5#alpha:(3, 3)#mut_func:null#max_lag_change:(1.1, 1.1)
seed,culture,rep,cycle,phase_end,species,genotype,nlag,ngrow,ntot,lag,Ta,M,L,A
6,co,0,0,0,Escherichia coli,E0c0,5.0,0.0,5.0,1.0,5,1.0,1250.0,0.0
6,co,0,0,0,Salmonella enterica,S0c0,5.0,0.0,5.0,1.0,5,1.0,1250.0,0.0
6,co,0,0,1,Escherichia coli,E0c0,0.03368973187091796,0.07409940292471673,0.10778913479563469,1.0,5,2.653266937126906,1247.5538633674819,0.03739015380634425
6,co,0,0,1,Salmonella enterica,S0c0,0.03368973187091796,2.53313388542384,2.566823617294758,1.0,5,2.653266937126906,1247.5538633674819,0.03739015380634425
6,co,0,0,2,Escherichia coli,E0c0,7.507749262734533e-12,1250.1075266123662,1250.1075266123737,1.0,5,430.3749096212644,1.4078085295154365e-36,-8.712071052053943e-27
6,co,0,0,2,Salmonella enterica,S0c0,7.507749262734533e-12,632.8166905159469,632.8166905159544,1.0,5,430.3749096212644,1.4078085295154365e-36,-8.712071052053943e-27
6,co,0,0,2,Salmonella enterica,S1c0,1.0,0.0,1.0,1.167764350972403,5,430.3749096212644,1.4078085295154365e-36,-8.712071052053943e-27
6,co,0,1,1,Escherichia coli,E0c0,4.21157911852127,4.204786916696486,8.416366035217756,1.0,5,636.6669799703844,941.6812763755825,8.678866002092555
6,co,0,1,1,Salmonella enterica,S0c0,2.131942655245787,12.022906465490108,14.154849120735895,1.0,5,636.6669799703844,941.6812763755825,8.678866002092555
6,co,0,1,1,Salmonella enterica,S1c0,0.0069096731186628155,0.023566819605118187,0.030476492723781,1.167764350972403,5,636.6669799703844,941.6812763755825,8.678866002092555
6,co,0,1,2,Escherichia coli,E0c0,0.0,1256.4161017890247,1256.4161017890247,1.0,5,430.37490962125077,4.720506284266463e-43,-1.3033137209953101e-30
6,co,0,1,2,Escherichia coli,E1c1,0.0,644.0762737352235,644.0762737352235,1.2408434349004178,5,430.37490962125077,4.720506284266463e-43,-1.3033137209953101e-30
