##culture:mono#seed:6#rep:5#mu:(0.0003, 0)#cycles:10#init_R:(1500, 500, 0)#init_n:(10, 0)#init_lag:(1, 0)#Ta:5#alpha:(3, 0)#mut_func:null#max_lag_change:(1.1, 0)
seed,culture,rep,cycle,phase_end,species,genotype,nlag,ngrow,ntot,lag,Ta,M,L,A
6,mono,0,0,0,Escherichia coli,E0c0,10.0,0.0,10.0,1.0,5,1500.0,500.0,0.0
6,mono,0,0,1,Escherichia coli,E0c0,0.0673794680519807,0.06727374315544186,0.13465321120742257,1.0,5,1499.5066951705776,495.0673142057724,4.98200002717011
6,mono,0,0,2,Escherichia coli,E0c0,5.813323098514529e-12,500.13454818327585,500.13454818328165,1.0,5,724.9998477500217,-3.0080763068979993e-24,252.49994697500787
6,mono,0,1,1,Escherichia coli,E0c0,1.684940031956789,1.6835562530737036,3.368496285030493,1.0,5,2212.664853485182,376.6506011015798,377.08282092491385
6,mono,0,1,2,Escherichia coli,E0c0,0.0,503.3683905863867,503.3683905863867,1.0,5,724.9998477500176,3.515697475102711e-24,252.4999469750052
6,mono,0,2,1,Escherichia coli,E0c0,1.6958347612587648,1.6944594229804752,3.39029418423924,1.0,5,2212.585097321681,375.8530394666048,377.88835817623584
6,mono,0,2,2,Escherichia coli,E0c0,0.0,503.3901884808219,503.3901884808219,1.0,5,724.9998477500174,-1.8779436869496484e-26,252.49994697500566
6,mono,0,3,1,Escherichia coli,E0c0,1.695908197787253,1.6945329174016324,3.390441115188885,1.0,5,2212.5845597208795,375.8476634585794,377.8937879443419
6,mono,0,3,2,Escherichia coli,E0c0,0.0,503.39033541174035,503.39033541174035,1.0,5,724.999847750017,-1.8636482595752702e-26,252.49994697500543
6,mono,0,4,1,Escherichia coli,E0c0,1.6959086927960778,1.6945334127989655,3.390442105595043,1.0,5,2212.5845560971256,375.8476272210542,377.8938245442423
6,mono,0,4,2,Escherichia coli,E0c0,0.0,503.39033640214404,503.39033640214404,1.0,5,724.9998477500166,-1.8635135308883015e-26,252.49994697500554
6,mono,0,5,1,Escherichia coli,E0c0,1.6959086961332313,1.6945334161383847,3.390442112271616,1.0,5,2212.5845560727034,375.84762697679065,377.89382479094826
6,mono,0,5,2,Escherichia coli,E0c0,0.0,503.3903364088199,503.3903364088199,1.0,5,724.999847750016,-1.863525567757111e-26,252.49994697500546
