##culture:co#seed:1#rep:5#mu:(0.0003, 0.0003)#cycles:10#init_R:(1, 1250, 0)#init_n:(5, 5)#init_lag:(1, 1)#Ta:5#alpha:(3, 3)#mut_func:null#max_lag_change:(1.1, 1.1)
##init_pop:1000#perc_cutoff:0.01#interval:0.1
seed,culture,rep,cycle,tol_time
1,co,0,0,5.300000000000001
1,co,0,1,5.300000000000001
1,co,0,2,5.300000000000001
1,co,0,3,7.6000000000000005
1,co,0,4,10.5
1,co,0,5,13.100000000000001
1,co,0,6,13.4
1,co,0,7,14.5
1,co,0,8,15.100000000000001
1,co,0,9,15.600000000000001
1,co,1,0,5.300000000000001
1,co,1,1,5.800000000000001
1,co,1,2,5.9
1,co,1,3,6.1000000000000005
1,co,1,4,7.4
1,co,1,5,9.5
1,co,1,6,10.200000000000001
1,co,1,7,11.0
1,co,1,8,11.600000000000001
1,co,1,9,11.700000000000001
1,co,2,0,5.300000000000001
1,co,2,1,5.300000000000001
1,co,2,2,5.300000000000001
1,co,2,3,7.6000000000000005
1,co,2,4,9.9
1,co,2,5,11.8
1,co,2,6,12.5
1,co,2,7,12.8
1,co,2,8,13.0
1,co,2,9,13.200000000000001
1,co,3,0,5.300000000000001
1,co,3,1,5.300000000000001
1,co,3,2,6.2
1,co,3,3,6.5
1,co,3,4,9.0
1,co,3,5,10.100000000000001
1,co,3,6,10.700000000000001
1,co,3,7,11.0
1,co,3,8,11.100000000000001
1,co,3,9,11.200000000000001
1,co,4,0,5.300000000000001
1,co,4,1,5.300000000000001
1,co,4,2,7.800000000000001
1,co,4,3,9.4
1,co,4,4,9.700000000000001
1,co,4,5,9.8
1,co,4,6,9.8
1,co,4,7,9.8
1,co,4,8,9.8
1,co,4,9,9.8
